㔢	t͡ɕyəʔ²
乾果	kæ̃¹¹ kuɤ⁵³
乾淨	kæ̃¹¹ t͡ɕiŋ⁴⁵
亂	luæ̃⁴⁵
亂七八糟	luæ̃⁴⁵ t͡ɕʰiəʔ² paʔ²⁻⁵⁴ t͡sau¹¹
亂哄哄	luæ̃⁴⁵ xuŋ¹¹ xuŋ¹¹
亂套	luæ̃⁴⁵ tʰau⁴⁵
了	liau⁵³
争	t͡səŋ¹¹
事	sz̩⁴⁵
二	əɻ⁴⁵
二十	əɻ⁴⁵ səʔ⁵⁴
二圪棱棱眼	əɻ⁴⁵ kəʔ⁵⁴ ləŋ¹¹ ləŋ¹¹⁻⁵³ nie⁵⁴
二尾子	əɻ⁴⁵ i⁵³ t͡səʔ¹
二拇指头	əɻ⁴⁵ məʔ⁴ t͡səʔ² tʰəu⁴⁵
二拇指頭	əɻ⁴⁵ məʔ⁴ t͡səʔ² tʰəu⁴⁵
二月	əɻ⁴⁵ yəʔ²
二流子	əɻ⁴⁵ liəu¹¹ t͡səʔ²
二鍋頭	əɻ⁴⁵ kuɤ¹¹ tʰəu¹¹
二锅头	əɻ⁴⁵ kuɤ¹¹ tʰəu¹¹
二馬一虎	əɻ⁴⁵ ma⁵³ iəʔ²⁻⁵⁴ xu¹¹
二马一虎	əɻ⁴⁵ ma⁵³ iəʔ²⁻⁵⁴ xu¹¹
亏	kʰuei¹¹
亏心	kʰuei¹¹ ɕiŋ¹¹
云	yŋ¹¹
五	vu⁵³
五官	vu⁵³ kuæ̃¹¹
五月端午	vu⁵³ yəʔ² tuæ̃¹¹ vu⁵³
五穀	vu⁵³ kuəʔ²
五穀雜糧	vu⁵³ kuəʔ² t͡saʔ⁵⁴ liɒ̃¹¹
五脏	vu⁵³ t͡sɒ̃⁴⁵
五臟	vu⁵³ t͡sɒ̃⁴⁵
五花肉	vu⁵³ xua¹¹ ʐəu⁴⁵
五谷	vu⁵³ kuəʔ²
五谷杂粮	vu⁵³ kuəʔ² t͡saʔ⁵⁴ liɒ̃¹¹
五香	vu⁵³ ɕiɒ̃¹¹
井	t͡ɕiŋ⁵³
亚	ia⁴⁵
些	ɕie¹¹
亞	ia⁴⁵
交	t͡ɕiau¹¹
交代	t͡ɕiau¹¹ tai⁴⁵
亥	xai⁴⁵
亦	iəʔ²
产	t͡sʰæ̃⁵³
京	t͡ɕiŋ¹¹
京戏	t͡ɕiŋ¹¹ ɕi⁴⁵
京戲	t͡ɕiŋ¹¹ ɕi⁴⁵
亮	liɒ̃⁴⁵
亲	t͡ɕʰiŋ¹¹
亲事	t͡ɕʰiŋ¹¹ sz̩⁴⁵
亲亲	t͡ɕʰiŋ¹¹ t͡ɕʰiŋ¹¹⁻⁴⁵
亲嘴	t͡ɕʰiŋ¹¹ t͡suei⁵³
亲戚	t͡ɕʰiŋ¹¹ t͡ɕʰiəʔ²
人	ʐəŋ¹¹
人中	ʐəŋ¹¹ t͡suŋ¹¹
人们	ʐəŋ¹¹ mɤ²
人們	ʐəŋ¹¹ mɤ²
人手	ʐəŋ¹¹ səu⁵³
人民	t͡səŋ¹¹ miŋ¹¹
人民共和国	t͡səŋ¹¹ miŋ¹¹ kuŋ⁴⁵ xuɤ¹¹ kuəʔ²
人民共和國	t͡səŋ¹¹ miŋ¹¹ kuŋ⁴⁵ xuɤ¹¹ kuəʔ²
人證	ʐəŋ¹¹ t͡səŋ⁴⁵
人证	ʐəŋ¹¹ t͡səŋ⁴⁵
亿	i⁴⁵
