㔢	t͡ɕyəʔ²
圪出打蛋	kəʔ⁵⁴ t͡sʰuəʔ² ta⁵³ tæ̃⁴⁵
圪台台	kəʔ⁵⁴ tʰai¹¹ tʰai¹¹⁻⁴⁵
圪地跪	kəʔ⁵⁴⁻² ti⁴⁵ kuei¹¹
圪折折	kəʔ⁵⁴ t͡saʔ² t͡saʔ²
圪捞捞	kəʔ⁵⁴ lau¹¹ lau¹¹⁻⁴⁵
圪搓搓	kəʔ⁵⁴ t͡sʰuɤ¹¹ t͡sʰuɤ¹¹⁻⁴⁵
圪撈撈	kəʔ⁵⁴ lau¹¹ lau¹¹⁻⁴⁵
圪晾半死	kəʔ⁵⁴⁻² liɒ̃⁴⁵ pæ̃⁴⁵ sz̩⁵³
圪沁头	kəʔ⁵⁴⁻² t͡ɕʰiŋ⁴⁵ tʰəu¹¹
圪沁頭	kəʔ⁵⁴⁻² t͡ɕʰiŋ⁴⁵ tʰəu¹¹
圪皱皱	kəʔ⁵⁴⁻² t͡səu⁴⁵ t͡səu⁴⁵⁻⁵³
圪皱眉头	kəʔ⁵⁴⁻² t͡səu⁴⁵ mi¹¹ tʰəu¹¹
圪皺皺	kəʔ⁵⁴⁻² t͡səu⁴⁵ t͡səu⁴⁵⁻⁵³
圪皺眉頭	kəʔ⁵⁴⁻² t͡səu⁴⁵ mi¹¹ tʰəu¹¹
圪縮鬼	kəʔ⁵⁴ suaʔ² kuei⁵³
圪缩鬼	kəʔ⁵⁴ suaʔ² kuei⁵³
圪膝弯子	kəʔ⁵⁴ t͡ɕʰiəʔ² væ̃¹¹ t͡səʔ²
圪膝彎子	kəʔ⁵⁴ t͡ɕʰiəʔ² væ̃¹¹ t͡səʔ²
圪膝盖	kəʔ⁵⁴ t͡ɕʰiəʔ² kai⁴⁵
圪膝蓋	kəʔ⁵⁴ t͡ɕʰiəʔ² kai⁴⁵
圪臺臺	kəʔ⁵⁴ tʰai¹¹ tʰai¹¹⁻⁴⁵
圪蚪	kəʔ⁵⁴⁻² təu⁵³
圪觫	kəʔ⁵⁴ suəʔ²
圪蹴	kəʔ⁵⁴ t͡ɕiəu¹¹
圪都	kəʔ⁵⁴ tu¹¹
圪釘子	kəʔ⁵⁴ tiŋ¹¹ t͡səʔ²
圪針刺	kəʔ⁵⁴ t͡səŋ¹¹ t͡sʰz̩⁴⁵
圪針針	kəʔ⁵⁴ t͡səŋ¹¹ t͡səŋ¹¹⁻⁵³
圪针刺	kəʔ⁵⁴ t͡səŋ¹¹ t͡sʰz̩⁴⁵
圪针针	kəʔ⁵⁴ t͡səŋ¹¹ t͡səŋ¹¹⁻⁵³
圪钉子	kəʔ⁵⁴ tiŋ¹¹ t͡səʔ²
地	ti⁴⁵
地下	ti⁴⁵ xa⁵³
地头	ti⁴⁵ tʰəu¹¹
地契	ti⁴⁵ t͡ɕʰi⁴⁵
地支	ti⁴⁵ t͡sz̩¹¹
地方	ti⁴⁵ fɒ̃⁵³
地球	ti⁴⁵ t͡ɕʰiəu¹¹
地痞	ti⁴⁵ pʰi⁵³
地老鼠	ti² lau⁵³⁻¹¹ su⁵³
地道	ti⁴⁵ tau⁴⁵
地震	ti⁴⁵ t͡səŋ⁴⁵
地頭	ti⁴⁵ tʰəu¹¹
场	t͡sʰɒ̃⁵³
址	t͡sʰz̩⁵³
均	t͡ɕyŋ¹¹
坏	xuai⁴⁵
坐	t͡suɤ⁴⁵
坐月子	t͡suɤ⁴⁵ yəʔ² t͡səʔ³
坑道	kʰəŋ¹¹ tau⁴⁵
块	kʰuai⁵³
坚	t͡ɕie¹¹
坟	fəŋ¹¹
坟圪堆	mu⁴⁵ kʰəʔ⁵⁴ tuei¹¹
坟地	fəŋ¹¹ ti⁴⁵
坤	kʰuŋ¹¹
坯	pʰi¹¹
垂	t͡sʰuei¹¹
型	ɕiŋ¹¹
垦	kʰəŋ⁵³
垫	tie⁴⁵
垫子	tie⁴⁵ t͡səʔ⁴
埋	mei¹¹
埋怨	mai¹¹ ye⁵³
埋鍋倒灶的	mai¹¹ kuɤ¹¹ tau⁵³ t͡sau⁴⁵ təʔ⁴
埋锅倒灶的	mai¹¹ kuɤ¹¹ tau⁵³ t͡sau⁴⁵ təʔ⁴
城	t͡sʰəŋ¹¹
域	yəʔ²
執	t͡səʔ²
執事	t͡səʔ² sz̩⁴⁵
執照	t͡səʔ² t͡sau⁴⁵
培	pʰei¹¹
基	t͡ɕi¹¹
堂	tʰɒ̃¹¹
堅	t͡ɕie¹¹
堆	tuei¹¹
報	pau⁴⁵
報告	pau⁴⁵ kau⁴⁵
報喜	pau⁴⁵ ɕi⁵³
報喪	pau⁴⁵ sɒ̃¹¹
報紙	pau⁴⁵ t͡sz̩⁵³
報考	pau⁴⁵ kʰau⁵³
場	t͡sʰɒ̃⁵³
堵	tu⁵³
塊	kʰuai⁵³
塑	su⁴⁵
塔	tʰaʔ²
填	tʰie¹¹
塾	su¹¹
境	t͡ɕiŋ⁴⁵
墊	tie⁴⁵
墊子	tie⁴⁵ t͡səʔ⁴
墓	mu⁴⁵
墓地	mu⁴⁵ ti⁴⁵
墙	t͡ɕʰiɒ̃¹¹
增	t͡səŋ¹¹
墨	miəʔ²
墨斗	miəʔ²⁻⁴⁵ təu⁵³
墨汁	miəʔ²⁻⁵⁴ t͡səʔ²
墨盒儿	miəʔ²⁻⁴⁵ xɑɻ⁵³
墨盒兒	miəʔ²⁻⁴⁵ xɑɻ⁵³
墩	tuŋ¹¹
墩布	tuŋ¹¹ pu⁴⁵
墳	fəŋ¹¹
墳圪堆	mu⁴⁵ kʰəʔ⁵⁴ tuei¹¹
墳地	fəŋ¹¹ ti⁴⁵
墾	kʰəŋ⁵³
壁	piəʔ²
壓歲錢	iaʔ² suei⁴⁵ t͡ɕʰie¹¹
壓石	iaʔ²⁻⁴⁵ səʔ⁵⁴
壞	xuai⁴⁵
士	sz̩⁴⁵
声	səŋ¹¹
声音	səŋ¹¹ iŋ⁴⁵
壽	səu⁴⁵
处暑	t͡sʰu⁵³⁻¹¹ su⁵³
备	pei⁴⁵
夏	ɕia⁴⁵
夏至	ɕia⁴⁵ t͡sz̩⁴⁵
外	vai⁴⁵
外人	vai⁴⁵ ʐəŋ¹¹
外号	vai⁴⁵ xau⁴⁵
外后天	vai⁴⁵ xəu⁴⁵ tʰie¹¹
外后年	vai⁴⁵ xəu⁴⁵ nie¹¹
外国人	vai⁴⁵ kuəʔ²⁻⁵⁴ ʐəŋ¹¹
外國人	vai⁴⁵ kuəʔ²⁻⁵⁴ ʐəŋ¹¹
外後天	vai⁴⁵ xəu⁴⁵ tʰie¹¹
外後年	vai⁴⁵ xəu⁴⁵ nie¹¹
外號	vai⁴⁵ xau⁴⁵
多	tɤ¹¹
多么	tɤ¹¹ məʔ²
多半天	tɤ¹¹ pæ̃⁴⁵ tʰie¹¹
多少	tɤ¹¹ sau⁵³
多麼	tɤ¹¹ məʔ²
夜	ie⁴⁵
夜來	ie⁴⁵ lai⁵³
夜壁虎	ie⁴⁵ piəʔ²⁻⁴⁵ xu⁵³
夜天	ie⁴⁵ tʰie¹¹
夜来	ie⁴⁵ lai⁵³
夜猫子	ie⁴⁵ mau¹¹ t͡səʔ²
夜班儿	ie⁴⁵ pæ̃ɻ¹¹
夜班兒	ie⁴⁵ pæ̃ɻ¹¹
夜貓子	ie⁴⁵ mau¹¹ t͡səʔ²
夢	məŋ⁴⁵
夢話	məŋ⁴⁵ xua⁴⁵
夥	xuɤ⁵³
大	ta⁴⁵
大伯子	ta⁴⁵ piəʔ⁵⁴ t͡səʔ¹
大前年	ta⁴⁵ t͡ɕʰie¹¹ nie¹¹
大半天	ta⁴⁵ pæ̃⁴⁵ tʰie¹¹
大口	ta⁴⁵ kʰəu⁵³
大后天	ta⁴⁵ xəu⁴⁵ tʰie¹¹
大后年	ta⁴⁵ xəu⁴⁵ nie¹¹
大夫	tai⁴⁵ fu⁵³
大姑子	ta⁴⁵ ku¹¹ t͡səʔ²
大姨子	ta⁴⁵ i¹¹ t͡səʔ²
大娘	ta⁴⁵ niɒ̃¹¹
大家	ta⁴⁵ t͡ɕia¹¹
大寒	ta⁴⁵ xæ̃¹¹
大年	ta⁴⁵ nie¹¹
大年三十	ta⁴⁵ nie¹¹ sæ̃¹¹ səʔ⁵⁴
大年初一	ta⁴⁵ nie¹¹ t͡sʰu¹¹ iəʔ²
大後天	ta⁴⁵ xəu⁴⁵ tʰie¹¹
大後年	ta⁴⁵ xəu⁴⁵ nie¹¹
大拇指头	ta⁴⁵ məʔ⁴ t͡səʔ² tʰəu¹¹⁻⁴⁵
大拇指頭	ta⁴⁵ məʔ⁴ t͡səʔ² tʰəu¹¹⁻⁴⁵
大料	ta⁴⁵ liau⁴⁵
大暑	ta⁴⁵ su⁵³
大楷	ta⁴⁵ kʰai⁵³
大氅	ta⁴⁵ t͡sʰɒ̃¹¹
大水	ta⁴⁵ suei⁵³
大海盐	ta⁴⁵ xai⁵³ ie¹¹
大海鹽	ta⁴⁵ xai⁵³ ie¹¹
大爷	ta⁴⁵ ie¹¹
大爺	ta⁴⁵ ie¹¹
大疙瘩	ta⁴⁵ kəʔ²⁻⁵⁴ taʔ²
大白菜	ta⁴⁵ pai¹¹ t͡sʰai⁴⁵
大肉	ta⁴⁵ ʐəu⁴⁵
大肠	ta⁴⁵ t͡sʰɒ̃¹¹
大腸	ta⁴⁵ t͡sʰɒ̃¹¹
大腿	ta⁴⁵ tʰuei⁵³
大舅子	ta⁴⁵ t͡ɕiəu⁴⁵ t͡səʔ⁴
大衣	ta⁴⁵ i¹¹
大衫子	ta⁴⁵ sæ̃¹¹ t͡səʔ²
大豆	ta⁴⁵ təu⁴⁵
大雁	ta⁴⁵ ie⁴⁵
大雨	ta⁴⁵ y⁵³
大雪	ta⁴⁵ ɕyəʔ²
大麥	ta⁴⁵ miəʔ²
大麦	ta⁴⁵ miəʔ²
天	tʰie¹¹
天上	tʰie¹¹ ɕɒ̃⁴⁵
天命	tʰie¹¹ miŋ⁴⁵
天天黑夜	tʰie¹¹ tʰie¹¹ xəʔ² ie⁴⁵
天干	tʰie¹¹ kæ̃¹¹
天气	tʰie¹¹ t͡ɕʰi⁴⁵
天氣	tʰie¹¹ t͡ɕʰi⁴⁵
天河	tʰie¹¹ xɤ¹¹
天線	tʰie¹¹ ɕie⁴⁵
天线	tʰie¹¹ ɕie⁴⁵
天花板	tʰie¹¹ xua¹¹ pæ̃⁵³
天蓝	tʰie¹¹ læ̃¹¹
天藍	tʰie¹¹ læ̃¹¹
太	tʰai⁴⁵
太原	tʰai⁴⁵ ye¹¹
太原話	tʰai⁴⁵ ye¹¹ xua⁴⁵
太原话	tʰai⁴⁵ ye¹¹ xua⁴⁵
太师椅	tʰai⁴⁵ sz̩¹¹ i⁵³
太師椅	tʰai⁴⁵ sz̩¹¹ i⁵³
太阳	tʰai⁴⁵ iɒ̃¹¹⁻⁵³
太阳地	tʰai⁴⁵ iɒ̃⁵³ ti⁴⁵
太阳穴	tʰai⁴⁵ iɒ̃⁵³ ɕyəʔ⁵⁴
太陽	tʰai⁴⁵ iɒ̃¹¹⁻⁵³
太陽地	tʰai⁴⁵ iɒ̃⁵³ ti⁴⁵
太陽穴	tʰai⁴⁵ iɒ̃⁵³ ɕyəʔ⁵⁴
央	iɒ̃¹¹
失	səʔ²
头	tʰəu¹¹
头前	tʰəu¹¹ t͡ɕʰie¹¹
头发	tʰəu¹¹ faʔ²
头绳	tʰəu¹¹ səŋ¹¹
夹	t͡ɕiaʔ²
夹子	t͡ɕiaʔ² t͡səʔ³
夹菜	t͡ɕiaʔ² t͡sʰai⁴⁵
夺	tuaʔ⁵⁴
夾	t͡ɕiaʔ²
夾子	t͡ɕiaʔ² t͡səʔ³
夾菜	t͡ɕiaʔ² t͡sʰai⁴⁵
奇	t͡ɕʰi¹¹
奉	fəŋ⁴⁵
奎	kʰuei¹¹
奓	t͡sa⁴⁵
奖	t͡ɕiɒ̃⁵³
套	tʰau⁴⁵
套套	tʰau⁴⁵ tʰau⁴⁵⁻⁵³
套衫	tʰau⁴⁵ sæ̃¹¹
奥	ɣau⁴⁵
奧	ɣau⁴⁵
奪	tuaʔ⁵⁴
女	ny⁵³
女人	ny⁵³ ʐəŋ¹¹
女人家	ny⁵³ ʐəŋ¹¹ t͡ɕia¹¹
女娃娃	ny⁵³ va¹¹ va¹¹⁻⁴⁵
女婿	ny⁵³ ɕy⁴⁵
女婿子	ny⁵³ ɕy⁴⁵ t͡səʔ⁴
女掌柜	ny⁵³⁻¹¹ t͡sɒ̃⁵³ kuei⁴⁵
女掌柜的	ny⁵³⁻¹¹ t͡sɒ̃⁵³ kuei⁴⁵ təʔ⁴
女掌櫃	ny⁵³⁻¹¹ t͡sɒ̃⁵³ kuei⁴⁵
女掌櫃的	ny⁵³⁻¹¹ t͡sɒ̃⁵³ kuei⁴⁵ təʔ⁴
女的	ny⁵³ təʔ¹
奶	nai⁵³
奶嘴嘴	nai⁵³⁻¹¹ t͡suei⁵³ t͡suei⁵³⁻¹¹
奶头头	nai⁵³ tʰəu¹¹ tʰəu¹¹⁻⁴⁵
奶奶	nai⁵³ nai⁵³⁻¹¹
奶妈	nai⁵³ ma¹¹
奶媽	nai⁵³ ma¹¹
奶毛毛	nai⁵³ mau¹¹ mau¹¹⁻⁴⁵
奶爸爸	nai⁵³ pa⁴⁵ pa⁴⁵⁻⁵³
奶牙	nai⁵³ ia¹¹
奶皮皮	nai⁵³ pʰi¹¹ pʰi¹¹⁻⁴⁵
奶頭頭	nai⁵³ tʰəu¹¹ tʰəu¹¹⁻⁴⁵
好	xau⁵³
好面	xau⁵³ mie⁴⁵
好麵	xau⁵³ mie⁴⁵
如	ʐu¹¹
妃	fei¹¹
妇	fu⁴⁵
妈	ma¹¹
妈妈	ma¹¹ ma¹¹⁻⁴⁵
妈家	ma¹¹ t͡ɕia¹¹
妖	iau¹¹
妗	t͡ɕiŋ⁴⁵
妗妗	t͡ɕiŋ⁴⁵ t͡ɕiŋ⁴⁵⁻⁵³
妙	miau⁴⁵
妥	tʰuɤ⁵³
妮	niəʔ²
妯娌	t͡suəʔ⁵⁴⁻² li⁵³
妳	ni⁵³
妹	mei⁴⁵
妹夫子	mei⁴⁵ fu¹¹ t͡səʔ²
妹妹	mei⁴⁵ mei⁴⁵⁻⁵³
妾	t͡ɕʰiəʔ²
姊	t͡sz̩⁵³
始	sz̩⁵³
姐夫	t͡ɕie⁵³ fu⁴⁵
姐妹	t͡ɕie⁵³ mei⁴⁵
姐姐	t͡ɕie⁵³ t͡ɕie⁵³⁻¹¹
姑姑虫	ku¹¹ ku¹¹⁻⁴⁵ t͡sʰuŋ¹¹
姑姑蟲	ku¹¹ ku¹¹⁻⁴⁵ t͡sʰuŋ¹¹
姑娘	ku¹¹ niɒ̃⁴⁵
姑爷	ku¹¹ ie¹¹
姑爺	ku¹¹ ie¹¹
姓	ɕiŋ⁴⁵
委	vei⁵³
姚	iau¹¹
姜	t͡ɕiɒ̃¹¹
姥姥	lau⁵³ lau⁵³⁻¹¹
姥娘	lau⁵³ niɒ̃⁴⁵
姥爷	lau⁵³ ie¹¹
姥爺	lau⁵³ ie¹¹
姨	i¹¹
姨娘	i¹¹ niɒ̃¹¹
姪	t͡səʔ⁵⁴
姪儿子	t͡səʔ⁵⁴ əɻ¹¹ t͡səʔ²
姪兒子	t͡səʔ⁵⁴ əɻ¹¹ t͡səʔ²
姪女子	t͡səʔ⁵⁴⁻² ny⁵³ t͡səʔ¹
威	vei¹¹
娃	va¹¹
娃娃	va¹¹ va¹¹⁻⁴⁵
娘	niɒ̃¹¹
娘娘	niɒ̃¹¹ niɒ̃¹¹⁻⁴⁵
娘家	niɒ̃¹¹ t͡ɕia¹¹
娛	y⁴⁵
娱	y⁴⁵
娶	t͡sʰəʔ²
婆	pʰɤ¹¹
婆姨	pɤ¹¹ i¹¹
婆婆	pʰɤ¹¹ pʰɤ¹¹⁻⁴⁵
婆婆家	pʰɤ¹¹ pʰɤ¹¹⁻⁴⁵ t͡ɕia¹¹
婆媳俩	pʰɤ¹¹ ɕiəʔ² lia⁵³
婆媳俩个	pʰɤ¹¹ ɕiəʔ² lia⁵³ kɤ⁴⁵
婆媳倆	pʰɤ¹¹ ɕiəʔ² lia⁵³
婆媳倆個	pʰɤ¹¹ ɕiəʔ² lia⁵³ kɤ⁴⁵
婆家	pʰɤ¹¹ t͡ɕia¹¹
婊	piau⁵³
婊子	piau⁵³ t͡səʔ¹
婚	xuŋ¹¹
婦	fu⁴⁵
婴	iŋ¹¹
婶	səŋ⁵³
婶婶	səŋ⁵³ səŋ⁵³⁻¹¹
婿	ɕy⁴⁵
媒	mei¹¹
媒人	mei¹¹ ʐəŋ¹¹
媒婆	mei¹¹ pʰɤ¹¹
媒婆子	mei¹¹ pʰɤ¹¹ t͡səʔ²
媳	ɕiəʔ²
媳妇子	ɕiəʔ² fu⁴⁵ t͡səʔ⁴
媳婦子	ɕiəʔ² fu⁴⁵ t͡səʔ⁴
媽	ma¹¹
媽媽	ma¹¹ ma¹¹⁻⁴⁵
媽家	ma¹¹ t͡ɕia¹¹
嫌弃	ɕie¹¹ t͡ɕʰi⁴⁵
嫌棄	ɕie¹¹ t͡ɕʰi⁴⁵
嫩	nuŋ⁴⁵
嬰	iŋ¹¹
嬸	səŋ⁵³
嬸嬸	səŋ⁵³ səŋ⁵³⁻¹¹
子	t͡sz̩⁵³
子宫	t͡sz̩⁵³ kuŋ¹¹
子宮	t͡sz̩⁵³ kuŋ¹¹
孔	kʰuŋ⁵³
孔雀	kʰuŋ⁵³ t͡ɕʰiəʔ²
孕	yŋ⁴⁵
字	t͡sz̩⁴⁵
字号	t͡sz̩⁴⁵ xau⁴⁵
字帖	t͡sz̩⁴⁵ tʰiəʔ²
字框	t͡sz̩⁴⁵ kʰuɒ̃⁴⁵
字號	t͡sz̩⁴⁵ xau⁴⁵
存	t͡sʰuŋ¹¹
孙	suŋ¹¹
孙女子	suŋ¹¹ ny⁵³ t͡səʔ¹
孙子	suŋ¹¹ t͡səʔ²
孙子女婿	suŋ¹¹ t͡səʔ² ny⁵³ ɕy⁴⁵
孟	məŋ⁴⁵
季	t͡ɕi⁴⁵
孤	ku¹¹
孤儿	ku¹¹ əɻ¹¹
孤兒	ku¹¹ əɻ¹¹
孥猫	nu¹¹ mau¹¹
孥貓	nu¹¹ mau¹¹
学	ɕyəʔ⁵⁴
学堂	ɕyəʔ⁵⁴ tʰɒ̃¹¹
学士椅	ɕyəʔ⁵⁴⁻² sz̩⁴⁵ i⁵³
学好	ɕyəʔ⁵⁴⁻² xau⁵³
学徒	ɕyəʔ⁵⁴ tʰu¹¹
学校	ɕyəʔ⁵⁴⁻² ɕiau⁴⁵
学生	ɕyəʔ⁵⁴ səŋ¹¹
学费	ɕyəʔ⁵⁴⁻² fei⁴⁵
孫	suŋ¹¹
孫女子	suŋ¹¹ ny⁵³ t͡səʔ¹
孫子	suŋ¹¹ t͡səʔ²
孫子女婿	suŋ¹¹ t͡səʔ² ny⁵³ ɕy⁴⁵
孵	fu¹¹
學	ɕyəʔ⁵⁴
學堂	ɕyəʔ⁵⁴ tʰɒ̃¹¹
學士椅	ɕyəʔ⁵⁴⁻² sz̩⁴⁵ i⁵³
學好	ɕyəʔ⁵⁴⁻² xau⁵³
學徒	ɕyəʔ⁵⁴ tʰu¹¹
學校	ɕyəʔ⁵⁴⁻² ɕiau⁴⁵
學生	ɕyəʔ⁵⁴ səŋ¹¹
學費	ɕyəʔ⁵⁴⁻² fei⁴⁵
孽	niəʔ²
宁	niŋ¹¹
守	səu⁵³
守寡	səu⁵³⁻¹¹ kua⁵³
守灵	səu⁵³ liŋ¹¹
守靈	səu⁵³ liŋ¹¹
安	ɣæ̃¹¹
安生	ɣæ̃¹¹ səŋ¹¹
宋	suŋ¹¹
完	væ̃¹¹
宏	xuŋ¹¹
宗	t͡suŋ¹¹
官	kuæ̃¹¹
官司	kuæ̃¹¹ sz̩¹¹
定	tiŋ⁴⁵
定礼	tiŋ⁴⁵ li⁵³
定禮	tiŋ⁴⁵ li⁵³
宝	pau⁵³
宝塔	pau⁵³ tʰaʔ²
宝石	pau⁵³⁻¹¹ səʔ⁵⁴
实	səʔ⁵⁴
实用	səʔ⁵⁴⁻² yŋ⁴⁵
实话	səʔ⁵⁴⁻² xua⁴⁵
审	səŋ⁵³
客	kʰaʔ²
客人	kʰaʔ²⁻⁵⁴ ʐəŋ¹¹
客店	kʰaʔ² tie⁴⁵
客房	kʰaʔ²⁻⁵⁴ fɒ̃¹¹
客气甚嘞	kʰaʔ² t͡ɕʰi⁴⁵ səŋ⁴⁵ lɤ¹¹
客氣甚嘞	kʰaʔ² t͡ɕʰi⁴⁵ səŋ⁴⁵ lɤ¹¹
宣	ɕye¹¹
宣紙	ɕye¹¹ t͡sz̩⁵³
宣纸	ɕye¹¹ t͡sz̩⁵³
室	səʔ²
宪	ɕie⁴⁵
宫	kuŋ¹¹
宮	kuŋ¹¹
宰	t͡sai⁵³
害	xai⁴⁵
害怕	xai⁴⁵ pʰa⁴⁵
宵	ɕiau¹¹
家	t͡ɕia¹¹
家具	t͡ɕia¹¹ t͡ɕy⁴⁵
家务事	t͡ɕia¹¹ vu⁴⁵ sz̩⁴⁵
家務事	t͡ɕia¹¹ vu⁴⁵ sz̩⁴⁵
家裡的	t͡ɕia¹¹ ləʔ² təʔ³
家里的	t͡ɕia¹¹ ləʔ² təʔ³
容	yŋ¹¹
容易	yŋ¹¹ i⁴⁵
宾	piŋ¹¹
寂	t͡ɕiəʔ²
寄	t͡ɕi⁴⁵
寅	iŋ¹¹
密	miəʔ²
寇	kʰəu⁴⁵
寒	xæ̃¹¹
寒假	xæ̃¹¹ t͡ɕia⁴⁵
寒毛	xæ̃¹¹ mau¹¹
寒毛眼眼	xæ̃¹¹ mau¹¹ nie⁵³ nie⁵³⁻¹¹
寒露	xæ̃¹¹ ləu⁴⁵
寒食節	xæ̃¹¹ səʔ⁵⁴ t͡ɕiəʔ²
寒食节	xæ̃¹¹ səʔ⁵⁴ t͡ɕiəʔ²
察	t͡sʰaʔ²
寡	kua⁵³
寡妇	kua⁵³ fu⁴⁵
寡婦	kua⁵³ fu⁴⁵
寡水子气	kua⁵³⁻¹¹ suei⁵³ t͡səʔ¹ t͡ɕʰi⁴⁵
寡水子氣	kua⁵³⁻¹¹ suei⁵³ t͡səʔ¹ t͡ɕʰi⁴⁵
實	səʔ⁵⁴
實用	səʔ⁵⁴⁻² yŋ⁴⁵
實話	səʔ⁵⁴⁻² xua⁴⁵
寧	niŋ¹¹
審	səŋ⁵³
寫	ɕie⁵³
寶	pau⁵³
寶塔	pau⁵³ tʰaʔ²
寶石	pau⁵³⁻¹¹ səʔ⁵⁴
寸	t͡sʰuŋ⁴⁵
对	tuei⁴⁵
对不起	tuei⁴⁵ pəʔ² t͡ɕʰi⁵³
对联	tuei⁴⁵ lye¹¹
对襟子	tuei⁴⁵ t͡ɕiŋ¹¹ t͡səʔ²
对象	tuei⁴⁵ ɕiɒ̃⁴⁵
对质	tuei⁴⁵ t͡səʔ²
寺	sz̩⁴⁵
寻	ɕiŋ¹¹
寿	səu⁴⁵
封	fəŋ¹¹
射	sɤ⁴⁵
專	t͡suæ̃¹¹
專心	t͡suæ̃¹¹ ɕiŋ¹¹
尊	t͡suŋ¹¹
尋	ɕiŋ¹¹
對	tuei⁴⁵
對不起	tuei⁴⁵ pəʔ² t͡ɕʰi⁵³
對聯	tuei⁴⁵ lye¹¹
對襟子	tuei⁴⁵ t͡ɕiŋ¹¹ t͡səʔ²
對象	tuei⁴⁵ ɕiɒ̃⁴⁵
對質	tuei⁴⁵ t͡səʔ²
小	ɕiau⁵³
小名	ɕiau⁵³ miŋ¹¹
小后生	ɕiau⁵³ xəu⁴⁵ səŋ¹¹
小姑子	ɕiau⁵³ ku¹¹ t͡səʔ²
小姨子	ɕiau⁵³ i¹¹ t͡səʔ²
小娃娃	ɕiau⁵³ va¹¹ va¹¹⁻⁴⁵
小寒	ɕiau⁵³ xæ̃¹¹
小後生	ɕiau⁵³ xəu⁴⁵ səŋ¹¹
小拇指头	ɕiau⁵³ məʔ¹ t͡səʔ² tʰəu⁴⁵
小拇指頭	ɕiau⁵³ məʔ¹ t͡səʔ² tʰəu⁴⁵
小暑	ɕiau⁵³⁻¹¹ su⁵³
小气	ɕiau⁴⁵ t͡ɕʰi⁵³
小气鬼	ɕiau⁵³ t͡ɕʰi⁴⁵ kuei⁵³
小氣	ɕiau⁴⁵ t͡ɕʰi⁵³
小氣鬼	ɕiau⁵³ t͡ɕʰi⁴⁵ kuei⁵³
小满	ɕiau⁵³⁻¹¹ mæ̃⁵³
小滿	ɕiau⁵³⁻¹¹ mæ̃⁵³
小白菜	ɕiau⁵³ pai¹¹ t͡sʰai⁴⁵
小米	ɕiau⁵³⁻¹¹ mi⁵³
小雞	ɕiau⁵³ t͡ɕi¹¹
小雪	ɕiau⁵³ ɕyəʔ²
小鬼	ɕiau⁵³⁻¹¹ kuei⁵³
小鴨鴨	ɕiau⁵³ iaʔ² iaʔ²
小鵝鵝	ɕiau⁵³ ɣɤ¹¹ ɣɤ¹¹⁻⁴⁵
小鸡	ɕiau⁵³ t͡ɕi¹¹
小鸭鸭	ɕiau⁵³ iaʔ² iaʔ²
小鹅鹅	ɕiau⁵³ ɣɤ¹¹ ɣɤ¹¹⁻⁴⁵
小麥	ɕiau⁵³ miəʔ²
小麦	ɕiau⁵³ miəʔ²
少	sau⁵³
尔俩	nie¹¹ lia⁵³
尔俩个	nie¹¹ lia⁵³ kɤ⁴⁵
尖	t͡ɕie¹¹
尖尖	t͡ɕie¹¹ t͡ɕie¹¹⁻⁴⁵
尖尖鞋	t͡ɕie¹¹ t͡ɕie¹¹⁻⁴⁵ xai¹¹
尚	sɒ̃⁴⁵
就	t͡ɕiəu⁴⁵
尺	t͡sʰəʔ²
尺子	t͡sʰəʔ² t͡səʔ³
尼	ni¹¹
尾	vei⁵³
尾巴	i⁵³ pa¹¹
尿	niau⁴⁵
尿脬	niau⁴⁵ pʰau¹¹
尿褯子	niau⁴⁵ t͡ɕie⁴⁵ t͡səʔ⁴
屁	pʰi⁴⁵
屁眼	pʰi⁴⁵ nie⁵³
屁股	pʰi⁴⁵ kuəʔ²
层	t͡sʰəŋ¹¹
屄	pʰi¹¹
居	t͡ɕy¹¹
居家	t͡ɕy¹¹ t͡ɕia¹¹
居民	t͡ɕy¹¹ miŋ¹¹
屈	t͡ɕʰyəʔ²
屈才	t͡ɕʰyəʔ²⁻⁵⁴ t͡sʰai¹¹
屈打成招	t͡ɕʰyəʔ²⁻⁴⁵ ta⁵³ t͡sʰəŋ¹¹ t͡sau¹¹
屋	vəʔ²
屎	sz̩⁵³
屎巴牛	sz̩⁵³ pa¹¹ niəu¹¹
屎布	sz̩⁵³ pu⁴⁵
屏	pʰiŋ¹¹
屑	ɕiəʔ²
展	t͡sæ̃⁵³
屙	ɣɤ¹¹
屙屎	ɣɤ¹¹ sz̩⁵³
屡	ly⁵³
屢	ly⁵³
層	t͡sʰəŋ¹¹
履	ly⁵³
山	sæ̃¹¹
山核桃	sæ̃¹¹ kəʔ⁵⁴ tʰau¹¹
山汉	sæ̃¹¹ xæ̃⁴⁵
山漢	sæ̃¹¹ xæ̃⁴⁵
山药蛋	sæ̃¹¹ iəʔ² tæ̃⁴⁵
山藥蛋	sæ̃¹¹ iəʔ² tæ̃⁴⁵
山西梆子	sæ̃¹¹ ɕi¹¹ pɒ̃¹¹ t͡səʔ²
岁	suei⁴⁵
岁数	suei⁴⁵ su⁵³
岔	t͡sʰa⁴⁵
岔路	t͡sʰa⁴⁵ ləu⁴⁵
岛	tau⁵³
