# Burmese pronunciation lexicon (the 🟡→✅ lexical layer) — undiacritized word ⇥ canonical IPA, for words the
# rule g2p gets wrong (lexical rime, colloquial, Pali gemination, loanword ⟨ရ⟩→ɹ). Mined from the kaikki gold
# (Wiktionary, CC-BY-SA) by tools/build-my-dict.ts; tone diacritics converted to our Chao letters. Applied in
# burmese.ts (an exact-word override before the g2p rules); OOV words keep the rule reading.
နောက်ပြီး	naʊʔpi˥˩
နေ့လည်	ne˥ˀlɛ˨
နံပါတ်ဖိုး	na˨ɴpa˨tpʰo˥˩
နံပြား	na˨ɴbja˥˩
နွယ်	nwɛ˨
နွယ်ချို	nwɛ˨d͡ʑo˨
နွယ်တာ	nwɛ˨ta˨
နွားထီး	nətʰi˥˩
နွားနောက်	nənaʊʔ
နွားမ	nəma˥ˀ
နှစ်ကျိပ်ရှစ်ဆူ	n̥a˥ˀt͡ɕeɪʔʃɪʔsʰu˨
နှစ်ချောင်းငင်	n̥ət͡ɕʰa˥˩ʊɴŋɪ˨ɴ
နှစ်ချောင်းပုဒ်	n̥ət͡ɕʰa˥˩ʊɴpoʊʔ
နှစ်ဆန်းတစ်ရက်	n̥ɪʔsʰa˥˩ɴtəjɛʔ
နှစ်ဆန်းတစ်ရက်နေ့	n̥ɪʔsʰa˥˩ɴtəjɛʔne˥ˀ
နှစ်ဆယ်	n̥əsʰɛ˨
နှစ်ပါးသွား	n̥əpa˥˩θwa˥˩
နှစ်ရာ	n̥əja˨
နှစ်လ	n̥əla˥ˀ
နှစ်သစ်အဓိဋ္ဌာန်	n̥ɪʔθɪʔʔədi˨ttʰa˨n
နှာခေါင်း	n̥əkʰa˥˩ʊɴ
နှာခေါင်းပိတ်	n̥əkʰa˥˩ʊɴpeɪʔ
နှာခေါင်းပေါက်	n̥əkʰa˥˩ʊɴbaʊʔ
နှာစေး	n̥a˨si˥˩
နှာမောင်း	n̥əma˥˩ʊɴ
ပခုက္ကူ	pəkʰu˨kku˨
ပင်မှည့်	pɪ˨ɴm̥ɛ˥ˀ
ပင်လယ်ဓားပြ	pɪ˨ɴlɛ˨dəmja˥ˀ
ပစောက်	pa˥ˀzaʊʔ
ပစ္စက္ခ	pjɪʔsɛʔkʰa˥ˀ
ပစ္စည်း	pjɪʔsi˥˩
ပစ္စည်းလေးပါး	pjɪʔsi˥˩le˥˩ba˥˩
ပစ္စယာ	pjɪʔsəja˨
ပစ္စုပ္ပန်	pjɪʔsoʊʔpa˨ɴ
ပစ်	pjɪʔ
ပစ်မှတ်	pjɪʔm̥aʔ
ပဉ္စ	pjɪ˨ɴsa˥ˀ
ပဉ္စကလျာဏီ	pjɪ˨ɴsa˥ˀkələja˨ni˨
ပဉ္စဂံ	pjɪ˨ɴsəɡa˨ɴ
ပဉ္စင်တူရိယာ	pjɪʔsɪ˨ɴtu˨ɹi˥ˀja˨
ပဉ္စင်း	bəzɪ˥˩ɴ
ပဉ္စရူပ	pjɪ˨ɴsa˥ˀɹu˨pa˥ˀ
ပဉ္စသီလ	pjɪ˨ɴsa˥ˀθi˨la˥ˀ
ပညတ်	pɪ˨ɴɲaʔ
ပညတ်တော်	pjɪ˥ˀɴnaʔtɔ˨
ပညာ	pjɪ˨ɴɲa˨
ပညာကျော်	pjɪ˨ɴɲa˨d͡ʑɔ˨
ပညာတတ်	pjɪ˨ɴɲa˨daʔ
ပညာတတ်လူတန်းစား	pjɪ˨ɴɲa˨daʔlu˨da˥˩ɴza˥˩
ပညာပေး	pjɪ˨ɴɲa˨pe˥˩
ပညာဗလ	pjɪ˨ɴɲa˨bəla˥ˀ
ပညာရေး	pjɪ˨ɴɲa˨je˥˩
ပညာရှင်	pjɪ˨ɴɲa˨ʃɪ˨ɴ
ပညာရှိ	pjɪ˨ɴɲa˨ʃi˥ˀ
ပညာသင်	pjɪ˨ɴɲa˨ðɪ˨ɴ
ပညာသင်ဆု	pjɪ˨ɴɲa˨θɪ˨ɴsʰu˥ˀ
ပညာသည်	pjɪ˨ɴɲa˨ðe˨
ပဋိက္ကရား	pəteɪʔkəja˥˩
ပဋိဇီဝဆေး	pədi˥ˀzi˨wa˥ˀsʰe˥˩
ပဋိပက္ခဒေသ	pədi˥ˀpɛʔkʰa˥ˀde˨θa˥ˀ
ပဏ္ဏာ	pəna˨
ပတ္တမြား	bədəmja˥˩
ပတ္တလား	paʔta˥ˀla˥˩
ပတ္ထနာ	pətʰəna˨
ပထမကမ္ဘာစစ်	pa˥ˀtʰəma˥ˀɡəba˨sɪʔ
ပထမဘွဲ့	pa˥ˀtʰəma˥ˀbwɛ˥ˀ
ပဒုမ	pədo˨ʊɴma˥ˀ
ပဒုမဘုရား	pədu˥ˀma˥ˀpʰəja˥˩
ပဒုမုတ္တရ	pədu˥ˀmoʊʔtəɹa˥ˀ
ပဒုမုတ္တရဘုရား	pədu˥ˀmoʊʔtəɹa˥ˀpʰəja˥˩
ပဒေသရာဇ်	bəde˨θəɹɪʔ
ပဒေသာပင်ခေတ်	bəde˨θa˨bɪ˨ɴkʰɪʔ
ပနားမား	pa˥ˀna˥˩ma˥˩
ပန်တျာ	pa˨ɴtəja˨
ပန်းကန်	bəɡa˨ɴ
ပန်းခုနစ်မည်	pa˥˩ɴkʰənəmji˨
ပန်းချီ	bəd͡ʑi˨
ပန်းချီဆရာ	bəd͡ʑi˨sʰəja˨
ပန်းတဉ်း	bədɪ˥˩ɴ
ပန်းထိမ်	bəde˨ɪɴ
ပန်းပု	bəbu˥ˀ
ပန်းပဲ	bəbɛ˥˩
ပန်းပွတ်	bəbʊʔ
ပန်းမုန်လာဖြူ	pa˥˩ɴmo˨ʊɴla˨bju˨
ပန်းရန်	bəja˨ɴ
ပန်းဝတ်ရည်	pa˥˩ɴwʊʔje˨
ပရက်ဂ်	pəɹɛʔɡ
ပရစ်ဇမ်	pəɹɪʔza˨ɴ
ပရနိမ္မိတဝသဝတ္တီ	pəɹa˥ˀne˨ɪɴmi˥ˀta˥ˀwəθaʔti˨
ပရဟိတ	pəɹa˥ˀhi˥ˀta˥ˀ
ပရာ့ဂ်	pəɹa˥ˀɡ
ပရိက္ခရာ	pəɹeɪʔkʰəja˨
ပရိဒေဝ	pəɹi˥ˀde˨wa˥ˀ
ပရိနိဗ္ဗာန်	pəɹeɪʔneɪʔba˨ɴ
ပရိနိဗ္ဗာန်စံ	pəɹeɪʔneɪʔba˨ɴsa˨ɴ
ပရိဘောဂ	pəɹi˥ˀbɔ˥˩ɡa˥ˀ
ပရိယာယ်	pəɹi˥ˀjɛ˨
ပရိဝုဏ်	pəɹəwo˨ʊɴ
ပရိသတ်	pəjeɪʔθaʔ
ပရိုဂရမ်	pəɹo˨ɡəɹa˨ɴ
ပရိုဂရမ်မာ	pəɹo˨ɡəɹa˨ɴma˨
ပရိုဂျက်	pəɹo˨d͡ʑɛʔ
ပရိုင်းမိတ်	pəɹa˥˩ɪɴmeɪʔ
ပရိုတင်း	pəɹo˨tɪ˥˩ɴ
ပရီတိုရီးယား	pəɹi˨to˨ɹi˥˩ja˥˩
ပလပ်ကျွတ်	pa˥ˀlaʔt͡ɕʊʔ
ပလ္လင်	pəlɪ˨ɴ
ပလ္လင်ခံ	pəlɪ˨ɴkʰa˨ɴ
ပလွေ	pa˥ˀlwe˨
ပဝရ	pəwəɹa˥ˀ
ပသျှူး	pəʃu˥˩
ပသျှူးရာမ	pəʃu˥˩ja˨ma˥ˀ
ပအိုဝ်း	pəʔo˥˩w
ပအို့ဝ်	pəʔo˥˩w
ပါရဂူ	pa˨ɹəɡu˨
ပါရစေ	pa˨ja˥ˀze˨
ပါရမီ	pa˨ɹəmi˨
ပါရမီဆယ်ပါး	pa˨ɹəmi˨sʰɛ˨ba˥˩
ပါရရာ	pa˨ɹəja˨
ပါရာဂွေး	pa˨ɹa˨ɡwe˥˩
ပါရီ	pa˨ɹi˨
ပါရုပန	pa˨ɹu˥ˀpəna˥ˀ
ပါးစပ်	bəzaʔ
ပါးစပ်ကြမ်း	bəzaʔt͡ɕa˥˩ɴ
ပါးစပ်ရာဇဝင်	bəzaʔja˨zəwɪ˨ɴ
ပါးဟက်	pəhɛʔ
ပိစပ်	bi˥ˀzaʔ
ပိဋကတ်	bi˥ˀdəɡaʔ
ပိဋကတ်တိုက်	bi˥ˀdəɡaʔdaɪʔ
ပိတောက်	bədaʊʔ
ပိရမစ်	pi˥ˀɹəmɪʔ
ပိုက်ကွက်	paɪʔkwɛʔ
ပိဿာ	peɪʔθa˨
ပီယဒဿီ	pi˨ja˥ˀdaʔθi˨
ပီယဒဿီဘုရား	pi˨ja˥ˀdaʔθi˨pʰəja˥˩
ပီရူး	pi˨ɹu˥˩
ပုခက်	pəkʰɛʔ
ပုဂံ	bəɡa˨ɴ
ပုဂ္ဂိုလ်	poʊʔɡo˨
ပုစဉ်း	bəzɪ˥˩ɴ
ပုစဉ်းရင်ကွဲ	bəzɪ˥˩ɴjɪ˨ɴɡwɛ˥˩
ပုစွန်	bəzʊ˨ɴ
ပုစွန်တာရာ	bəzʊ˨ɴta˨ja˨
ပုဆိန်	pəsʰe˨ɪɴ
ပုဆိုး	pəsʰo˥˩
ပုည	po˨ʊɴɲa˥ˀ
ပုဏ္ဍရိက	po˨ʊɴda˥ˀɹi˥ˀka˥ˀ
ပုဏ္ဏမန္တာနီပုတ္တ	po˨ʊɴna˥ˀma˨ɴta˨ni˨poʊʔta˥ˀ
ပုတို	bu˥ˀdo˨
ပုတီး	bədi˥˩
ပုထိုး	pətʰo˥˩
ပုဒ်ထီး	poʊʔkəle˥˩
ပုန်းရည်ကြီး	po˥˩ʊɴje˨d͡ʑi˥˩
ပုရစ်	pəjɪʔ
ပုရပိုက်	pəɹəbaɪʔ
ပုရွက်	pəjwɛʔ
ပုရွက်ဆိတ်	pəjwɛʔsʰeɪʔ
ပုလင်း	pəlɪ˥˩ɴ
ပုလိပ်	pəleɪʔ
ပုလဲ	pəlɛ˥˩
ပုသိမ်	pəθe˨ɪɴ
ပုံပြင်	po˨ʊɴbjɪ˨ɴ
ပူတကေ	pu˨ta˥ˀke˨
ပူဒီနာ	pu˨si˨na˨
ပူဖောင်း	bu˨ba˥˩ʊɴ
ပူရ	pu˨ɹa˥ˀ
ပူရီ	pu˨ɹi˨
ပေမဲ့	be˨mɛ˥ˀ
ပေယျာလ	pe˨ja˨la˥ˀ
ပေါလော	bɔ˥˩lɔ˥˩
ပေါ့ဒ်ဂိုရစ်ဆာ	pɔ˥ˀdɡo˨ɹɪʔsʰa˨
ပေါ့ပ်ဂီတ	pɔ˥ˀpɡi˨ta˥ˀ
ပေါ်ကြော့	bɔ˨d͡ʑɔ˥ˀ
ပဲကတ္တီပါ	pɛ˥˩ɡədi˨pa˨
ပဲခူး	bəɡo˥˩
ပဲငံပြာရည်	pɛ˥˩ŋa˨ɴbja˨je˨
ပဲစောင်းလျား	pɛ˥˩za˥˩ʊɴja˥˩
ပဲတောင့်ပြုတ်	pɛ˥˩da˥ˀʊɴbjoʊʔ
ပဲနပြား	pɛ˥˩nəbja˥˩
ပဲပုစွန်	pəpəzʊ˥˩ɴ
ပဲပြုတ်	pɛ˥˩bjoʊʔ
ပဲလေးညှင်း	pɛ˥˩ni˨ɡəle˥˩
ပျဉ်းမနား	pjɪ˥˩ɴma˥ˀna˥˩
ပျပျ	pja˥ˀbja˥ˀ
ပျားတူ	ba˥ˀdu˨
ပျားရည်	pja˥˩je˨
ပျောက်ကွယ်	pjaʊʔkwɛ˨
ပျော်ပျော်	pjɔ˨bjɔ˨
ပျံကျ	bja˨ɴd͡ʑa˥ˀ
ပြခန်း	pja˥ˀɡa˥˩ɴ
ပြချက်	pja˥ˀd͡ʑɛʔ
ပြင်ပြင်	pjɪ˨ɴbjɪ˨ɴ
ပြဇာတ်	pja˥ˀza˨t
ပြည့်	pje˥ˀ
ပြည့်တန်ဆာ	pji˥ˀdəza˨
ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော်	pji˨tʰa˨ʊɴsu˥ˀθa˨ɴma˥ˀta˥ˀmja˨ɴma˨na˨ɪɴŋa˨ɴtɔ˨
ပြတင်းပေါက်	bədɪ˥˩ɴbaʊʔ
ပြတိုက်	pja˥ˀdaɪʔ
ပြဒါးချိန်	bəda˥˩d͡ʑe˨ɪɴ
ပြပွဲ	pja˥ˀbwɛ˥˩
ပြယုဂ်	pja˥ˀjoʊʔ
ပြသ	pja˥ˀθa˥ˀ
ပြာခွက်	pja˨ɡwɛʔ
ပြာသာဒ်	pjaʔθaʔ
ပြိဿ	pjeɪʔθa˥ˀ
ပြီး	pi˥˩
ပြီးတော့	pi˥˩dɔ˥ˀ
ပြီးပြီ	pi˥˩bi˨
ပြုပြင်	pju˥ˀbjɪ˨ɴ
ပြောက်သောက်	bjaʊʔθaʊʔ
ပြောင်တိုက်	bja˨ʊɴtaɪʔ
ပြောင်းပြန်	bja˥˩ʊɴbja˨ɴ
ပြဿဒါး	pjaʔðəda˥˩
ပြဿနာ	pjaʔθəna˨
ပၑ	pəʃa˥ˀ
ဖက်ဒရယ်	pʰɛʔdəɹɛ˨
ဖခင်	pʰa˥ˀɡɪ˨ɴ
ဖငယ်	pʰa˥ˀŋɛ˨
ဖင်လျက်	pʰɪ˨ɴjɛʔ
ဖယ်ဒရယ်	pʰɛ˨dəɹɛ˨
ဖယ်ဒရေးရှင်း	pʰɛ˨dəɹe˥˩ʃɪ˥˩ɴ
ဖရင်းချား	pʰəɹɪ˥˩ɴd͡ʑa˥˩
ဖရန့်	pʰəɹa˥ˀɴ
ဖရု	pʰa˥ˀju˥ˀ
ဖရုသဝါစာ	pʰəɹu˥ˀθa˥ˀwa˨sa˨
ဖာသည်မ	pʰa˨θɛ˨ma˥ˀ
ဖားပြုပ်	pʰəbjoʊʔ
ဖားလောင်း	pʰəla˥˩ʊɴ
ဖိနပ်	pʰənaʔ
ဖိနပ်ချွတ်	pʰənaʔt͡ɕʰʊʔ
ဖုဿ	pʰoʊʔθa˥ˀ
ဖုဿဘုရား	pʰoʊʔθa˥ˀpʰəja˥˩
ဖေ	ʔəpʰe˨
ဖေဖော်ဝါရီ	pʰe˨pʰɔ˨wa˨ɹi˨
ဖေါ်ပြချက်	pʰɔ˨pja˥ˀt͡ɕʰɛʔ
ဖောက်သည်	pʰaʊʔθɛ˨
ဖော့ဖျက်	pʰɔ˥ˀbjɛʔ
ဖျင်ဖျင်	pʰjɪ˨ɴbjɪ˨ɴ
ဖျောင်းဖျ	pʰja˥˩ʊɴbja˥ˀ
ဖျော်ဖြေ	pʰjɔ˨bje˨
ဖျော်ဖြေပွဲ	pʰjɔ˨bje˨bwɛ˥˩
ဖြည့်	pʰje˥ˀ
ဖြည်း	pʰje˥˩
ဖြည်းဖြည်း	pʰje˥˩bje˥˩
ဖြုန်း	bjo˥˩ʊɴ
ဖြေဖျောက်	pʰje˨bjaʊʔ
ဖြောဖြော	pʰjɔ˥˩bjɔ˥˩
ဖြော်ဖြော်	pʰjɔ˨bjɔ˨
ဖွက်	pʰwɛʔ
ဗက်တီးရီးယား	bɛʔti˥˩ɹi˥˩ja˥˩
ဗထက်ခြိုက်	ba˥ˀtʰɛʔt͡ɕʰaɪʔ
ဗန်ရှည်	ba˨ɴʃe˨
ဗဟိုအာဖရိကသမ္မတ	bəho˨ʔa˨pʰəɹi˥ˀka˥ˀθəməda˥ˀ
ဗာတီကန်မြို့ပြနိုင်ငံ	ba˨ti˨ka˨ɴmjo˥ˀpja˥ˀna˨ɪɴŋa˨ɴ
ဗိမာန်	beɪʔma˨ɴ
ဗိသုကာ	bi˥ˀðəɡa˨
ဗိုင်းရပ်စ်	ba˥˩ɪɴɹaʔs
ဗိုလ်	bo˨
ဗိုလ်ကိတ်ပဲ	bo˨keɪʔbɛ˥˩
ဗိုလ်ကေ	bo˨ke˨
ဗိုလ်ကျ	bo˨t͡ɕa˥ˀ
ဗိုလ်ကြီး	bo˨d͡ʑi˥˩
ဗိုလ်ချုပ်	bo˨d͡ʑoʊʔ
ဗိုလ်ချုပ်ကြီး	bo˨d͡ʑoʊʔd͡ʑi˥˩
ဗိုလ်ချုပ်မှူးကြီး	bo˨d͡ʑoʊʔm̥u˥˩d͡ʑi˥˩
ဗိုလ်ခြေ	bo˨d͡ʑe˨
ဗိုလ်စားပဲ	bo˨za˥˩bɛ˥˩
ဗိုလ်မှူး	bo˨m̥u˥˩
ဗိုလ်မှူးကြီး	bo˨m̥u˥˩d͡ʑi˥˩
ဗိုလ်မှူးချုပ်	bo˨m̥u˥˩d͡ʑoʊʔ
ဗိုလ်လုပွဲ	bo˨llu˥ˀpwɛ˥˩
ဗိုလ်လောင်း	bo˨la˥˩ʊɴ
ဗိဿနိုး	beɪʔθəno˥˩
ဗီရို	bi˨do˨
ဗုဒ္ဓဘာသာ	boʊʔda˥ˀba˨ða˨
ဗုဒ္ဓဝါဒီ	boʊʔda˥ˀwa˨di˨
ဗုဒ္ဓသာသနာ	boʊʔda˥ˀθa˨ðəna˨
ဗုဒ္ဓဟူးဂြိုဟ်	boʊʔdəhu˥˩d͡ʑo˨
ဗုံးကြဲလေယာဉ်	bo˥˩ʊɴt͡ɕɛ˥˩le˨jɪ˨ɴ
ဗူးခရက်	bu˥˩kʰa˥ˀɹɛʔ
ဗူးဒပက်	bu˥˩da˥ˀpɛʔ
ဗော့ဒ်ကာ	bɔ˥ˀdka˨
ဗျူရို	bju˨ɹo˨
ဗျူရိုကရေစီ	bju˨ɹo˨kəɹe˨si˨
ဗြဟ္မစိုရ်တရား	bjəməzo˨təja˥˩
ဗြဟ္မာ	bjəma˨
ဗြဟ္မာပုတ္တ	bja˨hma˨poʊʔta˥ˀ
ဗြာဟ္မဏ	bjəməna˥ˀ
ဗြိစ္ဆာ	bjeɪʔsʰa˨
ဗြိတိသျှ	bəɹi˥ˀti˥ˀʃa˥ˀ
ဗွက်	bwɛʔ
ဘကကျောင်း	ba˥ˀka˥ˀt͡ɕa˥˩ʊɴ
ဘကုန်း	ba˥ˀko˥˩ʊɴ
ဘက်ထရီ	bɛʔtʰa˥ˀɹi˨
ဘကြီး	ba˥ˀd͡ʑi˥˩
ဘဂ္ဂဒက်	ba˨ɡɡədɛʔ
ဘင်္ဂလားဒေ့ရှ်	bɪ˨ɴla˥˩de˥ˀʃ
ဘဇူကာ	ba˥ˀzu˨ka˨
ဘထွေး	ba˥ˀtʰwe˥˩
ဘယ်တော့မှ	bɛ˨dəma˥ˀ
ဘယ်နှစ်	bɛ˨n̥ə
ဘယ်ရီလီယမ်	bɛ˨ɹi˨li˨ja˨ɴ
ဘယ်လ်ဂျီယမ်	bɛ˨ld͡ʑi˨ja˨ɴ
ဘယ်သူ	bəθu˨
ဘယ်သူ့	bəθu˥ˀ
ဘရင်ဂျီ	bəɹɪ˨ɴd͡ʑi˨
ဘရင်းဂန်း	ba˥ˀɹɪ˥˩ɴɡa˥˩ɴ
ဘရဏီ	ba˥ˀjəni˨
ဘရန်ဒီ	ba˥ˀɹa˨ɴdi˨
ဘရပ်ဆဲလ်	bəɹaʔsʰɛ˥˩l
ဘရာစီယာ	bəɹa˨si˨ja˨
ဘရာဇီး	bəɹa˨zi˥˩
ဘရာတစ်လာဗာ	bəɹa˨tɪʔla˨ba˨
ဘရိတ်	bəɹeɪʔ
ဘရူနိုင်း	bəɹu˨na˥˩ɪɴ
ဘလိဇ်	bəli˨z
ဘလောက်	ba˥ˀlaʊʔ
ဘလော့ဂ်	bəloʊʔ
ဘလေး	ba˥ˀle˥˩
ဘဝရှင်	bəwa˥ˀʃɪ˨ɴ
ဘဟားမား	ba˥ˀha˥˩ma˥˩
ဘာရိန်း	ba˨ɹe˥˩ɪɴ
ဘာသန္တရ	ba˨ða˨ɴdəɹa˥ˀ
ဘိက္ခု	beɪʔkʰu˥ˀ
ဘိက္ခုနီ	beɪʔkʰu˥ˀni˨
ဘိလပ်ရည်	bi˥ˀlaʔje˨
ဘိသိက်	beɪʔθeɪʔ
ဘိသိက်ဆရာ	beɪʔθeɪʔsʰəja˨
ဘိုရွန်	bo˨ɹʊ˨ɴ
ဘိုးဘိုး	pʰo˥˩pʰo˥˩
ဘီလာရုဇ်	bi˨la˨ɹu˨z
ဘီလူး	bəlu˥˩
ဘီလူးစီး	bəlu˥˩si˥˩
ဘုန်း	pʰo˥˩ʊɴ
ဘုန်းကြီး	pʰo˥˩ʊɴd͡ʑi˥˩
ဘုန်းကြီးကျောင်း	pʰo˥˩ʊɴd͡ʑi˥˩t͡ɕa˥˩ʊɴ
ဘုန်းကြီးပျံ	pʰo˥˩ʊɴd͡ʑi˥˩bja˨ɴ
ဘုန်းတော်ကြီးဘုရား	pʰo˥˩ʊɴdɔ˨d͡ʑi˥˩pʰəja˥˩
ဘုန်းဘုန်း	pʰo˥˩ʊɴpʰo˥˩ʊɴ
ဘုရင်	bəjɪ˨ɴ
ဘုရင်ခံ	ba˥ˀjɪ˨ɴɡa˨ɴ
ဘုရင်မ	ba˥ˀjɪ˨ɴma˥ˀ
ဘုရင်မင်းမြတ်	bəjɪ˨ɴmɪ˥˩ɴmjaʔ
ဘုရား	pʰəja˥˩
ဘုရားကိုးဆူ	pʰəja˥˩ko˥˩sʰu˨
ဘုရားကျောင်း	pʰəja˥˩d͡ʑa˥˩ʊɴ
ဘုရားဖူး	pʰəja˥˩pʰu˥˩
ဘုရားရှိခိုး	pʰəja˥˩ʃi˥ˀkʰo˥˩
ဘုရားရှိခိုးကျောင်း	pʰəja˥˩ʃi˥ˀkʰo˥˩d͡ʑa˥˩ʊɴ
ဘုရားလောင်း	pʰəja˥˩la˥˩ʊɴ
ဘုရားသခင်	pʰəja˥˩θəkʰɪ˨ɴ
ဘုရားအလောင်း	pʰəja˥˩ʔəla˥˩ʊɴ
ဘူဂေးရီးယား	bu˨ɡe˥˩ɹi˥˩ja˥˩
ဘူမိရူပဗေဒ	bu˨mi˥ˀju˨pa˥ˀbe˨da˥ˀ
ဘူရွန်ဒီ	bu˨ɹʊ˨ɴdi˨
ဘေရွတ်	be˨ɹʊʔ
ဘောဂဗေဒ	bɔ˥˩ɡa˥ˀta˥ˀbe˨da˥ˀ
ဘော့စနီးယားနှင့်ဟာဇီဂိုဗီးနား	bɔ˥ˀsəni˥˩ja˥˩n̥ɪ˥ˀɴhəzi˨ɡo˨bi˥˩na˥˩
ဘေ့စ်ဘော	be˥ˀsbɔ˥˩
ဘဲလ်ဂရိတ်	bɛ˥˩lɡəɹeɪʔ
ဘွားဘွား	pʰwa˥˩pʰwa˥˩
မက	ma˥ˀka˥ˀ
မကရ	məkəɹa˥ˀ
မကြာခဏ	ma˥ˀt͡ɕa˨kʰa˥ˀna˥ˀ
မချစ်စု	ma˥ˀt͡ɕʰɪʔsu˥ˀ
မဂ္ဂဇင်း	mɛʔɡa˥ˀzɪ˥˩ɴ
မင့်စ်	mɪ˥ˀɴs
မင်းမျိုးမင်းနွယ်	mɪ˥˩ɴmjo˥˩mɪ˥˩ɴnwɛ˨
မင်းမြောက်တန်ဆာ	mɪ˥˩ɴmjaʊʔdəza˨
မင်းလက်ထပ်ပြီးပြီလား	mɪ˥˩ɴlɛʔtʰaʔpi˥˩bi˨la˥˩
မင်္ဂလဘုရား	mɪ˨ɴɡəla˥ˀpʰəja˥˩
မင်္ဂလသုတ်	mɪ˨ɴɡəla˥ˀθoʊʔ
မစင်	ma˥ˀsɪ˨ɴ
မဆလာ	ma˥ˀsʰəla˨
မဇ္ဈဒေသ	mɪʔza˥ˀde˨θa˥ˀ
မဉ္ဇူ	mjɪ˥ˀɴzu˨
မည်	mji˨
မည်စည်	mɛ˨zɛ˨
မည်း	mɛ˥˩
မဏိပူရ	məni˥ˀpu˨ɹa˥ˀ
မတကဘတ်	mətəka˥ˀbaʔ
မတရား	ma˥ˀta˥ˀja˥˩
မတော်တဆမှု	mətɔ˨təsʰa˥ˀm̥u˥ˀ
မတ်ခွက်	maʔkʰwɛʔ
မတ်စေ့	maʔsi˥ˀ
မထော်မနန်း	ma˥ˀtʰɔ˨ma˥ˀna˥˩ɴ
မဒရစ်	ma˥ˀdəɹɪʔ
မဒါဂတ်စကား	ma˥ˀda˨ɡaʔsəka˥˩
မနာလို	ma˥ˀna˨lo˨
မနာလိုတိုရှည်	məna˨lo˨to˨ʃe˨
မနိုင်ရင်ကန်	ma˥ˀna˨ɪɴjɪ˨ɴɡa˨ɴ
မနီလာ	ma˥ˀni˨la˨
မနုဿ	ma˥ˀnoʊʔθa˥ˀ
မနုဿဗေဒ	mənoʊʔθa˥ˀbe˨da˥ˀ
မနုဿီဟ	mənoʊʔθi˨ha˥ˀ
မန်ကျည်း	məd͡ʑi˥˩
မမ	ma˥ˀma˥ˀ
မရဏ	məɹəna˥ˀ
မရမန်	məɹəma˨ɴ
မရမာ	məɹəma˨
မရမာကြီး	məɹəma˨d͡ʑi˥˩
မရမ်းကုန်း	ma˥ˀja˥˩ɴko˥˩ʊɴ
မလိုင်	ma˥ˀla˨ɪɴ
မလ္လိကာ	ma˨ɴli˥ˀka˨
မသိပါဘူး	ma˥ˀθi˥ˀba˨bu˥˩
မသိဘူး	ma˥ˀθi˥ˀbu˥˩
မသိမသာ	ma˥ˀθi˥ˀma˥ˀθa˨
မဟာ	ma˥ˀha˨
မဟာကဿပ	məha˨kaʔθəpa˥ˀ
မဟာဇနပဒ	məha˨zəna˥ˀpəda˥ˀ
မဟာပညာဗလ	məha˨pjɪ˨ɴɲa˨bəla˥ˀ
မဟာဘာရတ	məha˨ba˨ɹəta˥ˀ
မဟာရဋ္ဌ	məha˨jətʰa˥ˀ
မဟာဝိဇ္ဇာဘွဲ့	məha˨weɪʔza˨bwɛ˥ˀ
မအလ	ma˥ˀʔa˥ˀla˥ˀ
မအူလက်တံရှည်	məʔu˨lɛʔta˨ɴʃe˨
မာနကြီး	ma˨na˥ˀt͡ɕi˥˩
မာလဝီ	ma˨la˥ˀwi˨
မိကောင်းဖခင်	mi˥ˀɡa˥˩ʊɴpʰa˥ˀkʰɪ˨ɴ
မိစ္ဆာ	meɪʔsʰa˨
မိစ္ဆာဒိဌိ	meɪʔsʰa˨deɪʔtʰi˥ˀ
မိန်းမလျာ	me˥˩ɪɴməʃa˨
မိဖုရား	mi˥ˀbəja˥˩
မိဘပြည်သူများ	mi˥ˀba˥ˀpji˨ðu˨mja˥˩
မိဘမောင်ဖား	mi˥ˀba˥ˀma˨ʊɴba˥˩
မိဘမဲ့	mi˥ˀba˥ˀmɛ˥ˀ
မိဘမဲ့ဂေဟာ	mi˥ˀba˥ˀmɛ˥ˀɡe˨ha˨
မိုဘိုင်းလ်ဖုန်း	mo˨ba˥˩ɪɴpʰo˥˩ʊɴ
မိုးကျရွှေကိုယ်	mo˥˩d͡ʑa˥ˀʃwe˨ɡo˨j
မိဿ	meɪʔθa˥ˀ
မီလီဂရမ်	mi˨li˨ɡəɹa˨ɴ
မီးခံသေတ္တာ	mi˥˩ɡa˨ɴθɪʔta˨
မီးခွက်	mi˥˩ɡwɛʔ
မီးပုံးပျံ	mi˥˩bo˥˩ʊɴbja˨ɴ
မီးပူတိုက်	mi˥˩bu˨
မီးပြတိုက်	mi˥˩bja˥ˀdaɪʔ
မီးပြောင်း	mi˥˩bja˥˩ʊɴ
မီးယပ်ပညာ	mi˥˩jaʔpjɪ˨ɴɲa˨
မီးသင်္ဂြိုဟ်	mi˥˩ða˥ˀd͡ʑo˨
မုချ	moʊʔt͡ɕʰa˥ˀ
မုဆိုး	moʊʔsʰo˨
မုဆိုးဖို	moʊʔsʰo˥˩bo˨
မုဆိုးမ	moʊʔsʰo˥˩ma˥ˀ
မုတ္ထမ	moʊʔtəma˥ˀ
မုဒ္ဓဇ	mu˨ddəza˥ˀ
မုဒြာ	mu˥ˀdɹa˨
