fri	ˈfɾiː
uke	ˈʉːkə
foran	ˈfɔɾɑn
våpen	ˈʋoːpən
fast	ˈfɑst
an	ˈɑn
lite	ˈliːtə
broren	ˈbɾuːn
måneder	ˈmoːnədəɾ
landet	ˈlɑnə
snakk	ˈsnɑk
s	ˈɛs
hvert	ˈʋæʈ
driver	ˈdɾiːʋəɾ
tur	ˈtʉːɾ
tidligere	ˈtiːlɪəɾə
kvinner	ˈkʋɪnəɾ
ønske	ˈœnskə
prøv	ˈpɾøːʋ
bil	ˈbiːl
valg	ˈʋɑlɡ
legge	ˈlɛɡə
bror	ˈbɾuːɾ
føles	ˈføːləs
vondt	ˈʋʊnt
miss	ˈmɪs
straks	ˈstɾɑks
kjøpe	ˈçøːpə
gitt	ˈjɪt
stund	ˈstʊn
laget	ˈlɑːɡə
jøss	ˈjœs
rom	ˈɾʊm
tidlig	ˈtiːlɪ
begynne	bəˈjʏnə
idé	ɪˈdeː
fly	ˈflyː
mente	ˈmɛntə
telefonen	tələˈfuːnn
time	ˈtiːmə
tide	ˈtiːdə
passer	ˈpɑsəɾ
hendene	ˈhɛnnə
blod	ˈbluː
vis	ˈʋiːs
perfekt	pəɾˈfɛkt
kjente	ˈçɛntə
sint	ˈsɪnt
lære	ˈlæːɾə
rart	ˈɾɑːʈ
verre	ˈʋæɾə
dritt	ˈdɾɪt
sove	ˈsoːʋə
betale	bəˈtɑːlə
svar	ˈsʋɑːɾ
svært	ˈsʋæːʈ
sam	ˈsɑm
frank	ˈfɾɑŋk
gift	ˈjɪft
gjelder	ˈjɛləɾ
ventet	ˈʋɛntət
sendte	ˈsɛntə
finn	ˈfɪn
lager	ˈlɑːɡəɾ
altså	ˈɑltsɔ
fengsel	ˈfɛŋsl
sist	ˈsɪst
unge	ˈʊŋə
likevel	ˈliːkəˌʋɛl
ille	ˈɪlə
uker	ˈʉːkəɾ
fortsett	ˈfɔʈˌʂɛt
viser	ˈʋiːsəɾ
stoppe	ˈstɔpə
klarte	ˈklɑːʈə
hånd	ˈhɔn
forteller	fɔˈʈɛləɾ
kjærlighet	ˈçæːɭɪˌheːt
aner	ˈɑːnəɾ
slutte	ˈʃlʊtə
lov	ˈloːʋ
nær	ˈnæːɾ
morsomt	ˈmʊʂɔmt
dr	ˈdɔktʊɾ
elsket	ˈɛlskət
sender	ˈsɛnəɾ
hardt	ˈhɑʈ
lykke	ˈlʏkə
sitte	ˈsɪtə
middag	ˈmɪdɑɡ
historie	hɪˈstuːɾɪə
skrive	ˈskɾiːʋə
beskytte	bəˈʃʏtə
lyst	ˈlʏst
dum	ˈdʊm
fare	ˈfɑːɾə
spiser	ˈspiːsəɾ
sak	ˈsɑːk
forstå	fɔˈʂʈoː
reise	ˈɾæɪsə
slo	ˈʃluː
leter	ˈleːtəɾ
sex	ˈsɛks
måten	ˈmoːtn
likte	ˈlɪktə
millioner	mɪlɪˈuːnəɾ
damer	ˈdɑːməɾ
jenter	ˈjɛntəɾ
kjør	ˈçøːɾ
fall	ˈfɑl
spurte	ˈspʉːʈə
fortalt	fɔˈʈɑːlt
synd	ˈsʏn
skikkelig	ˈʃɪkəlɪ
frem	ˈfɾɛm
reddet	ˈɾɛdət
idiot	ɪdɪˈuːt
brukte	ˈbɾʊktə
herrer	ˈhæɾəɾ
york	ˈjoːɾk
trengte	ˈtɾɛŋtə
små	ˈsmoː
følge	ˈfœlə
følger	ˈfœləɾ
kaffe	ˈkɑfə
