㞎㞎	pa̠⁴¹ pa̠³
活结它	xo²⁴ t͡ɕi̯e̞²⁴ to¹³
活结巴	xo²⁴ t͡ɕi̯e̞²⁴ pa̠³
派	pʰai̯⁴⁵
流	li̯əu̯¹³
流子	li̯əu̯¹³ t͡sz̩³
流話	li̯əu̯¹³ ɸa̠²¹⁻¹¹
流話子	li̯əu̯¹³ ɸa̠²¹⁻¹¹ t͡sz̩³
流话	li̯əu̯¹³ ɸa̠²¹⁻¹¹
流话子	li̯əu̯¹³ ɸa̠²¹⁻¹¹ t͡sz̩³
浅	t͡ɕʰi̯ẽ⁴¹
浅灰	t͡ɕʰi̯ẽ⁴¹ ɸe̞i̯³³
浅红	t͡ɕʰi̯ẽ⁴¹ xən¹³
浅绿	t͡ɕʰi̯ẽ⁴¹ ləu̯²⁴
浅蓝	t͡ɕʰi̯ẽ⁴¹ l̃an¹³
浅黄	t͡ɕʰi̯ẽ⁴¹ ɸan¹³
测	t͡sʰɤ̞²⁴
测字	t͡sʰɤ̞²⁴ t͡sz̩²¹⁻¹¹
浏	li̯əu̯¹³
浏阳	li̯əu̯¹³ i̯æn¹³
浑水	ɸən³³ ɕy̯e̞i̯⁴¹
浓	lən¹³
浣	kʰõ⁴¹
浩	xɒu̯⁴⁵
浪	l̃an⁴⁵
浮	xəu̯¹³
海	xai̯⁴¹
海碗	xai̯⁴¹ õ⁴¹
浸	t͡ɕʰin⁴⁵
浸水眼	t͡ɕʰin⁴⁵ ɕy̯e̞i̯⁴¹ ŋan⁴¹
浸老倌	t͡ɕʰin⁴⁵ lɒu̯⁴¹ kõ³³
消	ɕi̯ɒu̯³³
涉	sɤ̞²⁴
涎	ɕi̯ẽ¹³
涛	tɒu̯¹³
涨	t͡san⁴¹
涨水	t͡san⁴¹ ɕy̯e̞i̯⁴¹
涩	t͡ɕi̯e̞²⁴
涵	xan¹³
涼	li̯æn¹³
涼茶	li̯æn¹³ t͡sa̠¹³
涼薯	li̯æn¹³ ɕy²¹⁻¹¹
淘盆	tɒu̯¹³ pən¹³
淚	le̞i̯⁴⁵
淡	tan²¹
淨	t͡ɕin⁴⁵
深	sən³³
混	ɸən²¹
淺	t͡ɕʰi̯ẽ⁴¹
淺灰	t͡ɕʰi̯ẽ⁴¹ ɸe̞i̯³³
淺紅	t͡ɕʰi̯ẽ⁴¹ xən¹³
淺綠	t͡ɕʰi̯ẽ⁴¹ ləu̯²⁴
淺藍	t͡ɕʰi̯ẽ⁴¹ l̃an¹³
淺黃	t͡ɕʰi̯ẽ⁴¹ ɸan¹³
清	t͡ɕʰin³³
清明	t͡ɕʰin³³ min¹³
渐	t͡ɕi̯ẽ⁴⁵
渔划子	y¹³ ɸa̠¹³ t͡sz̩³
渔网	y¹³ u̯an⁴¹
渠	t͡ɕy¹³
渡口	təu̯²¹⁻¹¹ kʰəu̯⁴¹
温温子水	u̯ən³³ u̯ən³³ t͡sz̩³ ɕy̯e̞i̯⁴¹
温热子水	u̯ən³³ y̯e̞²⁴ t͡sz̩³ ɕy̯e̞i̯⁴¹
測	t͡sʰɤ̞²⁴
測字	t͡sʰɤ̞²⁴ t͡sz̩²¹⁻¹¹
港	kan⁴¹
港子	kan⁴¹ t͡sz̩³
游	i̯əu̯¹³
游马路	i̯əu̯¹³ ma̠⁴¹ ləu̯²¹⁻¹¹
渾水	ɸən³³ ɕy̯e̞i̯⁴¹
湊	t͡sʰəu̯⁴⁵
湓	pən¹³
湖	ɸu¹³
湖南	ɸu¹³ l̃an¹³
湖壳子	ɸu¹³ kʰo²⁴ t͡sz̩³
湖壳油	ɸu¹³ kʰo²⁴ i̯əu̯¹³
湖殼子	ɸu¹³ kʰo²⁴ t͡sz̩³
湖殼油	ɸu¹³ kʰo²⁴ i̯əu̯¹³
湖藕	ɸu¹³ ŋəu̯⁴¹
湘	ɕi̯æn³³
湘剧	ɕi̯æn³³ t͡ɕy⁴⁵
湘劇	ɕi̯æn³³ t͡ɕy⁴⁵
湘粉	ɕi̯æn³³ ɸən⁴¹
湘語	ɕi̯æn³³ y⁴¹
湘语	ɕi̯æn³³ y⁴¹
湯	tʰan³³
湯圓	tʰan³³ y̯ẽ¹³
湯圓子	tʰan³³ y̯ẽ¹³ t͡sz̩³
湾	u̯an³³
源	y̯ẽ¹³
溜子	li̯əu̯²¹⁻¹¹ t͡sz̩³
溝	kəu̯³³
溪	ɕi³³
溫溫子水	u̯ən³³ u̯ən³³ t͡sz̩³ ɕy̯e̞i̯⁴¹
溫熱子水	u̯ən³³ y̯e̞²⁴ t͡sz̩³ ɕy̯e̞i̯⁴¹
滅	mi²⁴
滑	u̯a̠⁴⁵
滚	ku̯ən⁴¹
滚屎虫	ku̯ən⁴¹ sz̩⁴¹ t͡sən¹³
滚水	ku̯ən⁴¹ ɕy̯e̞i̯⁴¹
滚水子	ku̯ən⁴¹ ɕy̯e̞i̯⁴¹ t͡sz̩³
滚盘	ku̯ən⁴¹ põ¹³
满	mõ⁴¹
满分	mõ⁴¹ ɸən³³
满叔子	man⁴¹ səu̯²⁴ t͡sz̩³
满姑妈	man⁴¹ ku³³ ma̠³³
满姨子	man⁴¹ i¹³ t͡sz̩³
满崽	man⁴¹ t͡sai̯⁴¹
满意	mõ⁴¹ i⁴⁵
满指拇	man⁴¹ t͡sz̩²⁴ mɒu̯³
满月	mõ⁴¹ y̯e̞²⁴
满满	man⁴¹ man³
满舅子	man⁴¹ t͡ɕi̯əu̯²¹⁻¹¹ t͡sz̩³
满酒	man³³ t͡ɕi̯əu̯¹³
滤	le̞i̯⁴⁵
滨	pin³³
滬	ɸu⁴⁵
滴咖子	ti̯a̠²⁴ ka̠³ t͡sz̩³
滾	ku̯ən⁴¹
滾屎蟲	ku̯ən⁴¹ sz̩⁴¹ t͡sən¹³
滾水	ku̯ən⁴¹ ɕy̯e̞i̯⁴¹
滾水子	ku̯ən⁴¹ ɕy̯e̞i̯⁴¹ t͡sz̩³
滾盤	ku̯ən⁴¹ põ¹³
滿	mõ⁴¹
滿分	mõ⁴¹ ɸən³³
滿叔子	man⁴¹ səu̯²⁴ t͡sz̩³
滿姑媽	man⁴¹ ku³³ ma̠³³
滿姨子	man⁴¹ i¹³ t͡sz̩³
滿崽	man⁴¹ t͡sai̯⁴¹
滿意	mõ⁴¹ i⁴⁵
滿指拇	man⁴¹ t͡sz̩²⁴ mɒu̯³
滿月	mõ⁴¹ y̯e̞²⁴
滿滿	man⁴¹ man³
滿舅子	man⁴¹ t͡ɕi̯əu̯²¹⁻¹¹ t͡sz̩³
滿酒	man³³ t͡ɕi̯əu̯¹³
漁划子	y¹³ ɸa̠¹³ t͡sz̩³
漁網	y¹³ u̯an⁴¹
漆	t͡ɕʰi²⁴
漏	ləu̯²¹
演	i̯ẽ⁴¹
漲	t͡san⁴¹
漲水	t͡san⁴¹ ɕy̯e̞i̯⁴¹
漸	t͡ɕi̯ẽ⁴⁵
潭	tan¹³
潮气	t͡sʰɒu̯¹³ t͡ɕʰi⁴⁵
潮氣	t͡sʰɒu̯¹³ t͡ɕʰi⁴⁵
潲	sɒu̯⁴⁵
潲水	sɒu̯⁴⁵ ɕy̯e̞i̯⁴¹
澀	t͡ɕi̯e̞²⁴
澡	t͡sɒu̯⁴¹
澡盆	t͡sɒu̯⁴¹ pən¹³
激	t͡ɕi²⁴
濃	lən¹³
濤	tɒu̯¹³
濱	pin³³
濾	le̞i̯⁴⁵
瀉肚子	ɕi̯e̞²⁴ təu̯⁴¹ t͡sz̩³
瀏	li̯əu̯¹³
瀏陽	li̯əu̯¹³ i̯æn¹³
灌	kõ⁴⁵
灑	sai̯⁴¹
灣	u̯an³³
火	xo⁴¹
火字边	xo⁴¹ t͡ɕi²¹⁻¹¹ pi̯ẽ³³
火字邊	xo⁴¹ t͡ɕi²¹⁻¹¹ pi̯ẽ³³
火星子	xo⁴¹ ɕin³³ t͡sz̩³
火筷子	xo⁴¹ kʰu̯ai̯⁴⁵ t͡sz̩³
火車	xo⁴¹ t͡sʰɤ̞³³
火车	xo⁴¹ t͡sʰɤ̞³³
灭	mi²⁴
灯	tən³³
灯盏	tən³³ t͡san⁴¹
灯罩子	tən³³ t͡sɒu̯⁴⁵ t͡sz̩³
灯草绒	tən³³ t͡sʰɒu̯⁴¹ in¹³
灰	ɸe̞i̯³³
灰白	ɸe̞i̯³³ pɤ̞²⁴
灰面	ɸe̞i̯³³ mi̯ẽ²¹⁻¹¹
灰麵	ɸe̞i̯³³ mi̯ẽ²¹⁻¹¹
灶	t͡sɒu̯⁴⁵
灶屋	t͡sɒu̯⁴⁵ u²⁴
灶蛐蛐	t͡sɒu̯⁴⁵ t͡ɕʰi³³ t͡ɕʰi³³
灶面子	t͡sɒu̯⁴⁵ mi̯ẽ²¹⁻¹¹ t͡sz̩³
災	t͡sai̯³³
灾	t͡sai̯³³
炉子	ləu̯¹³ t͡sz̩³
炊	t͡sʰe̞i̯³³
炎	i̯ẽ¹³
炒	t͡sʰɒu̯⁴¹
炭	tʰan⁴⁵
炭盆	tʰan⁴⁵ pən¹³
炮	pʰɒu̯⁴⁵
炮子子	pʰɒu̯⁴⁵ t͡sz̩⁴¹ t͡sz̩³
炮竹	pʰɒu̯⁴⁵ t͡səu̯²⁴
点	ti̯e̞⁴¹
点亮	ti̯ẽ⁴¹ li̯æn²¹⁻¹¹
点咖子	ti̯ẽ⁴¹ ka̠³ t͡sz̩³
点基	ti̯ẽ⁴¹ t͡ɕi³³
点打	ti̯ẽ⁴¹ ta̠⁴¹
点把点子	ti̯ẽ⁴¹ pa̠⁴¹ ti̯ẽ⁴¹ t͡sz̩³
点痘子	ti̯ẽ⁴¹ təu̯²¹⁻¹¹ t͡sz̩³
点醒	ti̯ẽ⁴¹ ɕin⁴¹
為	u̯e̞i̯¹³
為麼子	u̯e̞i̯²¹⁻¹¹ mo⁴¹ t͡sz̩³
烂	l̃an²¹
烂布	l̃an²¹⁻¹¹ pu⁴⁵
烂布子	l̃an²¹⁻¹¹ pu⁴⁵ t͡sz̩³
烂帐	l̃an²¹⁻¹¹ t͡san⁴⁵
烂泥巴	l̃an²¹⁻¹¹ n̠ʲi¹³ pa̠³
烏	u³³
烏七八糟	u³³ t͡ɕʰi²⁴ pa̠²⁴ t͡sɒu̯³³
烏同黑暗	u³³ tən¹³ xɤ̞²⁴ ŋan⁴⁵
烏風黑暗	u³³ xən³³ xɤ̞²⁴ ŋan⁴⁵
烏黢麻黑	u³³ t͡ɕʰi³³ ma̠³³ xɤ̞²⁴
烏龜	u³³ ku̯e̞i̯³³
烛台	t͡səu̯²⁴ tai̯¹³
烟	i̯ẽ³³
烟丝	i̯ẽ³³ sz̩³³
烟叶子	i̯ẽ³³ i̯e̞²⁴ t͡sz̩³
烟屁股	i̯ẽ³³ pʰi⁴⁵ ku³
烟屎	i̯ẽ³³ sz̩⁴¹
烟油	i̯ẽ³³ i̯əu̯¹³
烟筒	i̯ẽ³³ tən¹³
烟蒂子	i̯ẽ³³ ti⁴⁵ t͡sz̩³
烟蒂巴	i̯ẽ³³ ti⁴⁵ pa̠³
烤	kʰɒu̯⁴¹
烧	sɒu̯³³
烧包	sɒu̯³³ pɒu̯³³
烧卖	sɒu̯³³ mai̯⁴⁵
烫	tʰan⁴⁵
热	y̯e̞²⁴
热水瓶	y̯e̞²⁴ ɕy̯e̞i̯⁴¹ pin¹³
烹	pʰən³³
焚	ɸən¹³
無	u¹³
無情冇事	u¹³ t͡ɕin³ mɒu̯²¹⁻¹¹ sz̩²¹⁻¹¹
無時八晏	u¹³ sz̩¹³ pa̠³ ŋan⁴⁵
無晏十晏	u¹³ ŋan⁴⁵ sz̩²⁴ ŋan⁴⁵
無治皮	u¹³ t͡sz̩⁴⁵ pʰi¹³
焦	t͡ɕi̯ɒu̯³³
焮	ɕin⁴⁵
然	y̯ẽ¹³
煎	t͡ɕi̯ẽ³³
煏	pi²⁴
煙	i̯ẽ³³
煙屁股	i̯ẽ³³ pʰi⁴⁵ ku³
煙屎	i̯ẽ³³ sz̩⁴¹
煙油	i̯ẽ³³ i̯əu̯¹³
煙筒	i̯ẽ³³ tən¹³
煙絲	i̯ẽ³³ sz̩³³
煙葉子	i̯ẽ³³ i̯e̞²⁴ t͡sz̩³
煙蒂子	i̯ẽ³³ ti⁴⁵ t͡sz̩³
煙蒂巴	i̯ẽ³³ ti⁴⁵ pa̠³
煞黑	sa̠²⁴ xɤ̞²⁴
煤	me̞i̯¹³
煤油	me̞i̯¹³ i̯əu̯¹³
煦	ɕy⁴¹
照	t͡sɒu̯⁴⁵
照講	t͡sɒu̯⁴⁵ kan⁴¹
照讲	t͡sɒu̯⁴⁵ kan⁴¹
熊	ɕin¹³
熟	səu̯²⁴
熟人子	səu̯²⁴ ʐən¹³ t͡sz̩³
熨	yn⁴⁵
熨斗	yn⁴⁵ təu̯⁴¹
熬夜	ŋɒu̯¹³ i̯a̠²¹⁻¹¹
熱	y̯e̞²⁴
熱水瓶	y̯e̞²⁴ ɕy̯e̞i̯⁴¹ pin¹³
燃	y̯ẽ¹³
燈	tən³³
燈盞	tən³³ t͡san⁴¹
燈罩子	tən³³ t͡sɒu̯⁴⁵ t͡sz̩³
燈草絨	tən³³ t͡sʰɒu̯⁴¹ in¹³
燒	sɒu̯³³
燒包	sɒu̯³³ pɒu̯³³
燒賣	sɒu̯³³ mai̯⁴⁵
燕	i̯ẽ⁴⁵
燕子	i̯ẽ⁴⁵ t͡sz̩³
燙	tʰan⁴⁵
營	in¹³
燭臺	t͡səu̯²⁴ tai̯¹³
爐子	ləu̯¹³ t͡sz̩³
爛	l̃an²¹
爛布	l̃an²¹⁻¹¹ pu⁴⁵
爛布子	l̃an²¹⁻¹¹ pu⁴⁵ t͡sz̩³
爛帳	l̃an²¹⁻¹¹ t͡san⁴⁵
爛泥巴	l̃an²¹⁻¹¹ n̠ʲi¹³ pa̠³
爪	t͡ɕy̯a̠⁴¹
爬	pa̠¹³
爬山子	pa̠¹³ san³³ t͡sz̩³
爭	t͡sən³³
爱	ŋai̯⁴⁵
爱俏	ŋai̯⁴⁵ t͡ɕʰi̯ɒu̯⁴⁵
爱国主义	ŋai̯⁴⁵ ku̯ɤ̞²⁴ t͡ɕy⁴¹ n̠ʲi⁴⁵
爱惜	ŋai̯⁴⁵ ɕi²⁴
父	ɸu⁴⁵
爷	i̯a̠¹³
爷娘	i̯a̠¹³ n̠ʲi̯æn¹³
爷爷	i̯e̞¹³ i̯e̞³
爷老倌	i̯a̠¹³ lɒu̯⁴¹ kõ³³
爷老子	i̯a̠¹³ lɒu̯⁴¹ t͡sz̩³
爸	pa̠²⁴
爹爹	ti̯e̞³³ ti̯e̞³
爺	i̯a̠¹³
爺娘	i̯a̠¹³ n̠ʲi̯æn¹³
爺爺	i̯e̞¹³ i̯e̞³
爺老倌	i̯a̠¹³ lɒu̯⁴¹ kõ³³
爺老子	i̯a̠¹³ lɒu̯⁴¹ t͡sz̩³
爾	ɤ̞⁴¹
牆	t͡ɕi̯æn¹³
片	pʰi̯ẽ⁴⁵
片糖	pʰi̯ẽ⁴⁵ tan¹³
版	pan⁴¹
牙	ŋa̠¹³
牙㿸	ŋa̠¹³ man²¹⁻¹¹
牙刷子	ŋa̠¹³ ɕy̯a̠²⁴ t͡sz̩³
牙垢	ŋa̠¹³ kəu̯⁴⁵
牙巴	ŋa̠¹³ pa̠³
牙巴骨	ŋa̠¹³ pa̠³ ku²⁴
牙齒	ŋa̠¹³ t͡sʰz̩⁴¹
牙齦子	ŋa̠¹³ in¹³ t͡sz̩³
牙齿	ŋa̠¹³ t͡sʰz̩⁴¹
牙龈子	ŋa̠¹³ in¹³ t͡sz̩³
牛	n̠ʲi̯əu̯¹³
牛公	n̠ʲi̯əu̯¹³ kən³³
牛唧唧	n̠ʲi̯əu̯¹³ t͡ɕi³³ t͡ɕi³
牛婆	n̠ʲəu̯¹³ po¹³
牛婆子	n̠ʲəu̯¹³ po¹³ t͡sz̩³
牛山皮	n̠ʲəu̯¹³ san³³ pʰi¹³
牛崽子	n̠ʲi̯əu̯¹³ t͡sai̯⁴¹ t͡sz̩³
牛杂	n̠ʲəu̯¹³ t͡sa̠²⁴
牛枷	n̠ʲi̯əu̯¹³ ka̠³³
牛栏屋	n̠ʲəu̯¹³ l̃an¹³ u²⁴
牛欄屋	n̠ʲəu̯¹³ l̃an¹³ u²⁴
牛牯	n̠ʲi̯əu̯¹³ ku⁴¹
牛牯子	n̠ʲi̯əu̯¹³ ku⁴¹ t͡sz̩³
牛皮菜	n̠ʲi̯əu̯¹³ pi¹³ t͡sʰai̯⁴⁵
牛肉	n̠ʲi̯əu̯¹³ ʐəu̯²⁴
牛舌子	n̠ʲəu̯¹³ sɤ̞²⁴ t͡sz̩³
牛蚊子	n̠ʲi̯əu̯¹³ mən³³ t͡sz̩³
牛賺子	n̠ʲəu̯¹³ t͡san²¹⁻¹¹ t͡sz̩³
牛赚子	n̠ʲəu̯¹³ t͡san²¹⁻¹¹ t͡sz̩³
牛軛	n̠ʲi̯əu̯¹³ ŋa̠³³
牛轭	n̠ʲi̯əu̯¹³ ŋa̠³³
牛郎中	n̠ʲəu̯¹³ l̃an¹³ t͡sən³³
牛雜	n̠ʲəu̯¹³ t͡sa̠²⁴
牟	lɒu̯¹³
牢	lɒu̯¹³
牢牢	lɒu̯¹³ lɒu̯¹³
牧	mo²⁴
物	u²⁴
牯	ku⁴¹
牯牛	ku⁴¹ n̠ʲi̯əu̯¹³
牲	sən³³
牲口	sən³³ kʰəu̯⁴¹
牸牛	t͡ɕi²¹⁻¹¹ n̠ʲi̯əu̯¹³
牸牛子	t͡ɕi²¹⁻¹¹ n̠ʲi̯əu̯¹³ t͡sz̩³
特	tʰɤ̞²⁴
犁头	li¹³ tʰəu̯¹³
犁頭	li¹³ tʰəu̯¹³
犬	t͡ɕʰy̯e̞⁴¹
犬旁	t͡ɕʰy̯ẽ⁴¹ pan¹³
犯	ɸan²¹
犯事	ɸan²¹⁻¹¹ sz̩²¹⁻¹¹
犯人	ɸan⁴⁵ ʐən¹³
犯法	ɸan²¹⁻¹¹ ɸa̠²⁴
犯罪	ɸan²¹⁻¹¹ t͡se̞i̯²¹⁻¹¹
狂	ku̯an¹³
狐	ɸu¹³
狐狸	ɸu¹³ li⁴¹
狐皮朥	ɸu¹³ pʰi¹³ lɒu̯³³
狐皮𦛨	ɸu¹³ pʰi¹³ lɒu̯³³
狗	kəu̯⁴¹
狗公子	kəu̯⁴¹ kən³³ t͡sz̩³
狗婆子	kəu̯⁴¹ po¹³ t͡sz̩³
狗屎	kəu̯⁴¹ sz̩⁴¹
狗崽子	kəu̯⁴¹ t͡sai̯⁴¹ t͡sz̩³
狗獾子	kəu̯⁴¹ xan³³ t͡sz̩³
狩	səu̯⁴⁵
独	təu̯²⁴
独眼龙	təu̯²⁴ ŋan⁴¹ lən¹³
狮子	sz̩³³ t͡sz̩³
狱	ʐəu̯²⁴
狸	li¹³
狼	l̃an¹³
猛	mən⁴¹
猛子	mən⁴¹ t͡sz̩³
猜	t͡sʰai̯³³
猜謎子	t͡sʰai̯³³ me̞i̯²¹⁻¹¹ t͡sz̩³
猜谜子	t͡sʰai̯³³ me̞i̯²¹⁻¹¹ t͡sz̩³
猪	t͡ɕy³³
猪头风	t͡ɕy³³ təu̯³ xən³³
猪婆菜	t͡ɕy³³ po¹³ t͡sʰai̯⁴⁵
猪崽子	t͡ɕy³³ t͡sai̯⁴¹ t͡ɕi³
猫	mɒu̯³³
猫乳	mɒu̯³³ y⁴¹
猫公子	mɒu̯³³ kən³³ t͡sz̩³
猫吱	mɒu̯³³ t͡ɕi⁴⁵
猫哭鸟	mɒu̯³³ kʰu²⁴ ti̯ɒu̯⁴¹
猫头鸟	mɒu̯³³ təu̯¹³ ti̯ɒu̯⁴¹
猫婆子	mɒu̯³³ po¹³ t͡sz̩³
猫屎筒	mɒu̯³³ sz̩⁴¹ tən¹³
猴	xəu̯¹³
猴子	xəu̯¹³ t͡sz̩³
猴犬旁	xəu̯¹³ t͡ɕʰy̯ẽ⁴¹ pan¹³
獄	ʐəu̯²⁴
獅子	sz̩³³ t͡sz̩³
獎	t͡ɕi̯æn⁴¹
獨	təu̯²⁴
獨眼龍	təu̯²⁴ ŋan⁴¹ lən¹³
獭	tʰa̠²⁴
獺	tʰa̠²⁴
玄	ɕy̯ẽ¹³
率	so²⁴
玉	ʐəu̯²⁴
玉皇大帝	y⁴⁵ ɸan¹³ ta̠⁴⁵ ti⁴⁵
王	u̯an¹³
王八	u̯an¹³ pa̠²⁴
玩	u̯an¹³
玩刀	u̯an¹³ tɒu̯³³
玩摸子	u̯an¹³ mo³³ t͡sz̩³
玩枪	u̯an¹³ t͡ɕʰi̯æn³³
玩槍	u̯an¹³ t͡ɕʰi̯æn³³
玩水	u̯an¹³ ɕy̯e̞i̯⁴¹
玩狮子	u̯an¹³ sz̩³³ t͡sz̩³
玩獅子	u̯an¹³ sz̩³³ t͡sz̩³
环	ɸan¹³
环子	ɸan¹³ t͡sz̩³
现	ɕi̯ẽ²¹
现光洋	ɕi̯ẽ²¹⁻¹¹ ku̯an³³ i̯æn¹³
现在	ɕi̯ẽ²¹⁻¹¹ t͡sai̯²¹⁻¹¹
现票子	ɕi̯ẽ²¹⁻¹¹ pʰi̯ɒu̯⁴⁵ t͡sz̩³
玲	lin¹³
珍	t͡sən³³
班	pan³³
現	ɕi̯ẽ²¹
現光洋	ɕi̯ẽ²¹⁻¹¹ ku̯an³³ i̯æn¹³
現在	ɕi̯ẽ²¹⁻¹¹ t͡sai̯²¹⁻¹¹
現票子	ɕi̯ẽ²¹⁻¹¹ pʰi̯ɒu̯⁴⁵ t͡sz̩³
球	t͡ɕi̯əu̯¹³
理	li⁴¹
理发店	li⁴¹ ɸa̠²⁴ ti̯ẽ⁴⁵
理解	li⁴¹ kai̯⁴¹
理髮店	li⁴¹ ɸa̠²⁴ ti̯ẽ⁴⁵
琴	t͡ɕin¹³
琼	t͡ɕyn¹³
瑞	ɕy̯e̞i̯⁴⁵
瑟	sɤ̞²⁴
環	ɸan¹³
環子	ɸan¹³ t͡sz̩³
瓊	t͡ɕyn¹³
瓜	ku̯a̠³³
瓜子	ku̯a̠³³ t͡sz̩⁴¹
瓜码子	ku̯a̠³³ ma̠⁴¹ t͡sz̩³
瓜碼子	ku̯a̠³³ ma̠⁴¹ t͡sz̩³
瓠瓜	ɸu⁴⁵ ku̯a̠³³
瓢羹	pi̯ɒu̯¹³ kən³³
瓦	u̯a̠⁴¹
瓶	pin¹³
瓶𡎺子	pin¹³ t͡səu̯²⁴ t͡sz̩³
瓷	t͡sz̩¹³
甘	kan³³
甘蔗	kan³³ t͡sa̠⁴⁵
甘貴	kan³³ ku̯e̞i̯⁴⁵
甘贵	kan³³ ku̯e̞i̯⁴⁵
甚	sən⁴⁵
甜	ti̯ẽ¹³
甜橙	ti̯ẽ¹³ t͡sən¹³
甜酒	ti̯ẽ¹³ t͡ɕi̯əu̯⁴¹
甜酱	ti̯ẽ¹³ t͡ɕi̯æn⁴⁵
甜醬	ti̯ẽ¹³ t͡ɕi̯æn⁴⁵
生	sən³³
生日	sən³³ ʐi²⁴
生蛋	sən³³ tan²¹⁻¹¹
產	t͡sʰan⁴¹
甦	səu̯³³
用	in²¹
甩	ɕy̯ai̯⁴¹
甫	pʰu⁴¹
田	ti̯ẽ¹³
田几么	ti̯ẽ¹³ t͡ɕi⁴¹ məu̯⁴¹
田塍	ti̯ẽ¹³ sən¹³
田塍間子	ti̯ẽ¹³ sən¹³ kan⁴⁵ t͡sz̩³
田塍间子	ti̯ẽ¹³ sən¹³ kan⁴⁵ t͡sz̩³
田步	ti̯ẽ¹³ pu²¹⁻¹¹
田老倌	ti̯ẽ¹³ lɒu̯⁴¹ kõ³³
田老鼠	ti̯ẽ¹³ lɒu̯⁴¹ ɕy⁴¹
田螺陀	ti̯ẽ¹³ lo¹³ to³
由	i̯əu̯¹³
甲	ka̠²⁴
甲魚	t͡ɕi̯a̠²⁴ y¹³
甲鱼	t͡ɕi̯a̠²⁴ y¹³
申	sən³³
电	ti̯ẽ⁴⁵
电亮	ti̯ẽ⁴⁵ li̯æn²¹⁻¹¹
电子琴	ti̯ẽ⁴⁵ t͡sz̩⁴¹ t͡ɕin¹³
电子计算机	ti̯ẽ⁴⁵ t͡sz̩⁴¹ t͡ɕi⁴⁵ sõ⁴⁵ t͡ɕi³³
电影	ti̯ẽ⁴⁵ in⁴¹
电影戏	ti̯ẽ⁴⁵ in⁴¹ ɕi⁴⁵
电灯泡毫子	ti̯ẽ⁴⁵ tən³³ pʰɒu̯³³ xɒu̯¹³ t͡sz̩³
电脑	ti̯ẽ⁴⁵ lɒu̯⁴¹
电视	ti̯ẽ⁴⁵ sz̩⁴⁵
电视剧	ti̯ẽ⁴⁵ sz̩⁴⁵ t͡ɕy⁴⁵
电视机	ti̯ẽ⁴⁵ sz̩⁴⁵ t͡ɕi³³
电话	ti̯ẽ⁴⁵ ɸa̠²¹⁻¹¹
男	l̃an¹³
男人家	l̃an¹³ ʐən¹³ ka̠³
男客	l̃an¹³ kʰɤ̞²⁴
男工	l̃an¹³ kən³³
画	ɸa̠²¹
画眉	ɸa̠⁴⁵ mi¹³
界	kai̯⁴⁵
畏寒	u̯e̞i̯⁴⁵ xan¹³
畏怯	u̯e̞i̯⁴⁵ t͡ɕʰi̯e̞²⁴
留	li̯əu̯¹³
畢	pi²⁴
畢業	pi²⁴ n̠ʲi̯e̞²⁴
番	ɸan³³
番茄	ɸan³³ t͡ɕi̯e̞¹³
畫	ɸa̠²¹
畫眉	ɸa̠⁴⁵ mi¹³
當	tan³³
當賠匠	tan³³ pe̞i̯¹³ t͡ɕi̯æn²¹⁻¹¹
當陽	tan³³ i̯æn¹³
疑	n̠ʲi¹³
疜	ɕi̯a̠⁴⁵
疝	san⁴⁵
疝气	san⁴⁵ t͡ɕʰi⁴⁵
疝氣	san⁴⁵ t͡ɕʰi⁴⁵
疤	pa̠³³
疤子	pa̠³³ t͡sz̩³
疤屁股	pa̠³³ pʰi⁴⁵ ku⁴¹
疫	y²⁴
疮	t͡sʰan³³
疯狗子	xən³³ kəu̯⁴¹ t͡sz̩³
疲	pi¹³
疾病头	t͡ɕi²⁴ pin²¹⁻¹¹ təu̯¹³
疾病頭	t͡ɕi²⁴ pin²¹⁻¹¹ təu̯¹³
痂子	ka̠³³ t͡sz̩³
病	pin²¹
症	t͡sən⁴⁵
痒	i̯æn⁴¹
痒抓子	i̯æn⁴¹ t͡ɕy̯a̠³³ t͡sz̩³
痕	xən¹³
痗起痗起	me̞i̯³³ t͡ɕʰi³ me̞i̯³³ t͡ɕʰi³
痧	sa̠³³
痧痱子	sa̠³³ ɸe̞i̯⁴⁵ t͡sz̩³
痨	lɒu̯¹³
痨病	lɒu̯¹³ pin²¹⁻¹¹
痨药	lɒu̯²¹⁻¹¹ i̯o¹³
痪	xõ⁴⁵
痴呆子	t͡sʰz̩³³ tai̯³³ t͡sz̩³
瘋狗子	xən³³ kəu̯⁴¹ t͡sz̩³
瘓	xõ⁴⁵
瘡	t͡sʰan³³
瘦	səu̯⁴⁵
瘪	pi̯e̞⁴¹
瘫	tʰan³³
瘫子	tʰan³³ t͡sz̩³
瘫痪	tʰan³³ xõ⁴⁵
癆	lɒu̯¹³
癆病	lɒu̯¹³ pin²¹⁻¹¹
癆藥	lɒu̯²¹⁻¹¹ i̯o¹³
癈	ɸe̞i̯⁴⁵
癞	lai̯²¹
癞头蛤蟆	lai̯²¹⁻¹¹ təu̯¹³ ka̠¹³ ma̠³³
癞蛤蟆	lai̯²¹⁻¹¹ ka̠¹³ ma̠³³
癟	pi̯e̞⁴¹
癢	i̯æn⁴¹
