㞎㞎	pa̠⁴¹ pa̠³
乱七八糟	lõ²¹⁻¹¹ t͡ɕʰi²⁴ pa̠²⁴ t͡sɒu̯³³
乱它	lõ²¹⁻¹¹ to¹³
乱弹	lõ²¹⁻¹¹ tan¹³
乱搞	lõ²¹⁻¹¹ kɒu̯⁴¹
乱搞一百六	lõ²¹⁻¹¹ kɒu̯⁴¹ i²⁴ pɤ̞²⁴ ləu̯²⁴
乱搞一百几	lõ²¹⁻¹¹ kɒu̯⁴¹ i²⁴ pɤ̞²⁴ t͡ɕi⁴¹
乱搞三千	lõ²¹⁻¹¹ kɒu̯⁴¹ san³³ t͡ɕʰi̯ẽ³³
乾	kan³³
乾子	kan³³ t͡sz̩³
乾田	kan³³ ti̯ẽ¹³
乾菜子	kan³³ t͡sʰai̯⁴⁵ t͡sz̩³
亂	lõ⁴⁵
亂七八糟	lõ²¹⁻¹¹ t͡ɕʰi²⁴ pa̠²⁴ t͡sɒu̯³³
亂它	lõ²¹⁻¹¹ to¹³
亂彈	lõ²¹⁻¹¹ tan¹³
亂搞	lõ²¹⁻¹¹ kɒu̯⁴¹
亂搞一百六	lõ²¹⁻¹¹ kɒu̯⁴¹ i²⁴ pɤ̞²⁴ ləu̯²⁴
亂搞一百幾	lõ²¹⁻¹¹ kɒu̯⁴¹ i²⁴ pɤ̞²⁴ t͡ɕi⁴¹
亂搞三千	lõ²¹⁻¹¹ kɒu̯⁴¹ san³³ t͡ɕʰi̯ẽ³³
了	li̯ɒu̯⁴¹
争	t͡sən³³
事	sz̩²¹
二	ɤ̞²¹
二不闌幹	ɤ̞⁴⁵ pu²⁴ l̃an¹³ kan³³
二不阑干	ɤ̞⁴⁵ pu²⁴ l̃an¹³ kan³³
二世娭毑	ɤ̞²¹⁻¹¹ sz̩⁴⁵ ŋai̯³³ t͡ɕi̯e̞³
二十	ɤ̞²¹⁻¹¹ sz̩²⁴
二十一	ɤ̞²¹⁻¹¹ sz̩²⁴ i²⁴
二四子	ɤ̞²¹⁻¹¹ sz̩⁴⁵ t͡sz̩³
二回	ɤ̞²¹⁻¹¹ ɸe̞i̯²⁴
二姐	ɤ̞⁴⁵ t͡ɕi̯e̞⁴¹
