# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# ⚠ LICENCE: GPL-3.0 (per-file fence) — NOT CC-BY-SA like the sibling riders.
# Source: g2p-inversion over espeak-ng dictsource/ps_list (GPL-3.0, Hanif Rahman) + wikipron + kaikki.
# 12535 of 13828 rows are reachable only from the GPL source. Only the SHORT-VOWEL PLACEMENT
# derives from it — espeak's phoneme strings are never copied; the consonants are our g2p's.
# See src/languages/pashto/lexicon.PROVENANCE.md and LICENSES/PROVENANCE.md §4.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبخانە	آبخانَە
بوديجو	بُوديجُو
بوديجوي	بُوديجُوي
بوديجى	بُوديجِى
بوديجي	بُوديجي
بوديجې	بُوديجې
بوديد	بُوديد
بوديزم	بُوديزْم
بوديم	بُوديم
بودک	بُودَک
بودکه	بُودَکه
بودی	بُودِی
بودیجه	بُودیجه
بودیجی	بُودیجِی
بودیجې	بُودیجې
بودید	بُودید
بودیزم	بُودیزْم
بودیم	بُودیم
بودین	بُودین
بودیک	بُودیک
بودۍ	بُودۍ
بودې	بُودې
بودېجه	بُودېجه
بودېجې	بُودېجې
بور	بُور
بورتن	بُورتَن
بورته	بُورته
بورجل	بُورجَل
بورخ	بُورْخ
بورد	بُورْد
بوردمسله	بُورْدْمسله
بوردونه	بُوردُونه
بوردونو	بُوردُونو
بورس	بُورْس
بورسونه	بُورسُونه
بورسونو	بُورسُونو
بورقه	بُورقه
بورقو	بُورقو
بورقی	بُورقِی
بورقې	بُورقې
بورله	بُورله
بورلي	بُورلي
بورم	بُورْم
بورن	بُورْن
بوره	بُوره
بورو	بُورو
بوروز	بُوروز
بوروسو	بُوروسو
بورول	بُورول
بوري	بُوري
بوريس	بُوريس
بورچنډو	بُورچنډو
بورډ	بُورْډ
بورډونه	بُورډُونه
بورډونو	بُورډُونو
بورک	بُورْک
بورکلين	بُورْکْلين
بورکو	بُورکو
بورکي	بُورکي
بورکی	بُورکِی
بورکې	بُورکې
بورګ	بُورْګ
بورګلوي	بُورْګْلَوي
بورگ	بُورْگ
بوری	بُورِی
بوریس	بُوریس
بوریږی	بُوریږِی
بورۍ	بُورۍ
بورې	بُورې
بوز	بُوز
بوزم	بُوزْم
بوزه	بُوزه
بوزو	بُوزو
بوزى	بُوزِى
بوزي	بُوزي
بوزی	بُوزِی
بوزۍ	بُوزۍ
بوزې	بُوزې
بوزېدل	بُوزېدل
بوس	بُوس
بوستون	بُوستون
بوستوکی	بُوستوکِی
بوسه	بُوسه
بوسو	بُوسو
بوسوخو	بُوسوخو
بوسونه	بُوسُونه
بوسوځي	بُوسوځي
بوسي	بُوسي
بوسی	بُوسِی
بوسیل	بُوسیل
بوسیله	بُوسیله
بوسین	بُوسین
بوسۍ	بُوسۍ
بوسې	بُوسې
بوش	بُوش
بوشكې	بُوشكې
بوشه	بُوشه
بوشي	بُوشي
بوشپه	بُوشپه
بوشکه	بُوشکه
بوشکو	بُوشکو
بوشکي	بُوشکي
بوشکیک	بُوشکیک
بوشکې	بُوشکې
بوط	بُوط
بوطه	بُوطه
بوطين	بُوطين
بوف	بُوف
بوقره	بُوقره
بوقرې	بُوقرې
بوك	بُوك
بوكس	بُوكْس
بول	بُول
بولتن	بُولتَن
بولد	بُولْد
بووش	بووشْ
بوول	بوولْ
بوولسمی	بوولْسمِی
بوولى	بوولِى
بوولی	بوولِی
بوټان	بُوټان
بوټوله	بُوټُوله
بوټونه	بُوټُونه
بوټونو	بُوټُونو
بوټوپه	بُوټُوپه
بوټوڅخه	بُوټُوڅخه
بوټى	بُوټِى
بوټي	بُوټي
بوټينن	بُوټينِن
بوټيو	بُوټيو
بوټی	بُوټِی
بوټۍ	بُوټۍ
بوټې	بُوټې
بوپه	بُوپه
بوپوهېده	بُوپوهېده
بوځ	بُوځ
بوځئ	بُوځئ
بوځــي	بُوځِــي
بوځـيكل	بُوځِـيكل
بوځم	بُوځم
بوځه	بُوځه
بوځو	بُوځُو
بوځوچې	بُوځُوچې
بوځى	بُوځى
بوځي	بُوځي
بوځيكلـــــــــه	بُوځيكَلْـــــــــه
بوځی	بُوځِی
بوځۍ	بُوځۍ
بوځې	بُوځې
بوڅ	بُوڅ
بوڅه	بُوڅه
بوڅو	بُوڅُو
بوڅي	بُوڅي
بوڅې	بُوڅې
بوچ	بُوچ
بوچر	بُوچَر
بوچرسره	بُوچرْسره
بوچرله	بُوچرله
بوچه	بُوچه
بوچی	بُوچِی
بوړ	بُوړ
بوړبوړکیو	بُوړبُوړکیو
بوړبوکۍ	بُوړبُوکۍ
بوړه	بُوړه
بوړي	بُوړي
بوړی	بُوړِی
بوړې	بُوړې
بوږ	بُوږ
بوږنده	بُوږنده
بوږنولي	بُوږنُولي
بوږنويسره	بُوږنَويسَره
بوږنوړو	بُوږنُوړُو
بوږنوړې	بُوږنُوړې
بوږني	بُوږني
بوږنېدل	بُوږنېدَل
بوږه	بُوږه
بوژيو	بُوژيو
بوک	بُوک
بوکتي	بُوکتي
بوکر	بُوکَر
بوکرې	بُوکَرې
بوکز	بُوکْز
بوکس	بُوکْس
بوکسل	بُوکسَل
بوکمآ	بُوکمآ
بوکه	بُوکه
بوکو	بُوکو
بوګتي	بُوګتي
بوګس	بُوګْس
بوګنوي	بُوګنَوي
بوګنېده	بُوګنېده
بوڼېدل	بُوڼېدل
بویر	بُویر
بویل	بُویل
بوینس	بُوینْس
بویي	بُویي
بویی	بُویی
بوۍ	بُوۍ
بوې	بُوې
بى	بِى
بىبى	بِىبِى
بيبيې	بيبِيې
بيبی	بيبِی
بيتر	بيتْر
بيتک	بيتْک
بيتی	بيتِی
بيخبر	بيخْبْر
بيخبره	بيخْبْره
بيخبرو	بيخْبْرو
بيخونو	بيخُونو
بيخى	بيخِى
بيخی	بيخِی
بيدر	بيدْر
بيدل	بيدْل
بيرت	بيرْت
بيرج	بيرْج
بيرحمه	بيرْحْمه
بيرحمو	بيرْحْمو
بيرحمي	بيرْحْمي
بيرحمې	بيرْحْمې
بيردن	بيرْدْن
بيرق	بيرْق
بيرك	بيرْك
بيركزي	بيرْكْزي
بيرل	بيرْل
بيرمی	بيرمِی
بيرونى	بيرونِى
بيرونی	بيرونِی
بيرى	بيرِى
بيريه	بيرِيه
بيرپته	بيرْپْته
بيرډن	بيرْډْن
بيری	بيرِی
بيزنس	بيزْنْس
بيزوګی	بيزوګِی
بيزوگی	بيزوگِی
بيست	بيسْت
بيستر	بيسْتْر
بيستره	بيسْتْره
بيستريز	بيسْتْريز
بيستم	بيسْتْم
بيسر	بيسْر
بيسم	بيسْم
بيسک	بيسْک
بيسکلونه	بيسْکلُونه
بيشتر	بيشتَر
بيشترين	بيشتَرين
بيشر	بيشَر
بيشرمى	بيشَرمِى
بيشرمۍ	بيشَرمۍ
بيضة	بيضَة
بيضوي	بيضَوي
بيطرف	بيطَرف
بيطرفه	بيطَرَفه
بيطرفي	بيطَرَفي
بيطرفۍ	بيطَرَفۍ
بيـــــرتـــه	بيـــــرتْـــه
بيــــړی	بيــــړِی
بيفتد	بيفتَد
بيقدرۍ	بيقْدرۍ
بيكر	بيكَر
بيكن	بيكَن
بيلتونونه	بيلتونُونه
بيلد	بيلْد
بيلدوزرونه	بيلدوزَرُونه
بيلدوزرونو	بيلدوزَرُونو
بيلرو	بيلَرو
بيلكس	بيلْكْس
بيلولى	بيلولِى
بيلولي	بيلُولي
بيلولې	بيلُولې
بيلون	بيلُون
بيلونر	بيلُونَر
بيلونه	بيلُونه
بيلونو	بيلُونو
بيلونونه	بيلُونونه
بيلونونو	بيلُونونو
بيلوي	بيلَوي
بيلوټه	بيلُوټه
بيلوپېښو	بيلُوپېښو
بيلوژبو	بيلُوژبُو
بيلوژی	بيلُوژِی
بيلوې	بيلَوې
بيلى	بيلِى
بيليتونيزم	بيليتُونيزَم
بيليدل	بيليدَل
بيليرى	بيليرِى
بيلکنت	بيلکَنْت
بيلګو	بيلګُو
بيلګوڅخه	بيلګُوڅخه
بيلګى	بيلګِى
بيلګی	بيلګِی
بيلگو	بيلگُو
بيلگوپر	بيلگُوپَر
بيلگی	بيلگِی
بيلی	بيلِی
بيمنت	بيمَنْت
بيمو	بيمُو
بيمورده	بيمُورده
بينرونه	بينرُونه
بينز	بينْز
بينش	بينْش
بينـي	بينِـي
بينو	بينُو
بينى	بينِى
بينيډيکټ	بينيډيکْټ
بينی	بينِی
بيهقى	بيهقِى
بيهقی	بيهقِی
بيژکۍ	بيژَکۍ
بټ	بْټ
بټلر	بْټْلْر
بټلیر	بْټْلیر
بټن	بْټْن
بټنه	بْټْنه
بټنې	بْټْنې
بټه	بْټه
بټهو	بْټهو
بټو	بْټو
بټوه	بْټوه
بټى	بْټِى
بټي	بْټي
بټک	بْټْک
بټی	بټِی
بپ	بَپ
بپرس	بَپرْس
بپرسند	بَپرسِنْد
بپرسي	بَپرسي
بپرک	بَپرْک
بڅرى	بڅَرى
بڅري	بڅَري
بڅرکوفزیک	بڅرکوفَزیک
بڅرکی	بڅرکَی
بڅری	بڅَرِی
بڅرې	بڅَرې
بڅی	بڅِی
بچ	بَچ
بچة	بَچَة
بچت	بَچْت
بچــــــــ	بَچْــــــــ
بچـــــــــــــــــــــــــــــــــــــــــي	بَچِـــــــــــــــــــــــــــــــــــــــــي
بچــــــــــــی	بَچِــــــــــــی
بچم	بَچْم
بچن	بَچْن
بچنين	بَچنين
بچى	بَچِى
بچىپه	بَچِىپه
بچي	بَچي
بچيم	بَچيم
بچيه	بَچيه
بچکو	بَچکو
بچی	بَچِی
بچیله	بَچیله
بچیه	بَچیه
بچیږي	بَچیږي
بچۍ	بَچۍ
بچې	بَچې
بچېه	بَچېه
بډ	بَډ
بډل	بَډل
بډى	بَډِى
بډي	بَډي
بډی	بَډِی
بډې	بَډې
بډېري	بَډېري
بړ	بَړ
بړبوكى	بَړبوكِى
بړبوکه	بَړبوکه
بړبوکي	بَړبوکي
بړبوکۍ	بَړبوکۍ
بړبوکې	بَړبوکې
بړبړ	بَړبَړ
بړبړې	بَړبَړې
بړبکۍ	بَړْبکۍ
بړبکۍپه	بَړْبکۍپه
بړزن	بَړزن
بړزې	بَړزې
بړس	بَړْس
بړستن	بْړستن
بړستنه	بَړْسْتنه
بړستنو	بَړْسْتنو
بړستني	بَړْسْتني
بړستنې	بَړْسْتنې
بړق	بْړْق
بړقې	بْړْقې
بړو	بْړو
بړوتې	بْړوتې
بړوزي	بْړوزي
بړول	بْړول
بړوڅو	بْړوڅو
بړوچ	بْړوچ
بړي	بْړي
بړيسي	بْړيسي
بړيڅ	بْړيڅ
بړيڅو	بْړيڅو
بړيڅى	بْړيڅى
بړيڅي	بْړيڅي
بړيچ	بْړيچ
بړچ	بْړْچ
بړګندي	بْړْګَندي
بړګندی	بْړْګَندِی
بړګندۍ	بْړْګَندۍ
بړید	بْړید
بړیده	بْړیده
بړیڅو	بْړیڅو
بړیڅي	بْړیڅي
بړیڅی	بْړیڅِی
بړیږې	بْړیږې
بړۍد	بْړۍد
بړې	بْړې
بړېدلو	بْړېدلو
بړېڅ	بْړېڅ
بړېڅو	بْړېڅو
بړېڅى	بْړېڅى
بړېڅي	بْړېڅي
بږرکی	بږْرکِی
بک	بَک
بکت	بَکْت
بکر	بَکْر
بکرة	بَکرَة
بکرخيلو	بَکْرْخيلو
بکرل	بَکرَل
بکرو	بَکرو
بکري	بَکري
بکرۍ	بَکرۍ
بکرې	بَکرې
بکس	بَکْس
بکسو	بَکسو
بکسونو	بَکسونُو
بکسي	بَکسي
بکسک	بَکْسْک
بکسې	بَکسې
بکشد	بَکشَد
بکشید	بَکشید
بکل	بَکَل
بکلي	بَکلي
بکلی	بَکلِی
بکم	بَکَم
بکنم	بَکنَم
بکنند	بَکنَنْد
بکنید	بَکنید
بکنیم	بَکنیم
بکو	بَکو
بکورې	بَکورې
بکي	بَکي
بکيت	بَکيت
بکګرونډ	بَکْګْرونْډ
بکی	بَکِی
بکې	بَکې
بګ	بَګ
بګت	بَګَت
بګتي	بَګَتي
بګتۍ	بَګَتۍ
بګر	بَګَر
بګرد	بِګرد
بګروند	بِګْروْنْد
بګل	بِګل
بګنولي	بِګْنوْلْي
بګني	بِګني
بګو	بِګو
بګوش	بِګوْشْ
بګټى	بِګټِى
بګټي	بِګټي
بګټې	بِګټې
بګړی	بګړِی
بګېل	بِګېل
بگ	بِگ
بگت	بِگت
بگتي	بگَتي
بگتی	بگَتِی
بگخمل	بِگْخْمل
بگذرد	بِگْذْرد
بگذردآب	بگْذْردآب
بگذردآن	بگْذْردآن
بگذردبیش	بِگْذْردبیش
بگذردزین	بِگْذْردزین
بگذردپیل	بِگْذْردپیل
بگذشت	بِگْذْشت
بگرديم	بِگْرْديم
بگريزند	بِگريزنْد
بگرېښي	بِگرېښي
بگفت	بِگفت
بگو	بِگو
بگټي	بِگټي
بڼ	بَڼ
بڼد	بڼْد
بڼست	بڼْسْت
بڼسته	بڼْسْته
بڼستیزه	بڼْسْتیزه
بڼستې	بڼْسْتې
بڼسټ	بڼْسْټ
بڼسټیزه	بڼْسْټیزه
بڼسټیزی	بڼْسْټیزِی
بڼـــــو	بڼْـــــو
بڼـــه	بڼْـــه
بڼوويشتلى	بڼوويشْتْلِى
بڼوکی	بڼوکِی
بڼى	بڼِى
بڼښ	بڼْښ
بڼکی	بڼکَی
بڼگړي	بڼْگْړي
بڼی	بڼِی
بی	بِی
بیبزی	بیبزِی
بیبی	بیبِی
بیتی	بیتِی
بیخبره	بیخْبره
بیخبري	بیخْبري
بیخبری	بیخْبرِی
بیخبرۍ	بیخْبرۍ
بیخلنه	بیخْلنه
بیخودي	بیخوْدْي
بیخی	بیخِی
بیدری	بیدَرِی
بیدون	بیدوْنْ
بیدیدو	بیدیدُو
بیدیږی	بیدیږِی
بیرتو	بیرتُو
بیرتونه	بیرتُونه
بیرجو	بیرجُو
بیرحمه	بیرْحْمه
بیرحمو	بیرْحْمُو
بیرحمی	بیرْحْمِی
بیرحمۍ	بیرْحْمۍ
بیرد	بیرْد
بیردونه	بیردُونه
بیرق	بیرْق
بیرل	بیرْل
بیرلو	بیرلُو
بیرنتس	بیرْنْتْس
بیرنتسن	بیرْنْتْسن
بیرو	بیرُو
بیروت	بیرُوت
بیروتی	بیرُوتِی
بیروج	بیرُوج
بیرول	بیرُول
بیرولو	بیرُولُو
بیرولوپه	بیرُولُوپه
بیرولي	بیرُولي
بیرون	بیرُون
بیروني	بیرُوني
بیرونی	بیرُونِی
بیرونۍ	بیرُونۍ
بیرژنسکي	بیرْژْنسکي
بیری	بیرِی
بیریدلي	بیریدَلي
بیریدلی	بیریدَلِی
بیریدوته	بیریدُوته
بیرینتسن	بیرینْتْسن
بیریږو	بیریږُو
بیریږی	بیریږِی
بیریژی	بیریژِی
بیزو	بیزُو
بیست	بیسْت
بیستره	بیسْتْره
بیستری	بیسْتْرِی
بیسز	بیسْز
بیسم	بیسْم
بیسموت	بیسمُوت
بیسکیټو	بیسکیټُو
بیسی	بیسِی
بیشتری	بیشْترِی
بیطرفه	بیطْرفه
بیطرفۍ	بیطْرفۍ
بیقدرې	بیقْدرې
بیلبوردونو	بیلبوردُونو
بیلتون	بیلتُون
بیلتونبې	بیلتُونبې
بیلتونه	بیلتُونه
بیلجــیـم	بیلجِــیـم
بیلد	بیلْد
بیلدوزرونه	بیلدوزَرُونه
بیلدوزرونو	بیلدوزَرُونو
بیلرونو	بیلرُونو
بیلرچی	بیلْرْچِی
بیلل	بیلْل
بیلو	بیلُو
بیلوبیلو	بیلُوبیلُو
بیلوده	بیلُوده
بیلوشمیرونه	بیلُوشمیرُونه
بیلول	بیلُول
بیلولو	بیلُولو
بیلولی	بیلُولِی
بیلونه	بیلُونه
بیلونو	بیلُونو
بیلونونو	بیلُونُونو
بیلګړنې	بیلْګْړنې
بیلګی	بیلګِی
بیلگی	بیلگِی
بیلی	بیلِی
بیلیدت	بیلیدْت
بیلیدل	بیلیدْل
بیلیدم	بیلیدْم
بیلیدو	بیلیدُو
بیمسولیته	بیمسُولیته
بیندینکت	بیندینِکْت
بینس	بینْس
بینش	بینْش
بینظمي	بینْظمي
بینظی	بینظِی
بینظیربوتو	بینظیربُوتو
بینظیربوټو	بینظیربُوټو
بینو	بینُو
بینی	بینِی
بینیدیکت	بینیدیکْت
بیهدبخت	بیهدبخْت
بیهقی	بیهقِی
بیورلی	بیورلِی
بیوزله	بیوزَله
بیوزلو	بیوزَلو
بیوزلي	بیوزَلي
بیوزلی	بیوزَلِی
بیوزلۍ	بیوزَلۍ
بیوزلې	بیوزَلې
بیټر	بیټْر
بیټری	بیټرِی
بیډیو	بیډِیو
بیړنيو	بیړنِيو
بیړنی	بیړنِی
بیړنیو	بیړنِیو
بیړی	بیړِی
بیړیو	بیړِیو
بیږی	بیږِی
بیژن	بیژْن
بیژندل	بیژْنْدل
بیژنم	بیژنَم
بیژنپور	بیژْنْپُور
بیژنی	بیژنِی
بیکر	بیکْر
بیکټ	بیکْټ
بیکچی	بیکچِی
بیګم	بیګْم
بیګټم	بیګټَم
بیګی	بیګِی
بیگر	بیگْر
بیگم	بیگْم
بیې	بِیې
بېحرمتي	بېحْرْمَتي
بېحوصلې	بېحوْصلې
بېخبره	بېخْبْره
بېخبري	بېخْبْري
بېخبری	بېخْبْرِی
بېخبرۍ	بېخْبْرۍ
بېخرته	بېخْرْته
بېخرتو	بېخْرْتو
بېخى	بېخِى
بېخړتې	بېخْړْتې
بېخی	بېخِی
بېدرده	بېدْرْده
بېدردو	بېدْرْدو
بېدرکه	بېدْرْکه
بېدل	بېدْل
بېرحمه	بېرْحْمه
بېرحمو	بېرْحْمو
بېرحمي	بېرْحْمي
بېرحمی	بېرْحْمِی
بېرحمۍ	بېرْحْمۍ
بېرل	بېرْل
بېرمل	بېرْمْل
بېرن	بېرْن
بېرنتسن	بېرْنْتْسْن
بېرولی	بېرولِی
بېرونی	بېرونِی
بېرګ	بېرْګ
بېری	بېرِی
بېریږی	بېریږِی
بېرېدل	بېرېدْل
بېرېدلم	بېرېدْلْم
بېرېدلى	بېرېدلِى
بېرېدم	بېرېدْم
بېرېدى	بېرېدِى
بېرېږم	بېرېږْم
بېرېږی	بېرېږِی
بېزوګی	بېزوګَی
بېشر	بېشْر
بېشرمه	بېشْرْمه
بېشرمو	بېشْرْمو
بېشرمي	بېشْرْمي
بېشرمۍ	بېشْرْمۍ
بېشک	بېشْک
بېطرف	بېطرَف
بېطرفه	بېطْرفه
بېطرفو	بېطرَفو
بېطرفي	بېطرَفي
بېطرفۍ	بېطرَفۍ
بېعزته	بېعْزْته
بېعزتي	بېعْزْتي
بېعقلي	بېعْقْلي
بېـــــرېــــــدلـــــه	بېـــــرېــــــدَلْـــــه
بېــــــګم	بېــــــګَم
بېـــــلګــــې	بېـــــلګْــــې
بېـلتون	بېـلتُون
بېفکره	بېفْکْره
بېلبره	بېلْبْره
بېلبرې	بېلْبْرې
بېلتــــــونــــه	بېلتُــــــونْــــه
بېلتون	بېلتُون
بېلتونچې	بېلتُونچې
بېلر	بېلْر
بېلــــتون	بېلــــتُون
بېلـــــــګــــي	بېلـــــــګِــــي
بېلم	بېلْم
بېلمز	بېلْمْز
بېلند	بېلَنْد
بېلولى	بېلولِى
بېلونو	بېلُونو
بېلوني	بېلُوني
بېلښت	بېلْښْت
بېلګوشتون	بېلګوشتُون
بېلګړي	بېلْګْړي
بېلګی	بېلګِی
بېلېدم	بېلېدَم
بېلېدمه	بېلېدَمه
بېلېدنی	بېلېدَنِی
بېلېدى	بېلېدِى
بېموجبه	بېمُوجبه
بېند	بېنْد
بېنر	بېنْر
بېنرونه	بېنرُونه
بېنس	بېنْس
بېنېډېکټ	بېنېډېکْټ
بېټل	بېټْل
بېړنی	بېړنِی
بېړی	بېړِی
بېژن	بېژْن
بېکم	بېکْم
بېګــ	بېګْــ
ةترجمه	ةترْجمه
تأ	تَأ
تأئيد	تْأئيد
تأث	تَأث
تأثير	تَأثير
تأثیر	تَأثیر
تأجيل	تَأجيل
تأخير	تَأخير
تأخیر	تَأخیر
تأدیب	تَأدیب
تأریخ	تَأریخ
تأریخي	تَأریخي
تأریخی	تَأریخِی
تأرېخ	تَأرېخ
تأسف	تَأسف
تأسيس	تَأسيس
تأسیس	تَأسیس
تأقيد	تَأقيد
تأكيد	تَأكيد
تألم	تَألم
تأليف	تَأليف
تأليفونو	تَأليفونو
تألیف	تَألیف
تأم	تَأم
تأمل	تَأمل
تأمين	تَأمين
تأمينول	تَأمينوْل
تأميني	تَأميني
تأمین	تَأمین
تأمینول	تَأمینوْل
تأمینوله	تأمینوْله
تأمینولی	تَأمینوْلِی
تأويل	تَأويل
تأييد	تَأييد
تأکيد	تَأکيد
تأکید	تَأکید
تأیید	تَأیید
تؤطيې	تؤطَيې
تاجیکستان	تاجیکِستان
تاشکند	تاشکَنْد
تانوکی	تانُوکَی
تب	تَب
تبت	تَبت
تبتسم	تَبتسم
تبتي	تبَتي
تبجن	تَبجن
تبجنو	تَبْجنو
تبحر	تَبحر
تبخي	تَبخي
تبخیر	تَبخیر
تبخېر	تَبخېر
تبد	تَبْد
تبدل	تَبدل
تبدلېده	تبْدلېده
تبدي	تَبدي
تبديل	تَبديل
تبديلول	تَبديلُول
تبديلولو	تَبديلُولو
تبديلولې	تَبديلُولې
تبديلي	تَبديلي
تبدیل	تَبدیل
تبدیلول	تَبدیلُول
تبدیلی	تَبدیلِی
تبذير	تَبذير
تبر	تَبْر
تبرته	تبْرته
تبرج	تَبرج
تبرزين	تَبرَزين
تبرزین	تَبرَزین
تبركم	تَبْركم
تبرونه	تبرُونه
تبرونو	تَبرُونو
تبروهې	تبرُوهې
تبري	تَبري
تبريز	تَبريز
تبريزي	تَبريزي
تبريك	تَبريك
تبريه	تبرَيه
تبريک	تَبريک
تبريکي	تَبريکي
تبرک	تَبرک
تبرکلوز	تَبرکلوز
تبرکولز	تَبرکوْلْز
تبرګو	تَبْرګو
تبرګى	تَبْرګِى
تبرګي	تَبْرګي
تبریز	تَبریز
تبریزی	تَبریزِی
تبریم	تَبریم
تبریک	تَبریک
تبریکي	تَبریکي
تبریکی	تَبریکِی
تبرېز	تَبرېز
تبسم	تَبسم
تبسمك	تَبْسمك
تبشیرزېری	تَبشیرزېرِی
تبص	تَبْص
تبصر	تَبصر
تبصره	تبْصره
تبصرو	تَبْصرو
تبصروکې	تَبْصروکې
تبصرى	تَبْصرِى
تبصری	تَبْصرِی
تبصرې	تَبْصرې
تبقى	تَبقِى
تبلو	تَبلو
تبليس	تَبليس
تبليسى	تَبليسِى
تبليسي	تَبليسي
تبليسی	تَبليسِی
تبليع	تَبليع
تبلی	تَبلِی
تبلیسي	تَبلیسي
تبلیسی	تَبلیسِی
تبو	تَبُو
تبوته	تبُوته
تبوك	تَبُوك
تبوک	تَبُوک
تبى	تَبِى
تبي	تَبي
تبيت	تَبيت
تبيتي	تَبيتي
تبين	تَبين
تبيين	تبَيين
تبکر	تَبکَر
تبی	تَبِی
تبیت	تَبیت
تبیلو	تَبیلُو
تبیلې	تَبیلې
تبۍ	تَبۍ
تبې	تَبې
تت	تَت
تتب	تَتَب
تتجلى	تَتَجلَى
تتحسن	تَتَحسَن
تترك	تَترَك
تتريجي	تَتريجي
تتعبيريږې	تَتَعبيريږې
تتقون	تَتقُون
تتلي	تَتلي
تتم	تَتَم
تتمدد	تَتَمَدَد
تتو	تَتُو
تتوفر	تَتُوفَر
تتي	تَتي
تتۍ	تَتۍ
تتې	تَتې
تث	تَث
تثبت	تَثبَت
تثبتول	تَثبَتُول
تثبيت	تَثبيت
تثبيتولو	تَثبيتُولُو
تثبيتېږي	تَثبيتېږي
تثبیت	تَثبیت
تثلیت	تَثلیت
تثلیث	تَثلیث
تثنیه	تثنَیه
تج	تَج
تجتمع	تَجتَمع
تجد	تَجْد
تجدد	تَجَدُد
تجديد	تَجديد
تجدید	تَجدید
تجدیدنظر	تَجدیدنَظر
تجدیدوم	تَجدیدُوم
تجدېد	تَجدېد
تجر	تَجْر
تجربـــې	تَجْرْبْـــې
تجربه	تجْرْبه
تجربو	تَجْرْبُو
تجربوته	تجْرْبُوته
تجربوسره	تجْرْبُوسره
تجربوكي	تَجرُبُوكي
تجربوله	تَجْرْبُوله
تجربوي	تَجرُبُوي
تجربوپه	تجْرْبُوپه
تجربوڅخه	تجْرْبُوڅَخه
تجربوښودلې	تَجْرْبُوښُودلې
تجربوکي	تَجرُبُوکي
تجربوکې	تَجرُبُوکې
تجربى	تَجرُبِى
تجربي	تَجرُبي
تجربی	تَجرُبِی
تجربې	تَجرُبې
تجربېڅو	تجْربېڅُو
تجرد	تَجرُد
تجرربي	تَجرُربي
تجرو	تَجرُو
تجروبه	تجرُوبه
تجروبو	تَجرُوبُو
تجروبوي	تَجرُوبُوي
تجروبي	تَجرُوبي
تجروبی	تَجرُوبِی
تجروبې	تَجرُوبې
تجري	تَجري
تجريبو	تَجريبُو
تجريبوپه	تجريبُوپه
تجريبې	تَجريبې
تجريد	تَجريد
تجريددۍ	تَجريددۍ
تجريدولو	تَجريدُولُو
تجريدي	تَجريدي
تجريديي	تَجريديي
تجريو	تَجريو
تجری	تَجرِی
تجریبې	تَجریبې
تجرید	تَجرید
تجریدو	تَجریدُو
تجریدولو	تَجریدُولُو
تجریدی	تَجریدِی
تجریې	تَجرِیې
تجرۍ	تَجرۍ
تجرېبو	تَجرېبُو
تجرېبې	تَجرېبې
تجزع	تَجزُع
تجزيه	تجزَيه
تجزيى	تَجزيى
تجزيي	تَجزيي
تجزيې	تَجزِيې
تجزیه	تجزَیه
تجزیی	تَجزیی
تجزییه	تجزَییه
تجزیې	تَجزِیې
تجزې	تَجزې
تجسس	تَجسُس
تجسسي	تَجسُسي
تجسم	تَجسَم
تجع	تَجَع
تجعينو	تَجَعينُو
تجـــربو	تَجْـــرْبُو
تجـــــــــــــــــ	تَجْـــــــــــــــــ
تجل	تَجَل
تجلو	تَجلُو
تجلي	تَجلي
تجليل	تَجليل
تجلی	تَجلِی
تجلیل	تَجلیل
تجلیلولو	تَجلیلُولُو
تجلې	تَجلې
تجمع	تَجمَع
تجمل	تَجمَل
تجملي	تَجمَلي
تجملی	تَجمَلِی
تجموع	تَجمُوع
تجميع	تَجميع
تجنس	تَجنَس
تجنيس	تَجنيس
تجهيز	تَجهيز
تجهيزسوي	تَجهيزسُوي
تجهیز	تَجهیز
تجهیزول	تَجهیزُول
تجهیزوي	تَجهیزُوي
تجيرونه	تجيرُونه
تجيز	تَجيز
تجګ	تَجْګ
تجی	تَجِی
تح	تَح
تحب	تَحَب
تحبون	تَحَبُون
تحت	تَحْت
تحتې	تَحتې
تحجد	تَحجَد
تحجر	تَحجَر
تحد	تَحَد
تحدث	تَحَدَث
تحده	تحَده
تحدو	تَحَدُو
تحديد	تَحديد
تحديدوي	تَحديدُوي
تحدين	تَحدين
تحدین	تَحدین
تحدینو	تَحدینُو
تحر	تَحَر
تحرف	تَحَرَف
تحرك	تَحَرَك
تحرميږي	تَحَرميږي
تحروک	تَحَرُوک
تحرير	تَحرير
تحريردې	تَحريردې
تحريرى	تَحريرِى
تحريري	تَحريري
تحريف	تَحريف
تحريفولو	تَحريفُولُو
تحريفونه	تحريفُونه
تحريفوي	تَحريفُوي
تحريفګر	تَحريفګَر
تحريك	تَحريك
تحريكونو	تَحريكُونُو
تحريم	تَحريم
تحريمو	تَحريمُو
تحريمول	تَحريمُول
تحريمولو	تَحريمُولو
تحريموم	تَحريمُوم
تحريمونه	تحريمُونه
تحريمی	تَحريمِی
تحريک	تَحريک
تحريکو	تَحريکُو
