# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# ⚠ LICENCE: GPL-3.0 (per-file fence) — NOT CC-BY-SA like the sibling riders.
# Source: g2p-inversion over espeak-ng dictsource/ps_list (GPL-3.0, Hanif Rahman) + wikipron + kaikki.
# 12535 of 13828 rows are reachable only from the GPL source. Only the SHORT-VOWEL PLACEMENT
# derives from it — espeak's phoneme strings are never copied; the consonants are our g2p's.
# See src/languages/pashto/lexicon.PROVENANCE.md and LICENSES/PROVENANCE.md §4.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبخانە	آبخانَە
اربکې	ارْبکې
ارت	ارْت
ارتد	ارتِد
ارتدت	ارتِدْت
ارتركيوس	ارتِركِيوس
ارتروز	ارتِروز
ارتروزه	ارْتروزه
ارتش	ارتِش
ارتق	ارتِق
ارتقأ	ارتِقَأ
ارتل	ارتِل
ارتودوکس	ارتودوکْس
ارتوه	ارْتوه
ارتگ	ارتِگ
ارتی	ارتِی
ارتېدل	ارتېدِل
ارث	ارْث
ارثر	ارْثْر
ارثی	ارثِی
ارج	ارْج
ارجستر	ارجِستِر
ارجله	ارْجْله
ارجن	ارجِن
ارحم	ارْحْم
ارحمن	ارْحْمِن
ارحمني	ارْحْمِني
ارخ	ارْخ
ارد	ارْد
اردبيلی	ارْدْبيلِی
اردني	ارْدْني
اردنی	ارْدْنِی
اردوجوړکړ	اردوجوړْکْړ
اردودخوست	اردودخوسْت
اردودلومړی	اردودلومړِی
اردوسرتيري	اردوسَرتيري
اردوسرتیري	اردوسَرتیري
اردوپه	اردُوپه
اردوچی	اردُوچِی
اردوچې	اردُوچې
اردوکښي	ارُدُوکښي
اردوکی	ارُدُوکِی
اردوکې	ارُدُوکې
اردکمیسون	ارْدْکَمیسُون
ارز	ارْز
ارزبين	ارْزْبين
ارزش	ارزَش
ارزشت	ارزَشْت
ارزشتمن	ارزَشْتْمَن
ارزشتنو	ارزَشْتْنُو
ارزشمن	ارزَشمَن
ارزشه	ارْزشه
ارزشو	ارزَشُو
ارزشونه	ارْزشُونه
ارزشونو	ارزَشُونُو
ارزم	ارْزْم
ارزنه	ارْزْنه
ارزو	ارزُو
ارزوته	ارزُوته
ارزوده	ارزُوده
ارزول	ارزُول
ارزولرم	ارزُولْرْم
ارزولری	ارزُولرِی
ارزوله	ارزُوله
ارزولو	ارزُولُو
ارزولوته	ارزُولُوته
ارزولى	ارزُولِى
ارزولي	ارزُولي
ارزولی	ارزُولِی
ارزولې	ارزُولې
ارزوم	ارزُوم
ارزومن	ارزُومْن
ارزومند	ارزُومَنْد
ارزومو	ارزُومُو
ارزومې	ارزُومې
ارزونه	ارزُونه
ارزونو	ارزُونُو
ارزونى	ارزُونِى
ارزوني	ارزُوني
ارزونی	ارزُونِی
ارزونې	ارزُونې
ارزوي	ارزُوي
ارزوچي	ارزُوچي
ارزوۍ	ارزُوۍ
ارزى	ارزِى
ارزيدل	ارزيدْل
ارزيدو	ارزيدُو
ارزښ	ارزَښ
ارزښت	ارزَښْت
ارزښتم	ارزَښْتْم
ارزښتمن	ارزَښْتْمَن
ارزښتمنده	ارزښْتْمنده
ارزښتمنه	ارزښْتْمنه
ارزښتمنو	ارزَښْتْمَنُو
ارزښتمني	ارزَښْتْمَني
ارزښتمنې	ارزَښْتْمَنې
ارزښتمو	ارزَښْتْمُو
ارزښتنو	ارزَښْتْنُو
ارزښتنوپه	ارزښْتْنُوپه
ارزښتو	ارزَښتُو
ارزښتونه	ارزښتُونه
ارزښتونو	ارزَښتُونُو
ارزښتونوبه	ارزښتُونُوبه
ارزښتونوته	ارزښتُونُوته
ارزښتونود	ارزَښتُونُود
ارزښتونودبې	ارزَښتُونُودبې
ارزښتونوسره	ارزښتُونُوسره
ارزښتونوله	ارزښتُونُوله
ارزښتونونه	ارزښتُونُونه
ارزښتونوپه	ارزښتُونُوپه
