# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
aankomende	ˈɑːnkˈuəməndə
aankoms	ˈɑːnkɔms
aankondig	ˈɑːnkɔndəχ
aankondiging	ˈɑːnkɔndəχəŋ
aankondigings	ˈɑːnkɔndəχəŋs
aankoop	ˈɑːnkuəp
aankoopprys	ˈɑːnkuəpprəis
aankope	ˈɑːnkuəpə
aankopers	ˈɑːnkuəpərs
aankweek	ˈɑːnkwiək
aankyk	ˈɑːnkəik
aanland	ˈɑːnlant
aanleer	ˈɑːnliər
aanleerproses	ˈɑːnliərprusɛs
aanleerstappe	ˈɑːnliərstapə
aanleg	ˈɑːnlɛχ
aanlegontwerp	ˈɑːnlɛχɔntvɛrp
aanlegte	ˈɑːnlɛχtə
aanleidende	ɑːnlˈəidəndə
aanleiding	ˈɑːnləidəŋ
aanliggende	ˈɑːnlˈəχəndə
aanloklik	ɑːnlˈɔklək
aanloklike	ɑːnlˈɔkləkə
aanloop	ˈɑːnluəp
aanloopbaan	ˈɑːnluəpbɑːn
aanmaning	ˈɑːnmɑːnəŋ
aanmekaar	ɑːnməkˈɑːr
aanmekaargeflansde	ɑːnməkˈɑːrχəflansdə
aanmekaargesit	ɑːnməkˈɑːrχəsət
aanmeld	ˈɑːnmɛlt
aanmelding	ˈɑːnmɛldəŋ
aanmerking	ˈɑːnmɛrkəŋ
aanmerkings	ˈɑːnmɛrkəŋs
aanmerklik	ɑːnmˈɛrklək
aanmoedig	ˈɑːnmudəχ
aanmoediging	ˈɑːnmudəχəŋ
aanname	ˈɑːnɑːmə
aannames	ˈɑːnɑːməs
aanneem	ˈɑːniəm
aanneemouers	ˈɑːniəmœuərs
aannemer	ˈɑːniəmər
aanneming	ˈɑːniəməŋ
aannemings	ˈɑːniəməŋs
aanpak	ˈɑːnpak
aanpas	ˈɑːnpas
aanpasbaar	ɑːnpˈasbɑːr
aanpasbaarheid	ɑːnpˈasbɑːrɦəit
aanpassing	ˈɑːnpasəŋ
aanpassings	ˈɑːnpasəŋs
aanplant	ˈɑːnplant
aanplanting	ˈɑːnplantəŋ
aanplantings	ˈɑːnplantəŋs
aanpor	ˈɑːnpɔr
aanpresenteer	ˈɑːnprəsɛntiər
aanraak	ˈɑːnrɑːk
aanraking	ˈɑːnrɑːkəŋ
aanrand	ˈɑːnrant
aanranding	ˈɑːnrandəŋ
aanrandings	ˈɑːnrandəŋs
aanrig	ˈɑːnrəχ
aanroep	ˈɑːnrup
aanroer	ˈɑːnrur
aanry	ˈɑːnrəi
aansien	ˈɑːnsin
aansienlik	ɑːnsˈinlək
aansienlike	ɑːnsˈinləkə
aansig	ˈɑːnsəχ
aansigte	ˈɑːnsəχtə
aansit	ˈɑːnsət
aansitter	ˈɑːnsətər
aanskaf	ˈɑːnskaf
aanskakel	ˈɑːnskɑːkəl
aanskou	ˈɑːnskˈœu
aanskoue	ˈɑːnskœuə
aanskoulik	ɑːnskˈœulək
aanskoulike	ɑːnskˈœuləkə
aanskyn	ˈɑːnskəin
aanslaan	ˈɑːnslɑːn
aanslae	ˈɑːnslɑːə
aanslag	ˈɑːnslaχ
aanslagformule	ˈɑːnslaχfɔrmylə
aansluit	ˈɑːnslœyt
aansluitend	ɑːnslˈœytənt
aansluiting	ˈɑːnslœytəŋ
aansluitings	ˈɑːnslœytəŋs
aansoek	ˈɑːnsuk
aansoeke	ˈɑːnsukə
aansoeker	ˈɑːnsukər
aansoekers	ˈɑːnsukərs
aansoekprosedure	ˈɑːnsukprɔsədyrə
aansoekvorm	ˈɑːnsukfɔrəm
aansoekvorms	ˈɑːnsukfɔrəms
aanspoor	ˈɑːnspuər
aanspoorkragte	ˈɑːnspuərkraχtə
aansporing	ˈɑːnspuərəŋ
aansporings	ˈɑːnspurəŋs
aanspraak	ˈɑːnsprɑːk
aanspraakmaker	ˈɑːnsprɑːkmɑːkər
