# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
klastye	klˈastəiə
klasverteenwoordiger	klˈasfərtiənvuərdəχər
klasvoorbereiding	klˈasfuərbərəidəŋ
klavesimbel	klavəsˈəmbəl
klavier	klafˈir
klaviere	klafˈirə
klavierkonsert	klafˈirkɔnsɛrt
klaviermetodiek	klafˈirmɛtudik
klavierspeler	klafˈirspiələr
klawer	klˈɑːvər
klawerbord	klˈɑːvərbɔrt
klawers	klˈɑːvərs
kleding	klˈiədəŋ
kledingstuk	klˈiədəŋstœk
klee	kliə
kleed	kliət
kleedkamer	klˈiətkɑːmər
kleedrepetisie	klˈiətrɛpətisi
kleef	kliəf
kleefmyn	klˈiəfməin
kleigroewe	klˈəiχruvə
kleim	kləim
kleinbekswartbaars	klˈəinbɛkswartbɑːrs
kleinboere	klˈəinburə
kleinboet	klˈəinbut
kleinding	klˈəindəŋ
kleindogter	klˈəindɔχtər
kleine	klˈəinə
kleineer	kləinˈiər
kleiner	klˈəinər
kleinerige	klˈəinərəχə
kleingeld	klˈəinχɛlt
kleingelowig	kləinχəlˈuəvəχ
kleingoed	klˈəinχut
kleingroep	klˈəinχrup
kleinhandel	klˈəinɦandəl
kleinhandelaar	klˈəinɦandəlɑːr
kleinhandelaars	klˈəinɦandəlɑːrs
kleinhandelprys	klˈəinɦandəlprəis
kleinhandelverkope	klˈəinɦandəlfərkuəpə
kleinhoewe	klˈəinɦuvə
kleinhoewes	klˈəinɦuvəs
kleinkinders	klˈəinkəndərs
kleinman	klˈəinman
kleinood	klˈəinuət
kleins	kləins
kleinsake	klˈəinsɑːkə
kleinsakeondernemings	klˈəinsɑːkəɔndərniəməŋs
kleinserig	kləinsˈərəχ
kleinseun	klˈəinsøːn
kleinskaalse	klˈəinskɑːlsə
kleinste	klˈəinstə
kleintjie	klˈəiŋki
kleintjies	klˈəiŋkis
kleintyd	klˈəintəit
kleinvee	klˈəinfiə
klemlegging	klˈɛmlɛχəŋ
klep	klɛp
kleppe	klˈɛpə
klerasie	kliərˈɑːsi
klere	klˈiərə
klerebedryf	klˈiərəbədrəif
kleredrag	klˈiərədraχ
klerefabriek	klˈiərəfabrik
klerekas	klˈiərəkas
klerewinkel	klˈiərəvəŋkəl
klerewinkels	klˈiərəvəŋkəls
klerk	klɛrk
klerksdorp	klˈɛrksdɔrp
klets	klɛts
kleur	kløːr
kleure	klˈøːrə
kleurekstraksie	klˈøːrɛkstraksi
kleurfoto	klˈøːrfuətu
kleurgelykstelling	klˈøːrχələikstɛləŋ
kleurling	klˈøːrləŋ
kleurlinge	klˈøːrləŋə
kleurloos	klˈøːrluəs
kleurlose	klˈøːrluəsə
kleurryke	klˈøːrrəikə
kleurskema	klˈøːrskiəma
kleurstof	klˈøːrstɔf
kleurvolle	klˈøːrfɔlə
kleuter	klˈøːtər
kleuters	klˈøːtərs
kleuterskole	klˈøːtərskuələ
kleuterskool	klˈøːtərskuəl
kliek	klik
kliere	klˈirə
klik	klək
klikgeluide	klˈəkχəlœydə
klim	kləm
klimaatstoestande	klimˈɑːtstustandə
klimaatstreke	klimˈɑːtstriəkə
klimaatsverandering	klimˈɑːtsfərandərəŋ
klimaks	klˈimaks
klimmende	klˈəməndə
klimmers	klˈəmərs
klimop	klˈəmɔp
klimslag	klˈəmslaχ
kliniek	klənˈik
klinieke	klənˈikə
klinies	klˈinis
kliniese	klˈinisə
klinkende	klˈəŋkəndə
klinkklare	klˈəŋklɑːrə
klip	kləp
kliphard	klˈəpɦart
klipharde	klˈəpɦardə
kliphuis	klˈəpɦœys
klippe	klˈəpə
klippie	klˈəpi
klippies	klˈəpis
klippoortjie	klˈəppuərki
klits	kləts
kliënte	kliˈɛntə
klofie	klˈuəfi
klofies	klˈuəfis
klokkie	klˈɔki
klokkies	klˈɔkis
klomp	klɔmp
klompie	klˈɔmpi
klone	klˈuənə
kloning	klˈuənəŋ
klonte	klˈɔntə
klontjies	klˈɔŋkis
klooster	klˈuəstər
kloosters	klˈuəstərs
klop	klɔp
klopdisselboom	klˈɔpdəsəlbuəm
klopper	klˈɔpər
kloppers	klˈɔpərs
klopse	klˈɔpsə
klou	klœu
kloue	klˈœuə
klousule	klœusˈylə
klousules	klœusˈyləs
klouter	klˈœutər
klowe	klˈuəvə
klub	klœp
klubhuis	klˈœbɦœys
klubrugby	klˈœbraχbi
klubs	klœbs
klubvlak	klˈœbflak
klubwedstryd	klˈœbvɛtstrəit
klug	klœχ
kluis	klœys
kluise	klˈœysə
knaagdiere	knˈɑːχdirə
knaend	knˈɑːənt
knak	knak
knal	knal
knap	knap
knapie	knˈɑːpi
knapsak	knˈapsak
knel	knɛl
knelpunt	knˈɛlpœnt
knelpunte	knˈɛlpœntə
kneukels	knˈøːkəls
kniebesering	knˈibəsiərəŋ
kniediep	knˈidip
kniegewrig	knˈiχəvrəχ
kniehalter	knˈiɦaltər
kniel	knil
knieë	knˈiə
knik	knək
knip	knəp
knipmes	knˈəpmɛs
knoeiery	knˈuiərəi
knoffelhuisie	knˈɔfəlɦœysi
knoffelhuisies	knˈɔfəlɦœysis
knolle	knˈɔlə
knoop	knuəp
knop	knɔp
knope	knˈuəpə
knopkieries	knˈɔpkiris
knoppe	knˈɔpə
knoppie	knˈɔpi
knoppies	knˈɔpis
knor	knɔr
knormoer	knˈɔrmur
knou	knœu
knuppel	knˈœpəl
knyp	knəip
knypie	knˈəipi
knysna	knˈəisna
koalisie	kualˈisi
koalisieregering	kualˈisirəχiərəŋ
koalisietydperk	kualˈisitəitpɛrk
kobe	kˈuəbə
kobraägtig	kuəbraˈaχtəχ
kode	kˈuədə
kodeks	kˈuədɛks
kodenaam	kˈuədənɑːm
kodering	kudˈiərəŋ
kodes	kˈuədəs
koedoes	kˈudus
koeie	kˈuiə
koekbeslag	kˈukbəslaχ
koeke	kˈukə
koekeroekoe	kukərukˈu
koekie	kˈuki
koekies	kˈukis
koekmeelblom	kˈukmiəlblɔm
koekoekvoëls	kukˈukfuəls
koeksisters	kˈuksəstərs
koeksoda	kˈuksuəda
koel	kul
koelbloedig	kulblˈudəχ
koelbloedige	kulblˈudəχə
koeldrank	kˈuldraŋk
koeldranke	kˈuldraŋkə
koelhouer	kˈulɦœuər
koelkan	kˈulkan
koelkop	kˈulkɔp
koelte	kˈultə
koen	kun
koepel	kˈupəl
koeplet	kuplˈɛt
koepons	kˈupɔns
koer	kur
koerantberigte	kurˈantbərəχtə
koerante	kurˈantə
koerantman	kurˈantman
koerantmense	kurˈantmɛnsə
koerantpapier	kurˈantpapir
koerdiese	kˈurdisə
koerier	kurˈir
koers	kurs
koerse	kˈursə
koersvaste	kˈursfastə
koersverhoging	kˈursfərɦuəχəŋ
koersverlaging	kˈursfərlɑːχəŋ
koester	kˈustər
koetshuis	kˈutsɦœys
koevert	kufˈɛrt
koevoet	kˈufut
koeweitse	kuvˈəitsə
koeël	kˈuəl
koffer	kˈɔfər
koffiebaai	kɔfibˈɑːi
koffiekroeg	kˈɔfikruχ
koffiemakery	kˈɔfimɑːkərəi
koffietafel	kˈɔfitɑːfəl
koffietrommel	kˈɔfitrɔməl
koffiewinkel	kˈɔfivəŋkəl
kognitief	kɔχnətˈif
koherensie	kuəɦirˈɛnsi
koherente	kuəɦirˈɛntə
kohesie	kuɦˈiəsi
kok	kɔk
koka	kˈuəka
kokaïen	kukaˈin
koker	kˈuəkər
kokke	kˈɔkə
kokon	kukˈɔn
kol	kɔl
kole	kˈuələ
kolf	kɔlf
kolfbeurt	kˈɔlfbøːrt
kolfbeurte	kˈɔlfbøːrtə
kolfblaaie	kˈɔlfblɑːiə
kolfblad	kˈɔlfblat
kolfkampie	kˈɔlfkampi
kolflys	kˈɔlfləis
kolforde	kˈɔlfɔrdə
kolfwerk	kˈɔlfvɛrk
kolle	kˈɔlə
kollega	kulˈiəχa
kollegas	kulˈiəχas
kollege	kˈɔlidʒ
kolleges	kˈɔlidʒəs
kollektief	kɔlɛktˈif
kollektiewe	kɔlɛktˈivə
kolletjie	kˈɔliki
kolletjies	kˈɔlikis
kollig	kˈɔləχ
kolofonium	kɔlufˈuəniœm
kolom	kulˈɔm
kolomme	kulˈɔmə
kolon	kˈuəlɔn
kolonel	kɔlunˈɛl
koloniale	kuluəniˈɑːlə
kolonialisme	kulunialˈəsmə
kolonie	kulˈuəni
kolonies	kulˈuənis
kolonisering	kuluənisˈiərəŋ
koloniste	kuluənˈəstə
kolonne	kulˈɔnə
kolpak	kˈɔlpak
kolwe	kˈɔlvə
kolwer	kˈɔlvər
kolwers	kˈɔlvərs
koma	kˈuəma
komaan	kɔmˈɑːn
kombers	kɔmbˈɛrs
komberse	kɔmbˈɛrsə
kombinasie	kɔmbinˈɑːsi
kombinasies	kɔmbinˈɑːsis
kombineer	kɔmbinˈiər
kombuisdeur	kɔmbˈœysdøːr
kombuise	kɔmbˈœysə
kombuiskaste	kɔmbˈœyskastə
kombuisvenster	kɔmbˈœysfɛnstər
komediant	kumiədiˈant
komediante	kumiədiˈantə
komedie	kumˈiədi
komende	kˈuəməndə
komete	kumˈiətə
komies	kˈuəmis
komiese	kˈuəmisə
komitee	kɔmətˈiə
komiteelede	kɔmətˈiəliədə
komiteelid	kɔmətˈiələt
komitees	kɔmətˈiəs
komma	kˈɔma
kommandant	kɔmandˈant
kommandement	kɔmandəmˈɛnt
kommando	kumˈandu
kommando's	kumˈandus
kommandokampe	kumˈandukampə
kommandolede	kumˈanduliədə
komme	kˈɔmə
kommentaar	kɔməntˈɑːr
kommentare	kɔməntˈɑːrə
kommentator	kɔməntˈɑːtɔr
kommentators	kɔməntˈɑːtɔrs
kommer	kˈɔmər
kommersieel	kɔmɛrsiˈiəl
kommersiële	kɔmɛrsiˈiələ
kommerwekkend	kɔmərvˈɛkənt
kommerwekkende	kɔmərvˈɛkəndə
kommetjie	kˈɔmiki
kommissaris	kɔməsˈɑːrəs
kommissarisse	kɔməsˈɑːrəsə
kommissie	kumˈisi
kommissielede	kumˈisiliədə
kommissies	kumˈisis
kommoditeit	kɔmɔditˈəit
kommoditeite	kɔmɔditˈəitə
kommoditeitspryse	kɔmɔditˈəitsprəisə
kommunikasiekanale	kɔmynikˈɑːsikanɑːlə
kommunikasiekunde	kɔmynikˈɑːsikœndə
kommunikasiemedium	kɔmynikˈɑːsimidiœm
kommunikasiemodules	kɔmynikˈɑːsimɔdyləs
kommunikasiepraktisyn	kɔmynikˈɑːsipraktisəin
kommunikasieproses	kɔmynikˈɑːsiprusɛs
kommunikasiestelsels	kɔmynikˈɑːsistɛlsəls
kommunikasiestrategie	kɔmynikˈɑːsistratəχi
kommunikasietegnologieë	kɔmynikˈɑːsitɛχnuluχiə
kommunikasievaardighede	kɔmynikˈɑːsifɑːrdəχɦiədə
kommunikasievakke	kɔmynikˈɑːsifakə
kommunikatiewe	kɔmynikatˈivə
kommunikeer	kɔmynikˈiər
kommunikering	kɔmynikˈiərəŋ
kommunis	kɔmynˈəs
kommunisme	kɔmynˈəsmə
kommuniste	kɔmynˈəstə
kommunistiese	kɔmynˈəstisə
kompak	kɔmpˈak
kompakte	kɔmpˈaktə
kompanjie	kɔmpanjˈi
kompartement	kɔmpartəmˈɛnt
kompeteer	kɔmpətˈiər
kompetensies	kɔmpətˈɛnsis
kompeterend	kɔmpətˈiərənt
kompeterende	kɔmpətˈiərəndə
kompetisie	kɔmpətˈisi
kompetisies	kɔmpətˈisis
kompleet	kɔmplˈiət
kompleks	kɔmplˈɛks
komplekse	kɔmplˈɛksə
kompleksiteit	kɔmplɛksitˈəit
komplemente	kɔmpləmˈɛntə
komplementeer	kɔmpləmɛntˈiər
komplete	kɔmplˈətə
kompleteer	kɔmplətˈiər
komplikasies	kɔmplikˈɑːsis
kompliment	kɔmplimˈɛnt
komplimente	kɔmplimˈɛntə
komplimenteer	kɔmplimɛntˈiər
komplot	kɔmplˈɔt
komponeer	kɔmpunˈiər
komponent	kɔmpunˈɛnt
komponente	kɔmpunˈɛntə
komponis	kɔmpunˈəs
komponiste	kɔmpunˈəstə
kompos	kˈɔmpɔs
komposisie	kɔmpuzˈisi
komposisies	kɔmpuzˈisis
komposisionele	kɔmpuziʃiunˈiələ
kompressor	kɔmprˈɛsɔr
kompromie	kɔmprumˈi
kompromieë	kɔmprumˈiə
kompromis	kɔmprumˈəs
kompromisse	kɔmprumˈəsə
komrij	kˈɔmrəi
koms	kɔms
komste	kˈɔmstə
kondensasie	kɔndɛnsˈɑːsi
kondig	kˈɔndəχ
kondisie	kɔndˈisi
kondisionering	kɔndiʃiunˈiərəŋ
kondome	kɔndˈuəmə
konfederasie	kɔnfɛdərˈɑːsi
konferensie	kɔnfərˈɛnsi
konferensiebesluite	kɔnfərˈɛnsibəslœytə
konferensies	kɔnfərˈɛnsis
konferensiesentrum	kɔnfərˈɛnsisɛntrœm
konfigurasie	kɔnfiχyrˈɑːsi
konflik	kˈɔnflək
konflikhantering	kˈɔnfləkɦantiərəŋ
konflikte	kˈɔnfləktə
konflikteorie	kˈɔnfləktiuri
konformiteit	kɔnfɔrmitˈəit
konfrontasie	kɔnfrɔntˈɑːsi
konfronteer	kɔnfrɔntˈiər
konfyt	kɔnfˈəit
konglomeraat	kɔnχlɔmərˈɑːt
kongo	kˈɔŋχu
kongres	kɔnχrˈɛs
kongruensie	kɔnχryˈɛnsi
koningin	kuənəŋˈən
koninginvervanging	kuənəŋˈənfərfaŋəŋ
konings	kˈuənəŋs
koningsgesin	kˈuənəŋsχəsən
koningshuis	kˈuənəŋsɦœys
koningskap	kˈuənəŋskap
koninklike	kˈuənəŋkləkə
koninklikes	kˈuənəŋkləkəs
koninkryke	kˈuənəŋkrəikə
konkas	kˈɔŋkas
konkreet	kɔnkrˈiət
konkrete	kɔŋkrˈiətə
konkurrente	kɔnkœrˈɛntə
konneksie	kunˈɛksi
konneksies	kunˈɛksis
konnotasie	kɔnutˈɑːsi
konsekutief	kɔnsɛkytˈif
konsekwent	kɔnsəkwˈɛnt
konsekwente	kɔnsəkwˈɛntə
konsekwentheid	kɔnsəkwˈɛntɦəit
konsensus	kɔnsˈɛnsœs
konsentrasie	kɔnsɛntrˈɑːsi
konsentrasiekamp	kɔnsɛntrˈɑːsikamp
konsentrasiekampe	kɔnsɛntrˈɑːsikampə
konsentrasies	kɔnsɛntrˈɑːsis
konsentreer	kɔnsɛntrˈiər
konsentriese	kɔnsˈɛntrisə
konsep	kɔnsˈɛp
konsepbeleid	kɔnsˈɛpbələit
konsepgrondwet	kɔnsˈɛpχrɔntvɛt
konsepresolusies	kɔnsˈɛprɛsulysis
konsepsie	kɔnsˈɛpsi
konsepsionele	kɔnsɛpʃiunˈiələ
konsepte	kɔnsˈɛptə
konseptueel	kɔnsɛptʃyˈiəl
konseptuele	kɔnsɛptʃyˈiələ
konsepwet	kɔnsˈɛpvɛt
konsepwetgewing	kɔnsˈɛpvɛtχiəvəŋ
konsert	kɔnsˈɛrt
konserte	kɔnsˈɛrtə
konsertgangers	kɔnsˈɛrtχaŋərs
konsertina	kɔnsərtˈina
konsertprogram	kɔnsˈɛrtpruχram
konsertreeks	kɔnsˈɛrtriəks
konsertreis	kɔnsˈɛrtrəis
konsertsaal	kɔnsˈɛrtsɑːl
konsertsale	kɔnsˈɛrtsɑːlə
konserttoer	kɔnsˈɛrttur
konserwatief	kɔnsɛrvatˈif
konserwatiewe	kɔnsɛrvatˈivə
konserwatisme	kɔnsɛrvatˈəsmə
konsessie	kɔnsˈɛsi
konsessiehouer	kɔnsˈɛsiɦœuər
konsessiehouers	kɔnsˈɛsiɦœuərs
konsessies	kɔnsˈɛsis
konsiderasie	kɔnsidərˈɑːsi
konsiliasie	kɔnsiliˈɑːsi
konsolidasie	kɔnsɔlidˈɑːsi
konsolideer	kɔnsɔlidˈiər
konsolidering	kɔnsɔlidˈiərəŋ
konsonante	kɔnsunˈantə
konsortium	kɔnsˈɔrtiœm
konstabel	kɔnstˈɑːbəl
konstabels	kɔnstˈɑːbəls
konstant	kɔnstˈant
konstante	kɔnstˈantə
konstantes	kɔnstˈantəs
konstateer	kɔnstatˈiər
konstitusionele	kɔnstətyʃiunˈiələ
konstruk	kɔnstrˈœk
konstruksie	kɔnstrˈœksi
konstruksiemaatskappy	kɔnstrˈœksimɑːtskapəi
konstruksies	kɔnstrˈœksis
konstrukte	kɔnstrˈœktə
konstruktief	kɔnstrœktˈif
konstruktiewe	kɔnstrœktˈivə
konstruktivistiese	kɔnstrœktivˈəstisə
konstruktiwisme	kɔnstrœktivˈəsmə
konsul	kˈɔnsœl
konsulaat	kɔnsœlˈɑːt
konsultant	kɔnsœltˈant
konsultante	kɔnsœltˈantə
konsultasie	kɔnsœltˈɑːsi
konsultasies	kɔnsœltˈɑːsis
konsulteer	kɔnsœltˈiər
kontakbesonderhede	kɔntˈakbəsɔndərɦiədə
kontakleerders	kɔntˈakliərdərs
kontaknommer	kɔntˈaknɔmər
kontaknommers	kɔntˈaknɔmərs
kontakperiode	kɔntˈakpiəriuədə
kontakpersone	kɔntˈakpərsuənə
kontakpersoon	kɔntˈakpərsuən
kontaksessie	kɔntˈaksɛsi
kontakte	kɔntˈaktə
kontaktye	kɔntˈaktəiə
kontaminasie	kɔntaminˈɑːsi
kontant	kɔntˈant
kontantbedrag	kɔntˈantbədraχ
kontantdividend	kɔntˈantdəvədɛnt
kontantposisie	kɔntˈantpuzisi
kontantprys	kɔntˈantprəis
kontantpryse	kɔntˈantprəisə
kontantreserwes	kɔntˈantrəzɛrvəs
kontantverkope	kɔntˈantfərkuəpə
kontantvloei	kɔntˈantflui
kontantvloeiprobleme	kɔntˈantfluiprubliəmə
konteksskepping	kˈɔntɛksskɛpəŋ
kontekstualiseer	kɔntɛkstʃualisˈiər
kontekstualisering	kɔntɛkstʃualisˈiərəŋ
kontekstuele	kɔntɛkstʃyˈiələ
kontinent	kɔntinˈɛnt
kontinentale	kɔntinɛntˈɑːlə
kontinente	kɔntinˈɛntə
kontingent	kɔntənχˈɛnt
kontinu	kɔntinˈy
kontinuïteit	kɔntinyitˈəit
kontoere	kɔntˈurə
kontra	kˈɔntra
kontraksies	kɔntrˈaksis
kontrakte	kɔntrˈaktə
kontraktereg	kɔntrˈaktərɛχ
kontrakterende	kɔntraktˈiərəndə
kontrakteur	kɔntraktˈøːr
kontrakteurs	kɔntraktˈøːrs
kontraktueel	kɔntraktʃyˈiəl
kontraktuele	kɔntraktʃyˈiələ
kontrakwerk	kɔntrˈakvɛrk
kontrakwerkers	kɔntrˈakvɛrkərs
kontrapunt	kˈɔntrapœnt
kontras	kˈɔntras
kontrasteer	kɔntrastˈiər
kontrasterende	kɔntrastˈiərəndə
kontrei	kɔntrˈəi
kontrole	kɔntrˈuələ
kontrolegroep	kɔntrˈuələχrup
kontrolelys	kɔntrˈuələləis
kontrolering	kɔntrulˈiərəŋ
kontroles	kɔntrˈuələs
konveksiestroom	kɔnvˈɛksistruəm
konvensie	kɔnfˈɛnsi
konvensies	kɔnfˈɛnsis
konvensioneel	kɔnfɛnʃiunˈiəl
konvensionele	kɔnfɛnʃiunˈiələ
konvergensie	kɔnfərχˈɛnsi
konvulsies	kɔnvˈœlsis
kook	kuək
kookboek	kˈuəkbuk
kookolie	kˈuəkuəli
kookpot	kˈuəkpɔt
kookpunt	kˈuəkpœnt
kookpunte	kˈuəkpœntə
kookwater	kˈuəkvɑːtər
koolhidrate	kˈuəlɦidrɑːtə
koolstofatoom	kˈuəlstɔfatuəm
koolstofdioksied	kˈuəlstɔfdiɔksit
koolstofmonoksied	kˈuəlstɔfmɔnɔksit
koolwaterstowwe	kˈuəlvɑːtərstɔvə
koopbewys	kˈuəpbəvəis
koophandel	kˈuəpɦandəl
koopkrag	kˈuəpkraχ
koopkragpariteit	kˈuəpkraχparitəit
koopman	kˈuəpman
koopprys	kˈuəpprəis
koopsom	kˈuəpsɔm
kooptransaksie	kˈuəptransaksi
koor	kuər
koordlose	kˈuərtluəsə
koorfees	kˈuərfiəs
koorlede	kˈuərliədə
koors	kuərs
koorsang	kˈuərsaŋ
koorsig	kˈuərsəχ
koos	kuəs
koosappel	kˈuəsapəl
kopbeserings	kˈɔpbəsiərəŋs
koper	kˈuəpər
koperdraad	kˈuəpərdrɑːt
kopers	kˈuəpərs
kopersel	kˈuəpərsɛl
koperstukkies	kˈuəpərstœkis
kophou	kɔpɦˈœu
kopieë	kupˈiə
kopië	kupˈiə
kopkrap	kˈɔpkrap
koppe	kˈɔpə
koppel	kˈɔpəl
koppeling	kˈɔpələŋ
koppelings	kˈɔpələŋs
koppeltekens	kˈɔpəltiəkəns
koppelvlak	kˈɔpəlflak
koppie	kˈɔpi
koppies	kˈɔpis
koppige	kˈɔpəχə
kopseer	kˈɔpsiər
kopskerm	kˈɔpskɛrəm
kopskoot	kˈɔpskuət
kopstukke	kˈɔpstœkə
kopstutte	kˈɔpstœtə
kopvel	kˈɔpfɛl
kopwond	kˈɔpvɔnt
koraal	kurˈɑːl
koraalriwwe	kurˈɑːlrəvə
korale	kurˈɑːlə
kore	kˈuərə
koreaanse	kuriˈɑːnsə
korf	kɔrf
koring	kˈuərəŋ
korinte	kuərˈəntə
kornea	kˈɔrnia
korporaal	kɔrpɔrˈɑːl
korporasie	kɔrpɔrˈɑːsi
korporasies	kɔrpɔrˈɑːsis
korporatiewe	kɔrpɔratˈivə
korps	kɔrps
korpus	kˈɔrpœs
korrek	kɔrˈɛk
korrekte	kɔrˈɛktə
korrektheid	kɔrˈɛktɦəit
korrektief	kɔrɛktˈif
korrektiewe	kɔrɛktˈivə
korrel	kˈɔrəl
korrelasie	kɔrəlˈɑːsi
korrels	kˈɔrəls
korrespondensie	kɔrɛspɔndˈɛnsi
korrespondent	kɔrɛspɔndˈɛnt
korrespondente	kɔrɛspɔndˈɛntə
korridor	kˈɔridɔr
korrigeer	kɔrəχˈiər
korrosie	kɔrˈuəsi
korrupsie	kurˈœpsi
korrupte	kɔrˈœptə
kortaf	kˈɔrtaf
kortasem	kˈɔrtɑːsəm
korte	kˈɔrtə
korter	kˈɔrtər
kortgeknip	kˈɔrtχəknəp
korting	kˈɔrtəŋ
kortisol	kˈɔrtisɔl
kortisoon	kɔrtisˈuən
kortkom	kˈɔrtkɔm
kortkop	kˈɔrtkɔp
kortlys	kˈɔrtləis
kortom	kˈɔrtɔm
kortsigtige	kɔrtsˈəχtəχə
kortsluiting	kˈɔrtslœytəŋ
kortspeler	kˈɔrtspiələr
kortste	kˈɔrtstə
kortstondig	kɔrtstˈɔndəχ
kortstondige	kɔrtstˈɔndəχə
korttermyn	kˈɔrttɛrməin
korttermyngeheue	kˈɔrttɛrməinχəɦøːə
korttermynversekering	kˈɔrttɛrməinfərsiəkərəŋ
kortverhaalbundel	kˈɔrtfərɦɑːlbœndəl
kortverhale	kˈɔrtfərɦɑːlə
kortweg	kˈɔrtvɛχ
kortwiek	kˈɔrtvik
korvette	kɔrvˈɛtə
korwe	kˈɔrvə
kosbaar	kˈɔsbɑːr
kosbaarste	kˈɔsbɑːrstə
kosbare	kˈɔsbɑːrə
koshuis	kˈɔsɦœys
koshuise	kˈɔsɦœysə
koshuisgebou	kˈɔsɦœysχəbœu
koshuiskantoor	kˈɔsɦœyskantuər
kosmaak	kˈɔsmɑːk
kosmaakprosesse	kˈɔsmɑːkprusɛsə
kosmiese	kˈɔsmisə
kosmologie	kɔsmuluχˈi
kosmos	kˈɔsmɔs
kospotte	kˈɔspɔtə
kosprys	kˈɔsprəis
kospryse	kˈɔsprəisə
kosskrywer	kˈɔsskrəivər
kossoorte	kˈɔssuərtə
koste	kˈɔstə
kostebeheer	kˈɔstəbəɦiər
kostebesparing	kˈɔstəbəspɑːrəŋ
kostedoeltreffend	kˈɔstədultrɛfənt
kostedoeltreffende	kˈɔstədultrɛfəndə
kostelik	kˈɔstələk
kostelike	kˈɔstələkə
kosteloos	kˈɔstəluəs
koster	kˈɔstər
kostes	kˈɔstəs
kostestelsel	kˈɔstəstɛlsəl
kosyn	kusˈəin
kothuis	kˈɔtɦœys
kou	kœu
koue	kˈœuə
kouend	kˈœuənt
kouer	kˈœuər
kougom	kˈœuχɔm
koukus	kˈœukœs
koukusvergadering	kˈœukœsfərχɑːdərəŋ
kousale	kœusˈɑːlə
kousaliteit	kˈœusalitəit
kouse	kˈœusə
koverte	kuvˈɛrtə
koëffisiënt	kuifiʃiˈɛnt
koöperasies	kuuəpərˈɑːsis
koöperatief	kuuəpəratˈif
koöpteer	kuɔptˈiər
koördinasie	kuɔrdinˈɑːsi
koördinate	kuɔrdinˈɑːtə
koördineer	kuɔrdinˈiər
koördinering	kuɔrdinˈiərəŋ
kraag	krɑːχ
kraaie	krˈɑːiə
kraaifontein	krˈɑːifɔntəin
kraak	krɑːk
kraakbeen	krˈɑːkbiən
kraakvars	krˈɑːkfars
kraampie	krˈɑːmpi
kraampies	krˈɑːmpis
kraamsaal	krˈɑːmsɑːl
kraan	krɑːn
kraans	krɑːns
kraanse	krˈɑːnsə
kraantjie	krˈɑːiŋki
kraanwater	krˈɑːnvɑːtər
kragbote	krˈaχbuətə
kragbron	krˈaχbrɔn
kragdadig	kraχdˈɑːdəχ
kragdadige	kraχdˈɑːdəχə
kragdraad	krˈaχdrɑːt
kragdrade	krˈaχdrɑːdə
kraglewering	krˈaχliəvərəŋ
kragman	krˈaχman
kragmeting	krˈaχmiətəŋ
kragmetings	krˈaχmiətəŋs
kragonderbrekings	krˈaχɔndərbriəkəŋs
kragopwekker	krˈaχɔpvɛkər
kragopwekkers	krˈaχɔpvɛkərs
kragopwekking	krˈaχɔpvɛkəŋ
kragprop	krˈaχprɔp
kragsentrales	krˈaχsɛntrɑːləs
kragsinspanning	krˈaχsənspanəŋ
kragstasies	krˈaχstɑːsis
kragte	krˈaχtə
kragtens	krˈaχtəns
kragtig	krˈaχtəχ
kragtige	krˈaχtəχə
kragtiger	krˈaχtəχər
kragtigste	krˈaχtəχstə
kragtoer	krˈaχtur
kragtoevoer	krˈaχtufur
krake	krˈɑːkə
krale	krˈɑːlə
krambergreeks	krˈambɛrχriəks
kramer	krˈɑːmər
krampagtig	krampˈaχtəχ
krampe	krˈampə
krane	krˈɑːnə
kranig	krˈɑːnəχ
kranige	krˈɑːnəχə
kranksinnig	kraŋksˈənəχ
kranksinnige	kraŋksˈənəχə
krans	krɑːns
kranse	krˈansə
krap	krap
krappies	krˈapis
kras	kras
krat	krat
krater	krˈɑːtər
kraters	krˈɑːtərs
kratte	krˈatə
kreatief	kriatˈif
kreatiewe	kriatˈivə
kreatiwiteit	kriativitˈəit
krediet	krədˈit
krediete	krədˈitə
kredietgeriewe	krədˈitχərivə
kredietkaart	krədˈitkɑːrt
kredietkaarte	krədˈitkɑːrtə
kredietkant	krədˈitkant
kredietnotas	krədˈitnuətas
kredietverkope	krədˈitfərkuəpə
kredietverlening	krədˈitfərliənəŋ
kredietwaardigheid	krəditvˈɑːrdəχɦəit
kredietwet	krədˈitvɛt
krediteer	krɛditˈiər
krediteur	krɛditˈøːr
krediteure	krɛditˈøːrə
krediteurekontrole	krɛditˈøːrəkɔntruələ
kreef	kriəf
kressent	krˈɛsənt
kretense	krətˈɛnsə
kreun	krøːn
kreungeluidjies	krˈøːnχəlœykis
kreupeles	krˈøːpələs
krewe	krˈiəvə
krieke	krˈikə
krieket	krˈikət
krieketbase	krˈikətbɑːsə
krieketkaptein	krˈikətkaptəin
