㔂甘蔗	lân-kam-tsià
一港風	tsi̍t-káng-hong
一溜仔囝	tsi̍t-liu-á-kiánn
一炮而紅	it-phàu-jî-hông
一炷香	tsi̍t-tsù-hiunn
一無所知	it-bû-sóo-ti
一無所長	it-bû-sóo-tiông
一爿	tsi̍t-pîng
一爿一國	tsi̍t-pîng-tsi̍t-kok
一片帆	tsi̍t-phìnn-phâng
一牛車	tsi̍t-gû-tshia
一生	it-sing
一畦田	tsi̍t-hê-tshân
一番獎	it-huan-tsióng
一疕仔	tsi̍t-phí-á
一痎	it-hai
一百	tsi̍t-pà
一百空七年	tsi̍t-pah-khòng-tshit-nî
一百箍	tsi̍t-pah-khoo
一百蔭九赤	tsi̍t-pe̍h-ìm-káu-tshiah
一盡	it-tsīn
一目	it-bo̍k
一目了然	it-bo̍k-liáu-jiân
一目仔	tsi̍t-ba̍k-á
一目瞬	tsi̍t-ba̍k-sut
一目𥍉	tsi̍t-ba̍k-nih
一目𥍉仔	tsi̍t-ba̍k-nih-á
一目𥍉仔久	tsi̍t-ba̍k-nih-á-kú
一直	it-ti̍t
一直到	it-ti̍t-kàu
一直咧	it-ti̍t-leh
一眉仔	tsi̍t-bâi-á
一眼分明	it-gán-hun-bîng
一睏	tsi̍t-khùn
一睏仔	tsi̍t-khùn-á
一睏懶	tsi̍t-khùn-lán
一睏手	tsi̍t-khùn-tshiú
一知半解	it-ti-puànn-kái
一禮拜	tsi̍t-lé-pài
一空一隙	tsi̍t-khang-tsi̍t-khiah
一空掠兩尾	tsi̍t-khang-lia̍h-nn̄g-bué
一空掠雙隻	tsi̍t-khang-lia̍h-siang-tsiah
一窟死窟仔水	tsi̍t-khut-sí-khut-á-tsuí
一筆勾銷	it-pit-kau-siau
一筆成	it-pit-sîng
一筆錢	tsi̍t-pit-tsînn
一等	it-tíng
一等一	it-tíng-it
一等好	it-tíng-hó
一箍	tsi̍t-khoo
一箍人	tsi̍t-khoo-lâng
一箍圍	tsi̍t-khoo-uî
一箍拄天	tsi̍t-khoo-tú-thinn
一箍若天柱	tsi̍t-khoo-nā-thinn-thiāu
一節課	tsi̍t-tsiat-khò
一篷人	tsi̍t-phâng-lâng
一簇仔	tsi̍t-tshok-á
一籌莫展	it-tiû-bo̍k-tián
一籠	tsi̍t-láng
一粒一	it-lia̍p-it
一粒珠	tsi̍t-lia̍p-tsu
一紀年	tsi̍t-khí-nî
一紙	tsi̍t-tsí
一統	it-thóng
一絲一厘都無差	tsi̍t-si-tsi̍t-lî-to-bô-tsha
一絲不掛	it-si-put-kuà
一絲仔	tsi̍t-si-á
一絲仔就袂走閃得	tsi̍t-si-á-tō-bē-tsáu-siám-tit
一絲絲仔	tsi̍t-si-si-á
一網打盡	it-bóng-tánn-tsīn
一緊	it-kín
一罐	tsi̍t-kuàn
一耙食到冬尾	tsi̍t-pê-tsia̍h-kàu-tang-bué
一耦鱟	tsi̍t-ngauh-hāu
一腳	tsi̍t-kha
一腹火	tsi̍t-pak-hué
一臂之力	it-pì-tsi-li̍k
一致	it-tì
一致性	it-tì-sìng
一舉	it-kí
一舉兩得	it-kí-lióng-tit
一般	it-puann
一般性	it-puann-sìng
一色	it-sik
一莢弓蕉	tsi̍t-ngeh-king-tsio
一落千丈	it-lo̍h-tshian-tn̄g
一葉草	it-hio̍h-tsháu
一葩火	tsi̍t-pha-hué
一蕊	tsi̍t-luí
一行	tsi̍t-kiânn
一表人才	it-piáu-jîn-tsâi
一視同仁	it-sī-tông-jîn
一覽表	it-lám-pió
一角	tsi̍t-kak
一角剝	tsi̍t-kak-pak
一觸即發	it-tshiok-tsik-huat
一言不合	it-giân-put-ha̍p
一言堂	it-giân-tông
一語	it-gí
一諾千金	it-lo̍k-tshian-kim
一貫	it-kuàn
一跤一手	tsi̍t-kha-tsi̍t-tshiú
一跤一跡	tsi̍t-kha-tsi̍t-jiah
一路	tsi̍t-lōo
一路上	tsi̍t-lōo-siāng
一路取	tsi̍t-lōo-tshú
一路順風	tsi̍t-lōo-sūn-hong
一蹶不振	it-kuat-put-tsín
一身	tsi̍t-sin
一身頭尾	tsi̍t-sin-thâu-bué
一軀	tsi̍t-su
一輒久	tsi̍t-tiap-kú
一輒仔久	tsi̍t-tiap-á-kú
一輦	tsi̍t-liàn
一迣	tsi̍t-tsuā
一透	tsi̍t-thàu
一透早	tsi̍t-thàu-tsá
一逝	tsi̍t-tsuā
一遍	tsi̍t-piàn
一過半過	tsi̍t-kuè-puànn-kuè
一邊	tsi̍t-pinn
一酸化炭素	it-sng-huà-thuànn-sòo
一醒	tsi̍t-tshénn
一錯再錯	it-tshò-tsài-tshò
一開始	tsi̍t-khai-sí
一闖	tsi̍t-tshuàng
一關過了又一關	tsit-kuan-kuè-liáu-iū-tsit-kuan
一陣	tsi̍t-tsūn
一陣人	tsi̍t-tīn-lâng
一陣仔	tsi̍t-tsūn-á
一陣風	tsi̍t-tsūn-hong
一隻	tsi̍t-tsiah
一隻囝	tsi̍t-tsiah-kiánn
一隻牛剝雙領皮	tsi̍t-tsiah-gû-pak-siang-niá-phuê
一隻蝨母謗甲水牛大	tsi̍t-tsiah-sat-bó-pòng-kah-tsuí-gû-tuā
一雷天下響	it-luî-thian-hā-hiáng
一霎仔	tsi̍t-tia̍p-á
一霎仔久	tsi̍t-tiap-á-kú
一面	tsi̍t-bīn
一面倒	tsi̍t-bīn-tó
一面抹壁雙面光	tsi̍t-bīn-buah-piah-siang-bīn-kng
一頂眠床	tsi̍t-tíng-bîn-tshn̂g
一領	tsi̍t-niá
一頭霧水	tsi̍t-thâu-bū-tsuí
一顯	tsi̍t-hiánn
一餌釣雙魚	tsi̍t-jī-tiò-siang-hî
一首歌	tsi̍t-siú-kua
一馬掛雙鞍	it-má-kuà-siang-uann
