# Serbo-Croatian accent TRANSITIONS — the OOV tier. Key: <ending>|<stem tone>. Value:
# <nucleus shift><TAB><resulting tone><TAB><tone agreement, 0-100><TAB><support>.
# Applied to a stem whose accent is known, NOT used to predict an accent from nothing.
# The shift is always taken (its alternative, first-nucleus, scores 66.8% on these words);
# the tone is withheld below the engine's agreement threshold, as a homograph's is.
# Learned from stress.tsv itself. See tools/serbian/build_sh_accent_transitions.py.
iče|SF	0	SF	100	1
iš|LF	0	SF	100	1
iš|SF	0	SR	100	1
iš|SR	1	LF	100	1
iša|--	0	SR	100	1
iža|LF	0	SR	100	1
j|--	0	SF	40	5
j|LF	0	LF	89	9
j|LR	0	SR	100	2
j|SF	0	SF	50	8
j|SR	0	SR	95	20
ja|--	0	SR	67	3
ja|LF	0	LR	40	10
ja|LR	0	SR	57	7
ja|SF	0	SF	50	18
ja|SR	1	SR	80	10
jac|--	2	LR	100	1
jac|LF	0	LR	100	1
jak|--	0	SF	67	3
jak|LF	0	SF	50	2
jak|LR	0	LR	100	1
jak|SF	1	SR	83	12
jak|SR	1	SR	100	5
jam|LF	0	LR	100	1
jam|SF	0	SR	100	2
jan|LF	0	SR	75	4
jan|SF	0	LR	50	2
jas|LF	0	SF	100	1
jav|LF	0	SF	100	1
jač|LR	1	SR	100	1
jač|SF	0	SR	100	1
jca|--	2	LR	100	1
jce|--	2	LR	100	1
jci|LF	0	LR	50	4
jci|SF	0	LR	100	1
jcu|--	2	LR	100	1
jda|LF	0	SR	100	1
je|--	0	SF	33	3
je|LF	0	LR	48	25
je|LR	0	SR	70	10
je|SF	0	SF	42	45
je|SR	0	LR	65	48
jed|LF	0	SF	100	1
jeg|SF	1	LF	100	1
jeh|LF	0	SF	100	1
jek|--	0	SF	100	1
jek|SF	0	LR	100	1
jel|LF	0	SR	100	1
jem|LF	0	LR	50	2
jem|SF	0	SF	50	2
jen|--	0	SF	100	1
jen|LR	0	SR	100	1
jer|--	0	SR	100	1
jer|LF	0	SR	100	1
jer|SF	0	SF	100	1
jer|SR	-1	SF	100	2
jet|SF	0	LR	50	2
jev|SF	0	LR	100	1
jf|SF	0	SF	100	1
jga|SF	0	LF	100	1
jge|SF	0	LF	100	1
ji|--	0	SR	67	6
ji|LF	0	SR	72	18
ji|LR	1	SR	100	3
ji|SF	0	SR	73	52
ji|SR	1	SR	95	20
jim|SF	1	LR	100	1
jin|LF	0	SF	100	1
jin|SF	0	SF	100	1
jiv|LF	1	LR	50	2
jiv|LR	1	SR	100	1
jiv|SF	0	SR	100	2
jić|LF	0	LR	100	1
jka|LF	0	SR	50	4
jka|SF	1	SR	50	2
jka|SR	0	LR	50	2
jke|LF	0	--	100	1
jke|SF	0	LF	100	1
jki|LF	0	LF	100	1
jko|LF	0	SF	100	1
jku|LF	0	SR	100	1
jn|LR	0	SR	100	1
jna|--	0	SR	100	1
jni|--	0	SR	100	1
jni|LF	0	LF	100	1
jno|LF	0	LF	100	1
jo|LF	0	SF	100	1
jo|SF	0	LR	67	3
jo|SR	0	SR	100	1
joj|SF	0	SF	100	1
joj|SR	1	SR	100	1
jom|SF	0	SF	100	1
jom|SR	1	SR	100	1
jon|LF	0	SR	100	1
ju|--	0	SR	60	10
ju|LF	0	LF	50	18
ju|LR	0	LR	100	2
ju|SF	0	SF	56	9
ju|SR	2	SR	75	4
jun|SF	1	SR	100	1
jur|LF	0	SR	100	1
jz|LR	0	SR	100	1
jze|LF	0	LR	100	1
jzl|--	1	SR	100	1
jzl|SR	1	SR	100	1
jče|--	0	SF	100	1
jče|LF	0	LF	100	1
k|--	0	SR	56	25
k|LF	0	LF	49	45
k|LR	0	LR	65	37
k|SF	0	SF	51	78
k|SR	0	SR	95	40
ka|--	0	SR	33	15
ka|LF	0	LR	40	43
ka|LR	0	LR	75	16
ka|SF	0	SF	53	73
ka|SR	0	SR	96	126
kad|LF	0	SF	100	1
kad|SF	0	SR	100	3
kal|--	0	SR	100	2
kam|LF	0	LR	100	1
kar|SF	0	SR	100	1
kat|SF	1	SR	100	2
kav|LF	0	SF	33	3
kav|LR	0	SF	100	1
kav|SF	0	SF	100	1
kav|SR	1	SR	100	2
kaz|SF	0	SF	67	3
ke|LF	0	LR	50	4
ke|LR	0	LR	100	1
ke|SF	0	LR	40	5
ke|SR	0	SR	78	9
ket|LF	0	SR	100	1
ki|--	0	SR	33	3
ki|LF	0	LF	52	21
ki|LR	0	LR	100	3
ki|SF	0	SF	58	36
ki|SR	0	SR	100	80
kid|SF	0	LR	100	1
kl|SF	1	SR	100	1
kle|LR	0	SF	100	1
ko|--	0	SF	25	4
ko|LF	0	LR	46	13
ko|LR	0	SF	100	2
ko|SF	0	LR	46	13
ko|SR	0	SR	100	7
kob|SF	0	SF	100	1
koj|SF	0	SF	100	1
kom|LF	0	LR	100	2
kom|SF	1	LR	50	4
kor|SF	1	LR	50	2
kos|SF	0	SF	100	1
kot|LF	0	SR	100	1
kr|SR	1	SR	100	1
ks|LR	0	SR	100	2
ks|SR	0	SR	100	1
kt|SF	0	SR	50	2
ku|LF	0	LR	40	5
ku|SF	0	LF	50	4
ku|SR	0	SR	100	5
kud|SF	0	SF	100	1
kun|LF	0	SR	100	1
kut|SF	0	SF	100	2
kuš|--	0	SF	100	1
kvi|LR	0	SF	100	1
kvi|SF	0	SF	100	1
kvi|SR	1	SR	100	2
l|--	0	SR	60	5
l|LF	0	SR	60	5
l|LR	0	SR	75	8
l|SF	0	SR	75	4
l|SR	1	SR	100	5
la|--	0	SF	50	6
la|LF	0	LR	22	9
la|LR	0	LR	75	4
la|SF	0	SF	50	8
la|SR	2	LR	100	1
lac|--	0	SR	67	3
lac|LF	0	SR	100	3
lac|LR	0	SR	100	1
lac|SF	0	SR	100	6
lac|SR	0	SF	100	1
lah|LF	0	SR	100	1
lah|SF	0	SF	100	1
lam|SF	0	SR	100	1
lan|--	0	SR	75	4
lan|LF	0	SF	60	5
lan|LR	-2	SF	88	8
lan|SF	0	SF	67	3
lan|SR	0	SF	78	9
lar|LF	0	SF	100	1
lar|LR	1	SR	100	1
lar|SF	0	SF	100	1
las|LF	0	SF	100	1
lat|--	1	SR	100	1
lat|LF	0	SF	100	1
lav|LF	0	SR	50	2
lav|SR	1	SR	100	1
laz|SF	0	LR	100	3
le|LF	0	SR	100	1
le|SF	0	LR	50	2
len|SF	0	SF	50	4
lep|SF	0	SR	100	1
ler|LF	0	SF	100	1
ler|SF	0	SR	100	1
lez|LF	0	SF	100	1
li|--	1	LR	100	1
li|LF	0	LF	83	6
li|LR	1	SR	100	1
li|SF	0	SF	60	5
lik|SF	1	SR	100	1
lik|SR	1	SR	100	2
lin|LR	1	SR	100	1
lin|SF	1	SR	100	1
lit|LF	1	SR	100	1
liv|SF	0	LR	100	1
lić|--	0	SR	100	1
lić|LF	0	SR	100	1
liš|SF	0	SF	100	1
lj|--	0	SF	40	5
lj|LR	-1	SR	100	1
lj|SF	0	SR	50	2
lj|SR	0	SR	100	1
lja|--	0	SR	50	4
lja|LF	0	SF	60	5
lja|LR	0	SF	100	2
lja|SF	0	--	33	9
lja|SR	0	SR	67	3
lje|--	0	SF	100	1
lje|LF	0	SR	50	2
lje|LR	0	SF	50	2
lje|SF	0	SF	36	11
lji|--	0	SR	50	2
lji|LF	0	SF	100	11
lji|SF	0	SF	60	5
lji|SR	0	SF	100	1
lju|LF	0	LF	83	6
lju|SF	0	LF	100	2
lju|SR	0	SR	100	2
lni|--	0	SR	80	5
