# German vowel length corrections — word<TAB>ord+L|S,… (nucleus ordinal + long/short). From kaikki.
adriatisch	1S
adriatische	1S
adriatischer	1S
adriatisches	1S
adventismus	3S
adventkalender	2S
adventskalender	2S
adventskalendern	2S
adventskalenders	2S
advokat	1S
adäquat	0S,1S
ae	1L
aerobier	0S,1S,3S
aerobiern	0S,1S,3S
aerobiologie	0S,1S,2S,3S,4S,5S
aerodynamik	0S,1S,2S,3S,5S
aerodynamisch	0S,1S,2S,3S
aerophobie	0S,1S,3S
aeroplan	0S,1S
aerosolbombe	0S,1S,2S,3L
affinität	1S,2S
affirmativ	2S
affrikate	1S
afrika	1S,2S
afrikaans	1S
afrikaner	1S
afrodeutsche	0L
afrodeutscher	0L
agape	0S
agathe	0S,1L
agenda	0S,2S
agende	0S
agentin	0S,2S
agentinnen	0S
agentur	0S
agglutinierend	1S,2S
agglutinierende	1S,2S
aggressivität	2S,3S
agil	0S
agile	0S
agilität	0S,1S,2S
agioteur	0S,1S,2S
agitieren	0S,1S
agnes	0L
agnostiker	2S
agnostikerin	2S,3S,4S
agon	0S
agonal	0S,1S
agoraphobie	0S,1S,3S
agrammatismus	2S,4S
agrarbiologie	1L,2S,3S,4S
agrargemeinschaft	1L,2S
agrargesellschaft	1L,2S
agrarpolitik	1L,2S,3S
agrarökologie	2S,3S,4S
agrobiologie	0L,1S,2S,3S,4S
aha	0S,1S
ahistorisch	0S
ahlener	1S
ahlenerin	1S,2S,3S
ahlenerinnen	1S,2S
ahleners	1S
ahmadinedschad	0S,1S,2S
ahmed	0S
ahnin	1S
ahrdorferin	2S,3S
ahrdorferinnen	2S
ahrensburgerin	3S,4S
ahrensburgerinnen	3S
ahrweilerin	2S,3S
aiblingerin	2S,3S
aiblingerinnen	2S
aichacherin	2S,3S
aichacherinnen	2S
aimbot	1S
aioli	2S
airbag	1S
ajax	1S
akademie	0S,1S,2S
akademieausgabe	0S,1S,2S
akademiker	0S,1S,3S
akarnanien	0S,3S
akarnaniens	0S,3S
akelei	0S,1S
akklamieren	1S
akklimatisieren	1S,2S,3S
akkordeon	2S,3S
akkordeonspieler	2S,3S
akkordeonspielerin	2S,3S,5S,6S
akkreditierung	1S,2S
akku	1S
akkumulieren	1S,2S
akkusativ	1S,2S
akkusativobjekt	1S,2S
akolyth	0S,1S,2L
akquirieren	1S
akribie	1S
akrobat	1S
akrolekt	1S
akrophobie	2S
akrostichon	3S
aktie	1S
aktienanlagefonds	1S,4S
aktienanteil	1S
aktienbeteiligung	1S,2S,4S
aktienfonds	1S
aktienhändlerin	1S,3S,4S
aktienindex	1S
aktienkapital	1S,2S,3S
aktienmehrheit	1S
aktiensplit	1S,2S
aktienstimmrecht	1S
aktienvermögen	1S
aktienzusammenlegung	1S,2S
aktivator	1S
aktivieren	1S
aktivierungsgutschein	1S,4L
aktivist	1S
aktivistin	1S,3S
aktivistinnen	1S
aktivität	1S,2S
aktivrente	1L
aktivs	1L
aktivurlaub	2L
aktualisieren	1S,2S,3S
aktualisierung	1S,2S,3S
aktualität	1S,2S,3S
akut	0S
akzelerieren	1S,2S
akzentuieren	2S
akzentuierung	2S
aküfi	0S,1S,2S
alabaster	0S,1S
alane	0S
alantbeere	0S
alarm	0S
alarmanlage	0S
alarmanlagen	0S
alarmglocke	0S
alarmglöckchen	0S
alarmieren	0S
alarmismus	0S,3S
alaska	0S,2S
alaun	0S
alaunhaltig	0S
alaunstein	0S
albanesisch	1S
albanien	2S
albanologe	2S
albino	2S
albulapass	2S
albulapasses	2S
albumin	1S
alchemie	1S
alchemist	1S
alchimie	1S
aldebaran	1S,2S
aldehyd	1S
alemanne	0S,1S
alemannisch	0S,1S
aleppiner	0S
aleppinerin	0S,3S,4S
aleppo	0S,2S
alert	0S
alethonym	0S,2S
alex	0S
alexander	0S,1S
alexandra	0S,1S,3S
alexandria	0S,1S,3S,4S
alexandrinerin	0S,1S,4S,5S
alexie	0S,1S
alexin	0S,1S
alexine	0S,1S
alexins	0S,1S,2L
alexithymie	0S,1S,3S
alfalfa	2S
alfanzerei	2S
alfred	1L
algerien	2S
algologie	1S,2S
algonkin	2S
algorithmen	1S
algorithmisch	1S
algorithmus	1S,3S
ali	1S
alibi	1S,2S
alice	0S
alimente	0S,1S
alimentieren	0S,1S
alimentär	0S,1S
alina	0S,2S
alinea	0S,1S,2S,3S
aliquant	0S,1S
aliquot	0S,1S
aliquotieren	0S,1S,2S
alizarin	0S,1S,2S
alkanal	1S
alkanals	1S,2L
alkanol	1S
alken	1L
alki	1S
alkohol	1S
alkoholexzess	1S
alkoholexzesse	1S
alkoholexzesses	1S
alkoholexzeß	1S
alkoholfrei	1S
alkoholhaltig	1S
alkoholkonsum	1S
alkoholkrank	1S
alkoholkranke	1S
alkoholsucht	1S,3S
alkoholtest	1S,2S
alkylgruppe	1L
allah	1S
alldem	1L
alleinherrscherin	3S,4S
alleinherrscherinnen	3S
allererste	2L
allergewöhnlichst	2S
allergiker	2S
allerheiligen	3S
allerorts	1S
allgemach	1S,2L
allgemein	1S
allgemeinwohl	1S
allgewaltig	1S
allgäuerin	2S,3S
alligator	1S
alligatoren	1S,2S
alligatorschildkröte	1S,3L
alliieren	1S
alliierter	1S
allmächtiger	2S
allopathie	1S
allotria	1L,2S,3S
allozieren	1S
allstedterin	2S,3S
allstedterinnen	2S
alltagsrassismus	1L,4S
alltagstrott	1L
alltäglich	1L
allüberall	2S
almanach	1S
aloe	1S
alpaka	1S,2S
alpha	1S
alphabet	1S,2L
alphabetisch	1S
alphabetisieren	1S,2S,3S
alphastrahlung	1S
alphastrahlungen	1S
alphazerfall	1S
alsdorferin	2S,3S
alsdorferinnen	2S
altans	1L
altarweihe	1L
altbewährt	1S
altdorferin	2S,3S
altdorferinnen	2S
alterität	1S,2S
alternative	2S
alternativhypothese	2S,3L,4S
alternativlos	2S,3L
altersbedingt	2S
alterspräsident	2S,3S
alterspräsidentin	2S,3S,5S
alterspyramide	2S,3S
alterspyramiden	2S,3S
altertums	2L
altertumskundler	2L
altertumskundlich	2L
altertumskundlicher	2L
altertümelei	2S,3S
altertümler	2L
altertümlich	2L
alterungsprozess	1S,3S
altheimerin	2S,3S
altheimerinnen	2S
althergebracht	1L
althochdeutsch	1L
altimeter	1S
altjapanisch	1S
altjapanische	1S
altjapanischs	1S
altleiningerin	3S,4S
altleiningerinnen	3S
altpapier	1S
altposaune	1S
altprovenzalisch	1S
altrosa	2S
altsprachlich	1L
alttürkisch	1L
altvorderer	2S
altwarenhändlerin	4S,5S
altwarenhändlerinnen	4S
altweltpapagei	2S,3S
altweltpapageie	2S,3S
altweltpapageien	2S,3S
altweltpapageis	2S,3S
altöttingerin	3S,4S
altöttingerinnen	3S
alu	0S,1S
alublech	0S
alufelge	0S,1S
aluminieren	0S,1S,2S
alveolar	1S,2S
alveolare	1S,2S
amalie	0S,2S
amarant	0S,1S
amateur	0S,1S
amateurboxer	0S,1S,3S
amateurfunk	0S,1S
amateurhaft	0S,1S
amateurin	0S,1S,3S
amateurkünstler	0S,1S
amateurkünstlerin	0S,1S,4S,5S
amateurkünstlerinnen	0S,1S,4S
amateurkünstlers	0S,1S
amateurmusiker	0S,1S,4S
amateurmusikerin	0S,1S,4S,5S,6S
amateurmusikerinnen	0S,1S,4S,5S
amazonas	0S,1S,3S
amazone	0S,1S
amazonenpapagei	0S,1S,4S,5S
amazonenpapageie	0S,1S,4S,5S
amazonenpapageien	0S,1S,4S,5S
amazonenpapageis	0S,1S,4S,5S
ambergerin	2S,3S
ambergerinnen	2S
ambiente	1S
ambig	1L
ambiguität	1S,2S,3S
ambivalent	1S,2S
ambivalenz	1S,2S
amblyopie	1S,2S
ambo	1S
ambulant	1S
ambulanz	1S
ameisenwürger	0S
amelie	0S
amerika	0S,2S,3S
amerikafeindlichkeit	0S,2S,3S
amerikaner	0S,1S,2S
amerikanerin	0S,1S,2S,4S,5S
amerikanisch	0S,1S,2S
amerikanisieren	0S,2S,3S,4S
amerikanismus	0S,1S,2S,3S,5S
amerikanist	0S,1S,2S,3S
amerikanistik	0S,1S,2S,3S,5S
amethyst	0S
amethysttäubling	0S
ami	0S,1S
amid	0S
amigo	0S,2S
amiland	0S,1S
amin	0S
aminosäure	0S,2S
ammenmärchen	2L
ammensprache	2L
ammon	1S
ammonit	1S
amnion	1S,2S
amok	1S
amoklauf	1S
amoklaufen	1S
amoralisch	0S,1S
amorette	0S,1S
amortisieren	0S,2S
ampelograph	1S,3L
ampelographie	1S
amphetamin	1S,2S
amphibie	2S
amphiktyonie	2S,3S
amphiprostylos	3S,4S
amphitheater	1L,2S
amplitude	1S
amrum	1S
amsterdam	2S
amsterdamer	2S
amsterdamerin	2S,3S,4S
amtsbekannt	1S
amtskollegin	3S
amtsmißbrauch	1S
amtssprache	1L
amulett	0S,1S
amun	0S
amylacetat	0S,2S,3S
amylacetats	0S,2S,3S,4L
amylalkohol	0S,3S
amylazetat	0S,2S,3S
amylazetats	0S,2S,3S,4L
amylen	0S,1S,2L
amylens	0S,1S,2L
amyloid	0S,1S,2S
amöbe	0S
amüsieren	0S,1S
anabol	1S
anabolikum	1S,3S,4S
anadiplose	1S
anaerob	1S,2S
anakoluth	1S,2S,3L
anakonda	1S,3S
anal	0S
analkette	1L
analog	1S
analogie	1S,2S
analogiebildung	1S,2S
analogon	1S,2S,3S
analoguhr	1S,3S
analphabet	2S,3L
analphabetisch	2S
analsex	1L
analverkehr	1L,3L
analyse	1S
analysieren	1S
analysis	1S,2S,3S
analytisch	1S
anamorph	1S
ananas	1S,2S
ananassaft	1S
anaptyxe	2S
anapäst	1S,2L
anapästisch	1S,2L
anathema	1L,2S,3S
anatolien	1S,3S
anatomie	1S,2S
anatomisch	1S
anbefehlen	1S
anbeginn	1S
anberaumen	1S
anbeterin	2S,3S
anbieterin	2S,3S
anbieterinnen	2S
anchorman	2S
anchovis	2S
andalusien	1S,3S
andere	1S
anderem	1S
anderen	1S
anderenfalls	1S
anderens	1S
anderer	1S
andererseits	1S
anderes	1S
anderkonto	3S
anderntags	2L
andersartig	2L
andersrum	2S
andorra	2S
andorranerin	3S,4S
andrea	2S
andreas	2S
andreasbergerin	4S,5S
andreasbergerinnen	4S
andres	1S
androgen	1S,2L
androgyn	1S
android	1S
andrologie	1S,2S
anekdötchen	2L
aneuploidie	2S,3S
aneurysma	3S
anfertigen	2S
anforderer	2S
anforderin	2S,3S
anforderinnen	2S
anforderung	2S
anfängerin	2S,3S
anführerin	2S,3S
angebaut	1S
angeberei	2S
angeberisch	2S
angebot	1S
angebotsüberhang	1S,2L
angebunden	1S
angedacht	1S
angeheftet	1S
angeheiratet	1S,3S
angehängt	1S
angehören	1S
angela	1S,2S
angeliter	1S
angenehm	1S,2L
angenehmen	1S
angepisst	1S
angepisster	1S
angerannt	1S
angerbergerin	3S,4S
angeregt	1S,2L
angermayr	3S
angesammelt	1S
angesicht	1S
angesichts	1S
angetan	1S
angewohnheit	1S
angewöhnen	1S
angezettelt	1S
angler	1S
anglikaner	1S
anglikanerin	1S,3S,4S
anglikanisch	1S
anglistik	2S
angloamerikaner	1S,2S,3S,4S
angloamerikanerin	1S,2S,3S,4S,6S,7S
angloamerikanerinnen	1S,2S,3S,4S,6S
angolaner	1S
angolanerin	1S,3S,4S
angolanisch	1S
angreiferin	2S,3S
angriffsspielerin	3S,4S
angriffsspielerinnen	3S
angstgefühl	1S
angstmacherei	2S
anhalterin	2S,3S
anhängerin	2S,3S
anika	0S,1S,2S
anilin	1S
aniliner	1S
anilingus	1S,3S
anime	0S,1S
animieren	1S
animiert	1S
animosität	1S,2S,3S
anion	0S,1S
anita	0S,2S
anja	1S
ankergebühr	2S
ankergebühren	2S
anklagebank	2S
anklam	1S
ankleidekabine	2S,3S
ankunftsbereich	2S
ankunftsbereiche	2S
ankunftsbereiches	2S
ankunftsbereichs	2S
ankurbelung	2S
ankurbelungen	2S
ankäuferin	2S,3S
ankündiger	2S
ankündigerin	2S,3S,4S
ankündigerinnen	2S,3S
ankündigung	2S
anlagebetrüger	2S
anlagebetrügerin	5S,6S
anlagedeckungsgrad	2S
anlagehorizont	3S,4S
anlageparameter	2S,3S
anlagerisiko	5S
anlagevolumen	2S,3S
anlegerin	2S,3S
anlegieren	1S
anleihefonds	2S
anleihegläubiger	4S
anleiterin	2S,3S
anlieferung	2S
anliegerin	2S,3S
anmerkungsapparat	4S
anna	1S
annaberg	1S
annaberger	1S
annabergerin	1S,3S,4S
annabergerinnen	1S,3S
annabergers	1S
annabergs	1S
annam	1S
anneliese	1S
annemarie	1S,2S
annika	1S,2S
annweilerin	2S,3S
annäherung	2S
anomalie	1S,2S
anonym	1S
anonymisieren	1S,2S,3S
anonymisierer	1S,2S,3S
anonymität	1S,2S,3S
anorak	1S,2S
anorexie	1S,2S
anreizsystem	3L
anruferin	2S,3S
anruferinnen	2S
anschleicherin	2S,3S
anschliesserin	2S,3S
anschließerin	2S,3S
anschließerinnen	2S
anschlussfinanzierung	2S
anschlussflugs	2L
anschlußflug	1S
anschubfinanzierung	1L,2S
anschwärzerin	2S,3S
ansiedlerin	2S,3S
ansiedlerinnen	2S
anspielerin	2S,3S
anspornerin	2S,3S
anspruchsberechtigt	2S
anspruchsberühmer	2S
anstachlerin	2S,3S
ansteckungsgefahr	3S
anstrebenswert	3L
ansucherin	2S,3S
ansucherinnen	2S
antagonismus	1S,2S,4S
antarktika	2S,3S
anteilsverhältnis	4S
anteilveräußerung	2S,4S
antelefonieren	1S,2S,3S
anterior	2S
anthologie	1S,2S
anthrazit	1S
anthropogen	1S,2S,3L
anthropologie	1S,2S,3S
anthropomorph	1S,2S
anthropomorphisieren	1S,2S,4S
anthropomorphisierung	1S,2S,4S
anthropomorphisierungen	1S,2S,4S
anthropomorphismus	1S,2S,5S
anthroposophie	1S,2S
antiamerikanisch	1S,2S,3S,4S
antiamerikanismus	1S,2S,3S,4S,5S,7S
antiautoritär	1S,3S,4S
antibabypille	1S,3S
antideutsch	1S
antidot	1S
antifa	1S
antifant	1S
antifaschist	1S
antifaschistisch	1S
antifeminist	1S,2S,3S
antigen	1S,2L
antiheld	1S
antikisieren	1S,2S
antikommunistisch	1S,3S
antilope	1S
antimonhaltig	1S,2L
antinomie	1S,2S
antipathie	1S
antipathisch	1S,2L
antipersonenmine	1S
antiquar	1S,2S
antiquarische	1S,2S
antiquarischem	1S,2S
antiquarischer	1S,2S
antiquarisches	1S,2S
antiquiert	1S
antiquität	1S,2S
antiquitätenmesse	1S,2S
antisemit	1S,2S
antisemitin	1S,2S,4S
antisemitisch	1S,2S
antisemitismus	1S,3S,5S
antisowjetisch	1S,3S
antitypus	1S,3S
antiviral	1S,2S
antiwitz	1S
antiziganismus	1S,2S,3S,5S
antizipieren	1S,2S
anton	1S
antonym	1S
antonyme	1S
antonymen	1S
antonymes	1S
antonymie	1S,2S
antonyms	1S,2L
antragsdelikt	1L,2S
antragsrückgabe	1L
antragsrückgaben	1L
antragsteller	1L
antragstellung	1L
antragstellungen	1L
antwerpener	2S
antwerpenerin	2S,3S,4S
anus	1S
anwenderin	2S,3S
anwendungsmöglichkeit	3L
anwohnerin	2S,3S
anwältin	2S
anzeigegerät	2S,3S
anziehsachen	1S
anzugaufschlags	3L
anzugs	1L
aorist	1S
aostatal	0S,2S
aostataler	0S,2S
aostatalerin	0S,2S,4S,5S
aostatalerinnen	0S,2S,4S
aostatalers	0S,2S
aostatals	0S,2S,3L
apache	0S
apanage	0S,1S
apart	0S
apartheid	0S
apartheit	0S
apathie	0S
apatit	0S,1S
apfelsinchen	2L
apfelsinenmarmelade	5S
apfelsinenmarmeladen	5S
aphasiker	2S
apian	1S,2S
apodiktisch	0S,1S
apograf	0S
apografe	0S
apografs	0S,2L
apograph	0S,2L
apographe	0S,2L
apographs	0S,2L
apokalypse	0S,1S,2S
apokopat	0S,1S,2S
apokope	0S,1S
apokryph	0S,2L
apokryphs	0S,2L
apolda	0S,2S
apologetik	0S,1S,2S,4S
apologetisch	0S,1S,2S
apoplexie	0S,2S
aporie	0S,1S
apostroph	0S,2L
apostrophe	0S,2L
apostrophieren	0S
apotheke	0S
apotheken	0S
apothekenpflichtig	0S
apotheker	0S
apothekerin	0S,3S,4S
apothekerpreis	0S
apotheose	0S,2S
apotheosen	0S,2S
appaloosa	1S,3S
apparat	1S
appellativ	2S
appellativum	2S,4S
appetit	1S
appetitzügler	1S,2L,3L
applizieren	1S
appretieren	1S
approbieren	1S
approbiert	1S
appropriieren	2S
appropriierend	2S
approximant	1S,2S
apricot	1S
aprikose	1S
april	1S
apropos	1S
apulien	0S,2S
apuliens	0S,2S
aquamarin	0S,1S,2S
aquamarinblau	0S,1S,2S,3L
aquaplaning	0S
aquarell	0S,1S
aquaristik	0S,1S,3S
aquavit	0S,1S
aquitanien	0S,1S,3S
ara	1S
araber	1S
araberin	1S,2S,3S
arabien	0S,2S
arabistik	0S,1S,3S
arachidonsäure	0S,2S,3L
arachnide	0S
aragonesisch	0S,1S,2S
aragonien	0S,1S,3S
aragonisch	0S,1S
arakanga	1S,3S
arakangas	1S,3S
arasittich	1S
arbeiterin	2S,3S
arbeiterinnen	2S
arbeitgeberin	3S,4S
arbeitsbereich	2S
arbeitsbericht	2S
arbeitsgemeinschaft	2S
arbeitsgericht	2S
arbeitsgerichte	2S
arbeitsgerichtes	2S
arbeitsmöglichkeit	2L
arbeitspensum	3S
arbeitssuche	2L
arbeitstätiger	3S
arbeitsunfähigkeitsbescheinigung	8S
arbeitsunfähigkeitsversicherung	8S
arbeitsverweigerung	4S
arboretum	3S
archetyp	1S
archipel	1S,2L
archiphonem	3L
architekt	1S
architektin	1S,3S
architektonisch	1S
architektur	1S
archivar	1S
archivarin	1S,3S
archivarinnen	1S
archäologie	1S,2S,3S
archäologin	1S,2S,4S
archäologisch	1S,2S
archäopteryx	1S,3S,4S
ardennenoffensive	2S
areal	0S,1S
arena	0S,2S
arenbergerin	3S,4S
arenbergerinnen	3S
argentinien	3S
argument	1S
argumentieren	1S
argusauge	1S
arid	0S
arie	1S
aristoteles	0S,3S
aristotelismus	0S,2S,3S,5S
arithmetik	0S,3S
arithmetisch	0S,2S
