# German loanword consonant corrections — word<TAB>consonant-ordinal+target,… (0-based CONSONANT index →
# target). Generated by tools/gen/build-de-consonant.mts from the kaikki German extract, ONLY for consonants
# where kaikki differs from ours along a known loan pair (v→f/f→v, s→z/z→s, x→ç/k, k→ç, ŋ→n) — the lexical
# native-vs-loanword split (November → …v…, Safe → s…) no rule captures.
dividendenrendite	1v
dividieren	1v
dividierer	1v
dividual	1v
divis	1v
division	1v
divisionsrest	1v
doge	1ʒ
dolch	2ç
dolchstoß	2ç
dolchstoßlegende	2ç
donaulachs	3k
donaumonarchie	5ç
donnerbüchse	4s
doppelbüchse	5s
doppelbüchsen	5s
drainage	3ʒ
drechseln	3s
dreikönigstag	4ç
dreikönigstage	4ç
dreikönigstages	4ç
dreikönigstags	4ç
dreissigstens	3ç
dreiundachtzigste	7ç
dreiundfünfzigfach	9ç
dreiundfünfzigfacher	9ç
dreiundfünfzigste	9ç
dreiundfünfzigstel	9ç
dreiundfünfzigstels	9ç
dreiundfünfzigstens	9ç
dreiundfünfzigster	9ç
dreiundneunzigste	8ç
dreiundsechzigste	8ç
dreiundsiebzigste	8ç
dreiundvierzigfach	8ç
dreiundvierzigfacher	8ç
dreiundvierzigste	8ç
dreiundvierzigstel	8ç
dreiundvierzigstels	8ç
dreiundvierzigstens	8ç
dreiundzwanzigstel	10ç
dreiundzwanzigstels	10ç
dreizehnköpfig	4n
dreizehnköpfiger	4n
dreißigprozentig	3ç
dreißigstel	3ç
dreißigstels	3ç
dreißigstens	3ç
dreißigstündig	3ç
dreißigstündiger	3ç
dreißigtägig	3ç
dreißigtägige	3ç
dreißigtägigem	3ç
dreißigtägigen	3ç
dreißigtägiger	3ç
dreißigtägiges	3ç
dreißigwöchig	3ç
dreißigwöchiger	3ç
drogenkonsums	3n
drogenverseucht	7ç
dunkelviolett	4v
durch	2ç
durchaus	2ç
durchgeistigt	6ç
durchleuchten	4ç
durchreisende	4z
durchseuchung	4ç
durchwachsen	4k,5s
durchweg	2ç
dussel	1z
dusselig	1z
dvorak	1v
döfer	1v
echse	1s
echsen	1s
edenkoben	1n
ehrenkirchenerin	1n
ehrenkirchens	1n
ehrfurcht	3ç
ehrlosigkeit	2s
eidechse	2s
einbremsen	4s
eingangsimpedanz	3s
eingangsimpedanzen	3s
einkapseln	3s
einleuchten	2ç
einpfennigstücks	4ç
einschulungsuntersuchung	4s
einschulungsuntersuchungen	4s
einundachtzigste	6ç
einunddreißigfach	5ç
einundfünfzigfach	8ç
einundfünfzigfacher	8ç
einundfünfzigste	8ç
einundfünfzigstel	8ç
einundfünfzigstels	8ç
einundfünfzigstens	8ç
einundfünfzigster	8ç
einundneunzigste	7ç
einundsechzigfach	7ç
einundsechzigfacher	7ç
einundsechzigste	7ç
einundsiebzigste	7ç
einundvierzigfach	7ç
einundvierzigfacher	7ç
einundvierzigste	7ç
einundvierzigstel	7ç
einundvierzigstels	7ç
einundvierzigstens	7ç
einundzwanzigfach	9ç
einundzwanzigfacher	9ç
einundzwanzigste	9ç
einundzwanzigstel	9ç
einundzwanzigstels	9ç
einundzwanzigstens	9ç
einundzwanzigwöchig	9ç
einwechseln	3s
einwechselung	3s
eisenstädters	0s
eisessig	0s
eklipse	3s
elektrolokomotive	8v
elektrolokomotiven	8v
elektronegativität	7v
elfer	1v
ellipsenförmig	2s
ellipsenförmige	2s
ellipsenförmigem	2s
ellipsenförmigen	2s
ellipsenförmiger	2s
ellipsenförmiges	2s
emporwachsen	4k,5s
emsigste	2ç
emsigstem	2ç
emsigsten	2ç
emsigster	2ç
emsigstes	2ç
endivie	2v
enervieren	2v
entenkeule	2n
entenkeulen	2n
entenküken	2n
entfeuchten	3ç
entfeuchtet	3ç
entourage	3ʒ
entouragen	3ʒ
enträtseln	4s
entschliessungsantrag	6s
entschließungsantrag	6s
entseuchen	3ç
entwachsen	3k,4s
entwicklungsumgebung	6s
entzündungsaktivität	7s,10v
enzymaktivität	6v
enzymaktivitäten	6v
epilepsie	3s
epsilon	1s
erbarmungslosigkeit	7s
erbse	2s
erbsenreis	2s
erbsensuppe	2s
erbsenzähler	2s
erdbebenkatastrophe	4n
erdäpfelsalat	5s
eredivisie	2v
eremitage	3ʒ
erhorchen	3ç
erledigt	3ç
erleuchten	2ç
erlkönigs	4ç
ermäßigt	3ç
erwachsene	2k,3s
erwachsensein	2k,3s
erwartungsangst	5s
erzkonservativ	7v
erzrivale	4v
erzrivalin	4v
eröffnungsauktion	4s
esier	0s
essigsaure	1ç
essigsaurem	1ç
essigsauren	1ç
essigsaurer	1ç
essigsaures	1ç
essigsäurechlorid	1ç
etage	1ʒ
etagere	1ʒ
etalage	2ʒ
etwaig	2ç
euch	0ç
eucharistie	0ç
evakuierung	0v
event	0v
eventualität	0v
ever	0v
evident	0v
evidenz	0v
evolution	0v
evolutionist	0v
evolutionistin	0v
evolutionistisch	0v
evolutionsbiologe	0v
evolutionsbiologen	0v
evolutionsbiologie	0v
evolutionsbiologin	0v
evolutionär	0v
evozieren	0v
exekutive	4v
exklusivinterview	8v
