# Egyptian Arabic (arz) SHORT-VOWEL / vocalization lexicon — bare word ⇥ canonical Egyptian IPA, mined from
# kaikki Egyptian Arabic (Wiktionary, CC BY-SA). REBUILT 2026-07-18 from the kaikki Egyptian IPA: correct ج→ɡ,
# ق→ʔ, plain s, majhūl o/e KEPT (the value the abjad g2p can't recover), narrow marks stripped + æ/ɪ/ʊ/ɾ/ɜ/ə/ɛ →
# broad a/i/u/r/e, gemination→length Cː, affricate ties, stress on the nucleus. The prior 554 had MSA artifacts
# (d͡ʒ for ج, spurious sˤ). Shipped refinement for FLEURS arz (eval stays rule-only, non-circular).
آسف	ˈaːsif
شقة	ʃˈaʔːa
شقلب	ʃˈaʔleb
شقلباز	ʃaʔlabˈaːz
شكرا	ʃˈokran
شكمان	ʃakmˈaːn
شلتة	ʃˈalta
شماعة	ʃamːˈaːʕa
شمال	ʃimˈaːl
شمال سينا	ʃaˌmalsˈiːna
شنطة	ʃˈantˤa
شوية	ʃowˈajːa
شيش	ʃˈiːʃ
شيك	ʃˈajːak
صبغ	sˤˈabaɣ
صرصار	sˤursˤˈaːr
صفر	sˤˈafːar
صقر	sˤˈaʔr
صوت	sˤˈoːt
ضحك	dˤˈiħik
ضحكة	dˈeħka
طازة	tˤˈaːza
طاسة	tˤˈaːsa
طبنجة	tˤabˈanɡa
طريق	tˤarˈiːʔ
طعمة	tˈeʕma
طعمية	tˤaʕmˈejːa
طفل	tˤˈifl
طماطم	tˤamˈaːtˤim
طنط	tˤˈantˤ
طوارئ	tˤawˈaːreʔ
طوبه	tˤˈuːba
طويل	tˤawˈiːl
طيب	tˤˈajːib
طير	tˤˈeːr
طيز	tˤˈiːz
عاز	ʕˈaːz
عاش	ʕˈaːʃ
عاشر	ʕˈaːʃir
عاصمة	ʕaːsˤˈima
عامل ايه	ʕˈaːmelˌeː
عاملة ايه	ʕˈamlaˌeː
عايز	ʕˈaːjiz
عبنول	ʕabnˈawːal
عدى	ʕˈadːa
عربية	ʔarabˈejːa
عرف	ʕˈirif
عرقسوس	ʕirʔesˈuːs
عزت	ʕˈizːat
عشان	ʕaʃˈaːn
عشرة	ʕˈaʃarˤa
عصفور	ʕasˤˈfʉːr
عصير	ʕasˤˈiːr
عضم	ʕˈadˤm
عطر	ʕˈetˤr
عطش	ʕˈatˤaʃ
علاقة	ʕelˈaːqa
علاولة	ʕalˈaːwla
علشان	ʕalaʃˈaːn
على	ʕˈala
على حسب	ʕalaħˈasab
عم	ʕˈamːe
عمة	ʕˈamːa
عمل	ʕˈamal
عمنول	ʕamnˈawːal
عمو	ʕˈamːu
عناب	ʕenːˈaːb
عند	ʕˈand
عنوان	ʕenwˈaːn
عيان	ʔajːˈaːn
عيش	ʕˈeːʃ
عيط	ʕˈajːatˤ
عيل	ʕˈajːel
عيلة	ʕˈeːla
عين	ʕˈeːn
غابة	ɣˈaːba
غيط	ɣˈeːtˤ
ف	fˈe
فاترينة	fatrˈiːna
فار	fˈar
فارسي	fˈarsi
فالصو	fˈalsˤo
فبراير	febrˈaːjer
فراولة	farˈawla
فرخة	fˈarxa
فرفش	fˈarfeʃ
فش	fˈaʃː
فضح	fˈadˤaħ
فلوس	filˈuːs
فم	fˈumː
فندق	fˈundoʔ
فهم	fˈihim
فوطة	fˈuːtˤa
فوق	fˈoːʔ
في	fˈi
في ستين داهية	fesitːˈiːnˌdahya
فيل	fˈil
فيلا	vˈilːa
فين	fˈeːn
قاع	qˈaːʕ
قال	ʔˈaːl
قاموس	qaːmˈuːs
قدام	ʔˈudːam
قدر	ʔˈidir
قرا	ʔˈara
قراءة	qerˈaːʔa
قراية	ʔerˈaːja
قرد	ʔˈird
قرش	ʔˈaraʃ
قرص	ʔˈarasˤ
قرفة	ʔˈirfa
قزاز	ʔezˈaːz
قزازة	ʔizˈaːz
قزق	ʔˈazaʔ
قصاد	ʔusˤˈaːd
قط	ʔˈutˤː
قطة	ʔˈutˤːa
قعد	ʔˈaʕad
قعر	ʔˈaʕr
قلب	ʔˈalb
قلش	ʔˈalaʃ
قلم	ʔˈalam
قمر	ʔˈamar
قهوة	ʔˈahwa
قوام	ʔawˈaːm
قورة	ʔˈuːra
قوطة	ʔˈuːtˤa
قوقعة	kˤawkˤˈaʕa
قومسيون	kumsˈijon
قوي	qˈawi
كابوريا	kabˈorja
كاتشب	kˈat͡ʃab
كادو	kadˈo
كان	kˈaːn
كباريه	kabarˈeː
كباية	kobːˈaːja
كبير	kibˈiːr
كتاب	kitˈaːb
كتب	kˈatab
كحل	kˈoħl
كدية	kˈudja
كرسي	kˈursi
كرف	kˈaraf
كركديه	karkadˈe
كس	kˈosː
كش	kˈiʃː
كل	kˈulː
كل سنة وانت طيب	kˈulːiˌsanawaˈʔintaˌtˤayyib
كلة	kˈulːa
كلمة	kˈelma
كلوت	kolˈot
كمترة	kumːˈitˤra
كنبة	kˈanaba
كورة	kˈoːra
كوسة	kˈoːsa
كول	kˈuːl
كومبليمو	kombilˈimoː
كويس	kuwˈajːis
كياك	kiyˈaːk
كيزر	kˈajzar
كيس	kˈiːs
كيچي	kˈiːʒi
ل	lˈi
لام	lˈaːm
لب	lˈeb
لبوة	lˈabwa
لحم	lˈaħm
لخبط	lˈaxbatˤ
لسا	lˈesːa
لف	lˈafːe
لم	lˈam
لنج	lˈanɡ
لو	lˈaw
لولا	lˈoːla
ليه	lˈeː
م	mˈiːm
ما	mˈaː
مات	mˈaːt
ماتريكس	mˈatreks
ماتش	mˈat͡ʃ
ماتور	matˈoːr
ماجستير	maʒestˈeːr
مارس	mˈaːris
ماركه	mˈarka
ماس	mˈaːs
ماشي	mˈaːʃi
مافيش	maːfˈiːʃ
ماما	mˈaːma
مايو	mˈaːjo
مايوه	majːˈoːh
مبسوط	mabsˈuːtˤ
مت	mˈatː
متانة	matˈaːna
متر	mˈitr
مترو	mˈitru
متريس	mˈatriːs
متع	mˈotaʕ
متعة	mˈotʕa
متور	matˈoːr
متين	matˈiːn
مجد	mˈaɡd
مجرم	mˈoɡrim
مجري	maɡˈari
مجرية	maɡarˈijːa
مجريين	maɡarijːˈiːn
مجيد	maɡˈiːd
محامي	muħˈaːmi
محل	mˈahalː
محن	mˈoħn
مدام	madˈaːm
مدرسة	madrˈasa
مدلية	madˈiljaː
مراة	merˈaːt
مرة	mˈarːa
مرش	mˈarʃ
مرك	mˈark
مرهق	mˈorhiq
مريض	marˈiːdˤ
مزبوط	mazˤbˈuːtˤ
مزيكا	mazːˈiːka
مستكة	mistˈika
مسرى	mˈisra
مسطرة	masˤtˤˈarˤa
مسك	mˈisik
مش	mˈiʃ
مشروع	maʃrˈuːʕ
مصر	mˈasˤr
مصري	mˈasˤrˤi
مصفوفة	masˤfˈuːfa
مطبخ	mˈatˤbax
معقول	maʕʔˈuːl
معلش	maʕlˈeʃː
معلقة	maʔlˈaʔa
مغرفة	maɣrˈafa
مغسلة	maɣsˈala
مفيش	mafˈiːʃ
مقص	maʔˈasˤ
مقلي	mˈaʔli
مكتب	mˈaktab
مكتبة	maktˈaba
مكنة	mˈakana
ملاك	malˈaːk
مليان	maljˈaːn
مملكة	mamlˈaka
مناخير	manaxˈiːr
منطقي	mantˤˈeqi
منع	mˈanaʕ
منين	minˈeːn
مهرج	muhˈarːiɡ
مهم	mˈohem
موبایل	mubˈajel
موبيليا	mobˈelja
موت	mˈoːt
موتور	mutˈoːr
موتوسيكل	mutusˈekl
موس	mˈuːs
موميا	mˈumja
موڤ	mˈoːv
موڤي	mˈoːvi
مية	mˈajːa
ميت	mˈiːt
ميتين	majːitˈiːn
ميتينج	mˈiːtinɡ
ميكروباص	mikrubˈaːsˤ
ميلاد	milˈaːd
مين	mˈiːn
ن	nˈuːn
ناحية	nˈaħja
ناك	nˈaːk
نام	nˈamː
ناو	nˈaːw
نبطشي	nabˈatˤʃi
نبطشية	nabatˤʃˈijːa
نبيت	nebˈiːt
نتاية	nitˈaːja
نجف	nˈaɡaf
نجمة	nˈiɡma
نرفز	nˈarfiz
نزل	nˈazal
نسر	nˈisr
نعم	nˈaʕam
نفع	nˈafaʕ
نوفمبر	nofˈamber
نوڤمبر	novˈamber
نيش	nˈiːʃ
ه	hˈe
هانم	hˈaːnem
هاوهاو	hˈawhaw
هتور	hatˈuːr
هدوم	hudˈuːm
هم	hˈomːa
هنا	hˈina
هناك	henˈaːk
هو	hˈowːa
هي	hˈijːa
و	w
واحد	wˈaːħid
والله	waˈɫːahi
وحش	wˈeħeʃ
ودان	widˈan
ودن	wˈidn
وسط البلد	ˌwistˤibːˈalad
وش	wˈiʃː
وعد	wˈaʕad
وقت	wˈaʔt
ولادة	walːˈaːda
ولد	wˈalad
ويا	wˈajːa
ويكة	wˈeːka
يا	jˈa
ياريت	jarˈeːt
ياما	jˈaːma
ياميش	jamˈiːʃ
يحرر	jeħˈarːar
يسطا	jˈastˤa
يع	jˈaʕː
ين	ˈiːn
يناير	janˈaːjer
ينف	jenˈef
يوزر	jˈuːzar
يوليو	jˈoljo
يونيو	jˈonjo
يويو	juːjˈuː
پ	p
پروپاجاندا	prupaːɡaːndˈaː
چ	ʒ
ڤ	v
ڤاترينة	vatrˈiːna
ڤيروس	vajrˈuːs
