# Serbo-Croatian accent lexicon — word<TAB>stressed-nucleus ordinal (0-based)<TAB>accent.
# The accent is the four-way pitch system: SR short-rising, LR long-rising, SF short-falling,
# LF long-falling, and `--` = the position is known but two contours are recorded for this
# spelling (grâd/grȁd), so the engine emits ˈ and withholds the tone rather than guessing.
# Position is emitted as ˈ; the accent becomes a Chao tone letter + length.
# Shared by the sr / hr / bs engines, which all run serbian.ts's g2p. A nucleus is a vowel OR a syllabic ⟨r⟩.
# From kaikki.org Serbo-Croatian (Wiktionary extract, CC-BY-SA) — built from the ACCENTED
# ORTHOGRAPHY (rijéka), not the IPA (/rjěːka/), which has a different nucleus count under the
# Ijekavian ⟨ije⟩ reflex. Both scripts. See tools/serbian/build_sh_stress_lexicon.py.
ambivalencija	3	SR
ambivalentan	2	SR
ambivalentni	2	SR
ambivalentnost	2	SR
ambivalentnosti	2	SR
ambivalentnošću	2	SR
ambrela	1	LR
ambrozija	0	SR
ambrozije	0	SR
ambulantni	1	SR
ambulantski	1	SR
ameba	1	LR
amebni	0	SR
amelioracija	4	LR
amer	0	SF
amerika	1	SR
amerikanac	3	LR
amerikanci	3	LR
amerikanizam	4	SR
amerikanizirajući	5	LR
amerikaniziranje	5	LR
amerikanizirati	5	LR
amerikaniziravši	5	LR
amerikanizma	4	SR
amerikanizovati	4	SF
amerikanka	2	SR
amerikanski	2	SR
američanka	2	LR
američki	1	SR
ametice	0	SR
ametist	1	SR
amfibija	0	SR
amfibijski	0	SR
amfipolj	1	SR
amfipolja	1	SR
amfipoljem	1	SR
amfipolju	1	SR
amfiteatar	2	SR
amfiteatara	2	SR
amfiteatra	2	SR
amfiteatralan	0	SF
amfiteatralni	0	SF
amfiteatre	2	SR
amfiteatri	2	SR
amfiteatrima	2	SR
amfiteatrom	2	SR
amfiteatru	2	SR
amfora	0	SR
amharski	0	SR
amidža	0	SR
amidžić	0	SR
aminokiselina	5	--
aminokiseline	5	SR
amnestija	1	SR
amnestirajući	2	LR
amnestiranje	2	LR
amnestirati	2	LR
amnestiravši	2	LR
amnezija	0	SR
amo	0	LF
amoder	0	LF
amonijev	1	SR
amoralan	0	SF
amoralni	0	SF
amoralnost	2	LR
amoralnosti	2	LR
amoralnošću	2	LR
amorfan	0	SR
amorfni	0	SR
amorfno	0	SR
amortizacija	3	LR
amortizacijski	3	LR
amortizer	2	SR
amortizirati	3	LR
amper	0	SR
ampermetar	0	SR
amplifikacija	3	LR
amplituda	2	LR
amputacija	2	LR
amputirajući	2	LR
amputiranje	2	LR
amputirati	2	LR
amputiravši	2	LR
amsterdam	0	SR
amsterdamski	0	SR
amulet	1	SR
ana	0	--
anabaza	2	LR
anabolik	2	SR
anabolizam	3	SR
anabolizma	3	SR
anadiploza	3	LR
anadolija	2	LR
anaeroban	0	SR
anaerobni	0	SR
anafora	1	SR
anagram	1	SR
anahronističan	3	SR
anahronizam	3	SR
anahronizma	3	SR
anahronizmi	3	SR
anahroničan	2	SR
anakonda	2	SR
anakronističan	3	SR
anakronistični	3	SR
anakronizam	3	SR
anakronizma	3	SR
anakronizmi	3	SR
anakroničan	2	SR
anakronični	2	SR
anaktoropolj	3	SR
anaktoropolja	3	SR
anaktoropoljem	3	SR
anaktoropolju	3	SR
analeptik	2	SR
analfabet	2	SR
analfabeta	3	LR
analfabetizam	4	SR
analfabetizma	4	SR
analfabetski	2	SR
analgetički	2	SR
analgezija	1	SR
anali	1	LR
analitik	2	SR
analitičan	2	SR
analitičar	2	SR
analitički	2	SR
analitični	2	SR
analiza	2	LR
analizator	2	SR
analizirajući	3	LR
analiziranje	3	LR
analizirati	3	LR
analiziravši	3	LR
analizovati	1	SR
analni	0	SR
analogan	0	SF
analogija	2	SR
analogijski	2	SR
analogni	0	SF
analogno	0	SF
analoški	1	SR
anamneza	2	LR
ananas	0	SF
anarhija	1	SR
anarhist	1	SR
anarhista	1	SR
anarhistički	2	SR
anarhistkinja	1	SR
anarhizam	2	SR
anarhičan	1	SR
anarhični	1	SR
anarhičnost	1	SR
anarhičnosti	1	SR
anarhičnošću	1	SR
anason	1	SR
anasona	2	LR
anasone	2	LR
anasoni	2	LR
anasonima	2	LR
anasonom	2	LR
anasonu	2	LR
anastrofa	2	LR
anatema	1	SR
anatemizirajući	4	LR
anatemiziranje	4	LR
anatemizirati	4	LR
anatemiziravši	4	LR
anatolija	2	LR
anatom	1	SR
anatoma	2	LR
anatomija	2	SR
anatomski	1	SR
anbar	0	SF
anda	0	LF
andaluski	1	SR
andaluzija	1	SR
andaluzijski	1	SR
ande	0	LF
andora	1	LF
andorac	1	LR
andoraca	0	SR
andorca	1	LR
andorce	1	LR
andorci	1	LR
andorcima	1	LR
andorcom	1	LR
andorcu	1	LR
andorka	0	SR
andorski	0	SR
andorče	0	SF
andrej	0	SR
andrija	0	SR
androklo	1	SR
andrologija	2	SR
andromaha	1	SR
andromeda	1	SR
anduz	0	SR
