# Irish (ga) Connacht pronunciation lexicon — generated by tools/gen/build-ga-lexicon.mts (do not hand-edit).
# Oracle-distilled (espeak-ng-portable ga over the 50k corpus), Connacht-normalized vs the wikipron gle
# referee: broad bh/mh vˠ→w, unstressed final -e ɛ→ə, unstressed short i ɪ→ə, spurious break iːə→iː. Only
# consonant+glide-skeleton-matching entries are kept (pins semi-lexical VOWEL QUALITY — io/oi/eo splits —
# without importing a consonant quirk OR an oracle glide the rules omit), THEN referee-gated: any entry the
# wikipron gle referee covers is kept only if it folds to a referee pronunciation, so the lexicon never pulls
# a checkable word away from Connacht ground truth. word<TAB>IPA.
aineistéiseolaí	ənʲɛʃtʲˈeːʃoːl̪ˠiː
ainilíse	ənʲəlʲˈiːʃə
ainiseatrópach	ənʲəʃət̪ˠɾˠˈoːpˠəx
ainmeolaíocht	ənʲmʲoːl̪ˠˈiːxt̪ˠ
ainmeolaíochta	ənʲmʲoːl̪ˠˈiːxt̪ˠə
ainmniúcháin	ənʲmʲnʲuːxˈɑːⁱnʲ
ainmnítear	ənʲmʲnʲˈiːtʲəɾˠ
ainneoinn	ˈanʲoːənʲ
aintíní	ənʲtʲˈiːnʲiː
ainéistéiseolaíocht	ənʲˈeːʃtʲˈeːʃoːl̪ˠˈiːxt̪ˠ
aireachtála	ˈaɾʲəxt̪ˠˌɑːl̪ˠə
aireagán	ˈaɾʲəɡˌɑːn̪ˠ
aireagóir	əɾʲəɡˈoːⁱɾʲ
airgead	ˈaɾʲəɟəd̪ˠ
airgeadach	ˈaɾʲəɟəd̪ˠəx
airgeadais	ˈaɾʲəɟəd̪ˠəʃ
airgeadaithe	ˈaɾʲəɟəd̪ˠəhə
airgeadas	ˈaɾʲəɟəd̪ˠəsˠ
airgeadaí	ˈaɾʲəɟəd̪ˠiː
airgeadaíochta	əɾʲəɟəd̪ˠˈiːxt̪ˠə
airgeadmhar	ˈaɾʲəɟəd̪ˠwəɾˠ
airgeadra	ˈaɾʲəɟəd̪ˠɾˠə
airgeadraí	ˈaɾʲəɟəd̪ˠɾˠiː
airgeata	ˈaɾʲəɟət̪ˠə
airgialla	ˈaɾʲəɟiəl̪ˠə
airgin	ˈaɾʲəɟənʲ
airgintín	ˈaɾʲəɟənʲtʲiːnʲ
airgintíneacha	əɾʲəɟənʲtʲˈiːnʲəxə
airpéitse	əɾʲpʲˈeːtʲʃə
airítear	əɾʲˈiːtʲəɾˠ
aiscím	əʃcˈiːmʲ
aiseotrópach	əʃoːt̪ˠɾˠˈoːpˠəx
aisiomptómach	əʃəmˠpˠt̪ˠˈoːmˠəx
aistriúcháin	əʃtʲɾʲuːxˈɑːⁱnʲ
aistriúchán	ˈaʃtʲɾʲuːxˌɑːn̪ˠ
aistrítear	əʃtʲɾʲˈiːtʲəɾˠ
aiséirithe	əʃˈeːɾʲəhə
aisíocaíocht	əʃiːkˈiːxt̪ˠ
aitheantóir	əhən̪ˠt̪ˠˈoːⁱɾʲ
aithintítear	əhənʲtʲˈiːtʲəɾˠ
aithnítear	əhnʲˈiːtʲəɾˠ
aitréuis	ətʲɾʲˈeːəʃ
aitéanólól	ətʲˈeːn̪ˠˈoːl̪ˠˈoːl̪ˠ
aku	ˈɑːkuː
alabama	ˈal̪ˠəbˠaʊmˠə
alarcón	əl̪ˠəɾˠkˈoːn̪ˠ
alba	ˈal̪ˠəbˠə
albach	ˈal̪ˠəbˠəx
albacha	ˈal̪ˠəbˠəxə
albaim	ˈal̪ˠəbˠəmʲ
albain	ˈal̪ˠəbˠənʲ
albainis	ˈal̪ˠəbˠənʲəʃ
albam	ˈal̪ˠəbˠəmˠ
albanach	ˈal̪ˠəbˠən̪ˠəx
albanacha	ˈal̪ˠəbˠən̪ˠəxə
albania	ˈal̪ˠəbˠənʲiə
albannach	ˈal̪ˠəbˠən̪ˠəx
albannacha	ˈal̪ˠəbˠən̪ˠəxə
albano	ˈal̪ˠəbˠən̪ˠə
albarn	ˈal̪ˠəbˠəɾˠn̪ˠ
albion	ˈal̪ˠəbʲən̪ˠ
albáinis	əl̪ˠəbˠˈɑːⁱnʲəʃ
albáinise	əl̪ˠəbˠˈɑːⁱnʲəʃə
