# Thai lexical dictionary — word<TAB>IPA (Chao tone contours ˩˩˦/˨˩/˧/˦˥/˥˩), for irregulars the rules
# can't derive. Ported+converted from espeak-ng-portable data/th/dictionary.jsonl (tone digits→Chao).
คริสต์ศักราช	kʰrˈi˦˥tsa˨˩kkˌa˨˩raː˨˩t
คริสเตียน	kʰrˈi˦˥tsa˨˩tˌia˧n
ครึกโครม	kʰrˈɯ˦˥kkʰroː˧m
ครุศาสตร์	kʰˈa˦˥ru˦˥sˌaː˨˩t
คร่ำครวญ	kʰrˈa˥˩mkʰrua˧n
คลังสินค้า	kʰlˈa˧ŋsi˩˩˦nkʰˌaː˦˥
คลั่งไคล้	kʰlˈa˥˩ŋkʰla˦˥j
คลาดเคลื่อน	kʰlˈaː˥˩tkʰlɯa˥˩n
คลุมเครือ	kʰlˈu˧mkʰlɯa˧
ความกดดัน	kʰwˈaː˧mko˨˩tdˌa˧n
ความขัดแย้ง	kʰwˈaː˧mkʰa˨˩tjˌɛː˦˥ŋ
ความจริง	kʰwˈaː˧mt͡ɕi˧ŋ
ความต้องการ	kʰwˈaː˧mtɔ˥˩ŋkˌaː˧n
ความถูกต้อง	kʰwˈaː˧mtʰuː˨˩ktˌɔ˥˩ŋ
ความถ่วงจำเพาะ	kʰwˈaː˧mtʰua˨˩ŋt͡ɕˌa˧mpʰɔ˦˥ʔ
ความมั่งคั่ง	kʰwˈaː˧mma˥˩ŋkʰˌa˥˩ŋ
ความมั่นใจ	kʰwˈaː˧mma˥˩nt͡ɕˌa˧j
ความยาวคลื่น	kʰwˈaː˧mjaː˧wkʰlˌɯː˥˩n
ความยุติธรรม	kʰwˈaː˧mju˦˥ttˌi˨˩tʰa˧m
ความรับผิดชอบ	kʰwˈaː˧mra˦˥ppʰˌi˨˩tt͡ɕʰɔː˥˩p
ความรุนแรง	kʰwˈaː˧mru˧nrˌɛː˧ŋ
ความร่วมมือ	kʰwˈaː˧mrua˥˩mmˌɯː˧
ความสนใจ	kʰwˈaː˧mso˩˩˦nt͡ɕˌa˧j
ความสามารถ	kʰwˈaː˧msaː˩˩˦mˌaː˥˩t
ความเครียด	kʰwˈaː˧mkʰria˥˩t
ความเคลื่อนไหว	kʰwˈaː˧mkʰlɯa˥˩nwˌa˩˩˦j
ความเป็นจริง	kʰwˈaː˧mpe˧nt͡ɕˌi˧ŋ
ความเร่ง	kʰwˈaː˧mre˥˩ŋ
คหบดี	kʰˈa˦˥ha˨˩bˌɔː˧diː˧
คอมพิวเตอร์	kʰˈɔ˧mpʰi˧wtˌɤː˥˩
คอมมิวนิสต์	kʰˈɔ˧mmi˧wnˌi˦˥t
คาบสมุทร	kʰˈaː˥˩psa˨˩mˌu˨˩t
คารวะ	kʰˈaː˧ra˦˥wˌa˦˥ʔ
คาร์โบไฮเดรต	kʰˈaː˧boː˧hˌa˧jdreː˨˩t
คาเฟอีน	kʰˈaː˧feː˧ʔˌiː˧n
คำนวณ	kʰˈa˧mnua˧n
คำแนะนำ	kʰˈa˧mnɛ˦˥ʔnˌa˧m
คำใต้	kʰˈa˧mtaː˥˩j
คุณธรรม	kʰˈu˧nna˦˥tʰˌa˧m
คุณภาพ	kʰˈu˧nna˦˥pʰˌaː˥˩p
คุณลักษณะ	kʰˈu˧nna˦˥lˌa˦˥ksa˨˩nˌa˨˩ʔ
คุณศัพท์	kʰˈu˧nna˦˥sˌa˨˩p
คุณสมบัติ	kʰˈu˧nna˦˥sˌo˩˩˦mba˨˩t
คู่กรณี	kʰˈuː˥˩kɔː˧rˌa˦˥niː˧
คู่แข่ง	kʰˈuː˥˩kʰɛ˨˩ŋ
ค่าธรรมเนียม	kʰˈaː˥˩tʰa˧mnˌia˧m
ค่ายกักกัน	kʰˈaː˥˩jka˨˩kkˌa˧n
ฆราวาส	kʰˈa˦˥raː˧wˌaː˥˩t
ฆาตกร	kʰˈaː˥˩tta˨˩kˌɔː˧n
ฆาตกรรม	kʰˈaː˥˩tta˨˩kˌa˧m
งูสวัด	ŋˈuː˧sa˨˩wˌa˨˩t
จงรักภักดี	t͡ɕˈo˧ŋra˦˥kpʰˌa˦˥kdiː˧
จดหมายเหตุ	t͡ɕˈo˨˩tmaː˩˩˦jhˌeː˨˩t
จตุจักร	t͡ɕˈa˨˩tu˨˩t͡ɕˌa˨˩k
จร	t͡ɕˈɔː˧n
จรจัด	t͡ɕˈɔː˧nt͡ɕa˨˩t
จรรยา	t͡ɕˈa˧njaː˧
จรรยาบรรณ	t͡ɕˈa˧njaː˧bˌa˧n
จรรโลง	t͡ɕˈa˧nloː˧ŋ
จริง	t͡ɕˈi˧ŋ
จริงจัง	t͡ɕˈi˧ŋt͡ɕa˧ŋ
จริงใจ	t͡ɕˈi˧ŋt͡ɕa˧j
จริยธรรม	t͡ɕˈa˨˩ri˦˥jˌa˦˥tʰa˧m
จอมปลวก	t͡ɕˈɔː˧mplua˨˩k
จักจั่น	t͡ɕˈa˨˩kka˨˩t͡ɕˌa˨˩n
จักร	t͡ɕˈa˨˩k
จักรพรรดิ	t͡ɕˈa˨˩kkra˨˩pʰˌa˦˥t
จักรราศี	t͡ɕˈa˨˩kkra˨˩rˌaː˧siː˩˩˦
จักรวรรดิ	t͡ɕˈa˨˩kkra˨˩wˌa˨˩t
จักรวรรดินิยม	t͡ɕˈa˨˩kkra˨˩wˌa˨˩tni˦˥jˌo˧m
จัดสรร	t͡ɕˈa˨˩tsa˩˩˦n
จัตวา	t͡ɕˈa˨˩tta˨˩wˌaː˧
จันทน์	t͡ɕˈa˧n
จันทรุปราคา	t͡ɕˈa˧ntʰru˦˥pˌa˨˩raː˧kʰˌaː˧
จันทร์	t͡ɕˈa˧n
จารกรรม	t͡ɕˈaː˧ra˦˥kˌa˧m
จำนวน	t͡ɕˈa˧mnua˧n
จำนวนจริง	t͡ɕˈa˧mnua˧nt͡ɕˌi˧ŋ
จำนวนเต็ม	t͡ɕˈa˧mnua˧ntˌe˧m
จำปาศักดิ์	t͡ɕˈa˧mpaː˧sˌa˨˩k
จำพวก	t͡ɕˈa˧mpʰua˥˩k
จิตรกร	t͡ɕˈi˨˩ttra˨˩kˌɔː˧n
จิตรกรรม	t͡ɕˈi˨˩tta˨˩kˌa˧m
จิตวิทยา	t͡ɕˈi˨˩tta˨˩wˌi˦˥ttʰa˦˥jˌaː˧
จิตแพทย์	t͡ɕˈi˨˩tta˨˩pʰˌɛː˥˩t
จุดบกพร่อง	t͡ɕˈu˨˩tbo˨˩kpʰrˌɔ˥˩ŋ
จุลภาค	t͡ɕˈu˧nla˦˥pʰˌaː˥˩k
จุลศักราช	t͡ɕˈu˧nla˦˥sˌa˨˩kka˨˩rˌaː˨˩t
จุลสาร	t͡ɕˈu˧nla˦˥sˌaː˩˩˦n
จุลินทรีย์	t͡ɕˈu˨˩li˧nsˌiː˧
ฉกรรจ์	t͡ɕʰˈa˨˩ka˧n
ฉวัดเฉวียน	t͡ɕʰˈa˨˩wa˨˩tt͡ɕʰˌa˨˩wia˩˩˦n
ฉะเชิงเทรา	t͡ɕʰˈa˨˩t͡ɕʰɤː˧ŋsˌa˧w
ฉัตร	t͡ɕʰˈa˨˩t
ฉันทลักษณ์	t͡ɕʰˈa˩˩˦ntʰa˦˥lˌa˦˥k
ฉายาลักษณ์	t͡ɕʰˈaː˩˩˦jaː˧lˌa˦˥k
ฉ้อราษฎร์บังหลวง	t͡ɕʰˈɔː˥˩raː˥˩tbˌa˧ŋlua˩˩˦ŋ
ชนชาติ	t͡ɕʰˈo˧nt͡ɕʰaː˥˩t
ชนบท	t͡ɕʰˈo˧nna˦˥bˌo˨˩t
ชนมพรรษา	t͡ɕʰˈo˧nma˦˥pʰˌa˧nsaː˩˩˦
ชร	t͡ɕʰˈɔː˧rɔː˧
ชลประทาน	t͡ɕʰˈo˧nla˦˥prˌa˨˩tʰaː˧n
ชอบธรรม	t͡ɕʰˈɔː˥˩ptʰa˧m
ชะอม	t͡ɕʰˈa˦˥ʔo˧m
ชักชวน	t͡ɕʰˈa˦˥kt͡ɕʰua˧n
