# European Portuguese lexical correction table — word<TAB>code. ɛ|ɔ = stressed mid vowel opens;
# x:s|x:z|x:ks = grapheme x; e:e|e:ɛ = word-initial e (vs the default i). Engine handles everything else.
# Derived from wikipron EP (por_latn_po) — tools/pt-gen-lexicon.mts.
amoxicilina	x:ks
amoxilina	x:ks
amplexo	ɛ|x:ks
anabel	ɛ
anabela	ɛ
anafilatoxina	x:ks
analfabeto	ɛ
anamorfa	ɔ
anamorfas	ɔ
anamorfo	ɔ
anamorfos	ɔ
anastrozol	ɔ
anatoxina	x:ks
anatéxis	x:ks
anatóxico	x:ks
anaximandro	x:ks
anaximândrico	x:ks
anaxágoras	x:ks
ancora	ɔ
andiroba	ɔ
andossolo	ɔ
androstanol	ɔ
anel	ɛ
anelo	ɛ
anestro	ɛ
aneto	ɛ
anexas	ɛ|x:ks
anexo	ɛ|x:ks
anfimixia	x:ks
anfioxo	x:ks
angiomixoma	x:ks
angiosperma	ɛ
anglosfera	ɛ
angola	ɔ
angora	ɔ
angoumois	ɔ
anisol	ɔ
anoderma	ɛ
anoréxica	x:ks
anoréxico	x:ks
anoxia	x:ks
anselmo	ɛ
antecos	ɛ
antela	ɛ
antelas	ɛ
antera	ɛ
antero	ɛ
anthropos	ɔ
anticartel	ɛ
anticloro	ɔ
anticotas	ɔ
antidoping	ɔ
antidroga	ɔ
antidrogas	ɔ
antiescola	ɔ
antiferromagneto	ɛ
antifluxo	x:ks
antiforma	ɔ
antigaláxia	x:ks
antilepra	ɛ
antimaterno	ɛ
antimoda	ɔ
antimoderno	ɛ
antimonopolo	ɔ
antimulher	ɛ
antinodo	ɔ
antiparalelo	ɛ
antipatriota	ɔ
antipeça	ɛ
antiplaneta	ɛ
antipolo	ɔ
antiprogresso	ɛ
antiprotestos	ɛ
antissexo	ɛ|x:ks
antiterra	ɛ
antitóxico	x:ks
antonela	ɛ
antoxantina	x:ks
antroposfera	ɛ
antropossolo	ɔ
anzol	ɔ
anóxia	x:ks
anóxico	x:ks
aorta	ɔ
aosta	ɔ
apaixona	ɔ
apaixono	ɔ
apalpadela	ɛ
apalpadelas	ɛ
apicomplexo	ɛ|x:ks
apiol	ɔ
apollo	ɔ
apolo	ɔ
apomixia	x:ks
aporto	ɔ
aposta	ɔ
apostas	ɔ
apostos	ɔ
appenzell	ɛ
appenzeller	ɛ
appomattox	ɔ
apraxia	x:ks
aprisiona	ɔ
aprisiono	ɔ
aprovo	ɔ
aproximado	x:s
aproximador	x:s
aproximativo	x:s
apráxico	x:ks
aquarela	ɛ
aquela	ɛ
aquelas	ɛ
aquosa	ɔ
aquosas	ɔ
aquosos	ɔ
arabela	ɛ
arabinitol	ɔ
arabinoxilano	x:ks
arabitol	ɔ
arandela	ɛ
araneomorfa	ɔ
aranzel	ɛ
araroba	ɔ
arbela	ɛ
areca	ɛ
aresta	ɛ
argel	ɛ
argirol	ɔ
argola	ɔ
argolas	ɔ
ariel	ɛ
armazena	ɛ
armazeno	ɛ
armela	ɛ
arqueozoico	ɔ
arquiteta	ɛ
arquiteto	ɛ
arquivolta	ɔ
arraiolos	ɔ
arresto	ɛ
arruela	ɛ
aselha	ɛ
asfixiar	x:ks
aspecto	ɛ
aspeto	ɛ
assecla	ɛ
assimptota	ɔ
assintota	ɔ
assoma	ɔ
assomam	ɔ
assomas	ɔ
assomem	ɔ
assomo	ɔ
asteca	ɛ
astela	ɛ
astelas	ɛ
astorga	ɔ
astrosa	ɔ
astrosas	ɔ
astrosos	ɔ
ataraxia	x:ks
ataxia	x:ks
atleta	ɛ
atmosfera	ɛ
atol	ɔ
atravessa	ɛ
atroz	ɔ
atáxico	x:ks
aurora	ɔ
austera	ɛ
austero	ɛ
australopiteco	ɛ
autoescola	ɔ
autofoco	ɔ
auxiliar	x:s
auxiliário	x:s
auxina	x:ks
auxologia	x:ks
auxílio	x:s
aviera	ɛ
avieras	ɛ
aviessem	ɛ
avioneta	ɛ
axial	x:ks
axila	x:ks
axilar	x:ks
axiológico	x:ks
axioma	x:ks
axiomático	x:ks
axião	x:ks
axumita	x:ks
axónico	x:ks
babosa	ɔ
bacelo	ɛ
bacharel	ɛ
bacharelas	ɛ
badajoz	ɔ
badalhoca	ɔ
badalhocas	ɔ
baderna	ɛ
baeco	ɛ
bagatela	ɛ
baixela	ɛ
balela	ɛ
bambinela	ɛ
bancarrota	ɔ
banguela	ɛ
baratex	ɛ|x:ks
barbosa	ɔ
barcelos	ɛ
basifixo	x:ks
batel	ɛ
batota	ɔ
baviera	ɛ
bebeteca	ɛ
beca	ɛ
bechamel	ɛ
beck	ɛ
beijoca	ɔ
beja	ɛ
bela	ɛ
belas	ɛ
belchior	ɔ
beldroega	ɛ
beldroegas	ɛ
belga	ɛ
belo	ɛ
belos	ɛ
benguela	ɛ
benzoico	ɔ
bergamota	ɔ
berna	ɛ
berra	ɛ
berro	ɛ
bestseller	ɛ
beta	ɛ
beto	ɛ
bets	ɛ
betta	ɛ
beça	ɛ
biblioteca	ɛ
bibliotecas	ɛ
bicicleta	ɛ
bicota	ɔ
biela	ɛ
bigorna	ɔ
bisneta	ɛ
bisneto	ɛ
bisteca	ɛ
bitoca	ɔ
bitola	ɔ
bióxido	x:ks
blasfemam	ɛ
blasfemem	ɛ
blastoderma	ɛ
blazer	ɛ
blhec	ɛ
bloco	ɔ
blog	ɔ
blogger	ɛ
