# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
اجازتوں	əd͡ʒɑːzə̲t̪oː̃
اجازتیں	əd͡ʒɑːzə̲t̪eː̃
اجالا	ʊd͡ʒɑːlɑː
اجان	əd͡ʒɑːn
اجاگر	ʊd͡ʒɑːɡəɾ
اججول	ʊd͡ʒːʋəl
اجر	əd͡ʒɾ
اجلا	ʊd͡ʒlɑː
اجلائی	ʊd͡ʒlɑːiː
اجلاس	ɪd͡ʒlɑːs
اجلد	əd͡ʒɪld̪
اجمالی	ɪd͡ʒmɑːliː
اجمود	əd͡ʒmoːd̪
اجمیر	əd͡ʒmeːɾ
اجنبی	əd͡ʒənbiː
اجنبیت	əd͡ʒənbɪjət̪
اجوائن	əd͡ʒʋɑːɪn
اجڈ	ʊd͡ʒəɖɖ
اجڑنا	ʊd͡ʒəɽnɑː
اجگر	əd͡ʒɡəɾ
اجگری	əd͡ʒəɡɾiː
اجھکنا	ʊd͡ʒʱəknɑː
اجی	əd͡ʒiː
اجین	ʊd͡ʒːɛːn
اجینڈا	əd͡ʒeːɳɖɑː
احاطہ	əɦɑːt̪ɑ
احباب	əɦbɑːb
احتجاج	eːɦət̪d͡ʒɑːd͡ʒ
احترام	eːɦət̪ɾɑːm
احتلام	əɦt̪əlɑːm
احتیاج	əɦət̪ʊjɑːd͡ʒ
احتیاط	eːɦt̪ɪjɑːt̪
احرام	əɦɾɑːm
احساس	eːɦsɑːs
احسان	eːɦsɑːn
احسانمند	eːɦsɑːnmən̪d̪
احمد	əɦməd̪
احمق	əɦməq
احمقانہ	əɦməqɑːnɑ
احوال	əɦʋɑːl
اخاب	əɦɑːb
اخبار	əxbɑːɾ
اختر	əxt̪əɾ
اختصار	əxt̪əsɑːɾ
اختلاف	əxt̪əlɑːf
اختلافات	əxt̪əlɑːfɑːt̪
اختیار	ɪxt̪ɪjɑːɾ
اختیاری	ɪxt̪ɪjɑːɾiː
اخذ	əxz
اخروٹ	əxɾoːʈ
اخضر	əxzəɾ
اخلاص	ɪxlɑːs
اخلاق	əxlɑːq
اخیل	əkʰɪl
ادا	əd̪ɑː
ادار	ʊd̪ɑːɾ
ادارتی	əd̪ɑːɾə̲t̪iː
اداس	ʊd̪ɑːs
اداسی	ʊd̪ɑːsiː
اداسیاں	əd̪ɑːsʊjɑː̃
اداسیوں	əd̪ɑːsʊjoː̃
ادانی	əd̪ɑːniː
اداکار	əd̪ɑːkɑːɾ
اداکارہ	əd̪ɑːkɑːɾɑ
اداہرن	ʊd̪ɑːɦɾəɳ
ادب	əd̪əb
ادبا	əd̪ə̲bɑː
ادبھت	əd̪bʱʊt̪
ادبیات	əd̪ə̲bʊjɑːt̪
ادجن	ʊd̪d͡ʒən
ادر	ʊd̪əɾ
ادرک	əd̪ɾək
ادریس	ɪd̪ɾiːs
ادهیادیش	əd̪ʱjɑːd̪eːʃ
ادویت	əd̪ʋɛːt̪
اديان	ʊd̪jɑːn
اديم	ʊd̪jəm
ادھ	ɑːd̪ʱ
ادھار	ʊd̪ʱɑːɾ
ادھجل	əd̪ʱd͡ʒəl
ادھر	ɪd̪ʱəɾ
ادھرم	əd̪ʱəɾm
ادھشچیتک	əd̪ʱəʃt͡ʃeːt̪ək
ادھماس	əd̪ʱɪmɑːs
ادھنا	əd̪ʱʊnɑː
ادھو	ʊd̪ʱːəʋ
ادھورا	əd̪ʱuːɾɑː
ادھپکا	əd̪ʱəpkɑː
ادھڑنا	ʊd̪ʱəɽnɑː
ادھک	əd̪ʱɪk
ادھکار	əd̪ʱɪkɑːɾ
ادھکاری	əd̪ʱɪkɑːɾiː
ادھکچرا	əd̪ʱkət͡ʃɾɑː
ادھیاپک	əd̪ʱjɑːpək
ادھیڑ	əd̪ʱeːɽ
ادیتی	əd̪ɪt̪ɪ
ادیشیہ	ʊd̪ːeːʃj
ادیٹھ	əd̪iːʈʰ
ادیہ	əd̪j
ادے	ʊd̪ɛj
اذان	əzɑːn
اذن	əzn
ارادتا	ɪɾɑːd̪t̪ən
ارادہ	ɪɾɑːd̪ɑ
اراروٹ	əɾɑːɾoːʈ
ارب	əɾəb
اربی	əɾbiː
ارتداد	əɾt̪əd̪ɑːd̪
ارتقا	əɾt̪əqɑː
ارتھ	əɾt̪ʰ
ارتھی	əɾt̪ʰiː
ارجت	əɾd͡ʒɪt̪
ارجن	əɾd͡ʒʊn
ارجنٹائن	əɾd͡ʒeːɳʈiːnɑː
اردلی	əɾd̪əliː
اردن	ʊɾd̪ʊn
اردو	ʊɾd̪uː
ارز	əɾz
ارس	əɾəs
ارسطو	əɾəst̪uː
ارسلہ	əɾsəlɑ
ارش	əɾʃ
ارض	əɾz
ارضی	əɾziː
ارغوانی	əɾɣəʋɑːniː
ارمان	əɾmɑːn
ارمنستان	əɾmənɪst̪ɑːn
ارمچی	ʊɾʊmt͡ʃiː
ارمیا	əɾəmʊjɑː
ارنما	əɾʊɳɪmɑː
ارنڈ	əɾəɳɖ
ارنڈی	əɾəɳɖiː
ارنی	əɾɳɪ
اروبا	əɾuːbɑː
اروڑا	əɾoːɽɑː
ارکتتا	əɾəkt̪ət̪ɑː
اریٹیریا	ɪɾɪʈɾɪjɑː
ارے	əɾeː
از	əz
ازبک	ʊzbeːk
ازبکستان	ʊzbeːkɪst̪ɑːn
ازدواج	əzəd̪ɪʋɑːd͡ʒ
اس	ɪs
اساس	ʊsɑː̃s
اساماجک	əsɑːmɑːd͡ʒɪk
اسامی	əsɑːmiː
اسباب	əsbɑːb
اسبغول	ɪsəbɣoːl
استاد	ʊst̪ɑːd̪
استر	əst̪ɾ
استرا	ʊst̪əɾɑː
استری	ɪst̪ɾiː
استعفا	ɪst̪iːfɑː
استعمال	ɪst̪eːmɑːl
استقبال	ɪst̪əqbɑːl
استنبول	ɪst̪ɑːmbʊl
استوار	əsət̪ɪʋɑːɾ
استھ	əst̪ʰɪ
استھایی	əst̪ʰɑːjiː
استھما	əst̪ʰəmɑː
اسحاق	ɪsɦɑːq
اسد	əsəd̪
اسر	əsʊɾ
اسرائیل	ɪsɾɑːɪl
اسرائیلی	ɪsɾɑːɪliː
اسسٹینٹ	əsɪsʈeːɳʈ
اسطوخودوس	əsət̪oːxuːd̪uːs
اسطورہ	əsət̪uːɾɑ
اسطوری	əsət̪uːɾiː
اسفنج	əsəfənd͡ʒ
