# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
عزت	ɪzzət̪
عزیز	əziːz
عشا	iːʃɑː
عشرت	ɪʃɾət̪
عشق	ɪʃq
عشقیہ	ɪʃqɪjɑ
عشوہ	ɪʃʋɑ
عصر	əsɾ
عطار	ət̪ːɑːɾ
عطر	ɪt̪ɾ
عظم	ʔəzm
عظمتو	ʔəzmət̪oː
عظمتوں	ʔəzmət̪oː̃
عظمتیں	ʔəzmət̪eː̃
عظیم	əziːm
عفريت	ɪfɾiːt̪
عقاب	ʊqɑːb
عقل	əql
عقلمند	əqləmən̪d̪
عقلمندی	əqləmən̪d̪iː
علاج	ɪlɑːd͡ʒ
علاقہ	ɪlɑːqɑ
علامتو	ʔəlɑːmə̲t̪oː
علامتوں	ʔəlɑːmə̲t̪oː̃
علامتیں	ʔəlɑːmə̲t̪eː̃
علاوہ	əlɑːʋɑ
علم	ɪlm
علما	ʊlmɑː
علمدار	ələmd̪ɑːɾ
علمی	ɪlmiː
علوم	ʔəluːm
علی	əliː
علیحدہ	ələɦd̪ɑ
عمارت	ɪmɑːɾət̪
عمارتی	ɪmɑːɾt̪iː
عمان	oːmɑːn
عمدہ	ʊmd̪ɑ
عمر	ʊməɾ
عمرکوٹ	ʊməɾkoːʈ
عمرہ	ʊmɾɑ
عمل	əməl
عملہ	ʔəmə̲lɑ
عموما	ʊmuːmən
عنایت	ɪnɑːjət̪
عنبر	əmbəɾ
عنوان	ʊnʋɑːn
عوام	əʋɑːm
عورت	ɔːɾət̪
عوض	eːʋəz
عيان	əjɑː̃
عکاس	əkːɑːs
عکاسی	əkːɑːsiː
عکرشہ	ʔəkɾəʃɑ
عکس	əks
عہدہ	oːɦd̪ɑ
عیادت	əjɑːd̪ət̪
عیادتوں	ʔʊjɑːd̪ə̲t̪oː̃
عیادتیں	ʔʊjɑːd̪ə̲t̪eː̃
عیاش	ɛːjɑːʃ
عیاشی	ɛːjɑːʃiː
عیاں	ʔʊjɑː̃
عیب	ɛːb
عید	iːd̪
عیسائی	iːsɑːiː
عیسائیت	iːsɑːɪjət̪
عیسی	iːsɑː
عیش	ɛːʃ
عین	ɛːn
عینک	ɛːnək
غائب	ɣɑːjəb
غارب	ɣɑːɾɪb
غازى	ɣɑːziː
غافل	ɣɑːfɪl
غالب	ɣɑːlɪb
غالیچا	ɣɑːliːt͡ʃɑː
غبارہ	ɡʊbːɑːɾɑ
غبن	ɣəbən
غدار	ɣəd̪ːɑːɾ
غراره	ɣəɾɑːɾɑː
غربت	ɣʊɾbət̪
غرض	ɣəɾəz
غرق	ɣəɾq
غروب	ɣəɾuːb
غرور	ɣʊɾuːɾ
غریب	ɣəɾiːb
غریبی	ɣəɾiːbiː
غزل	ɣəzəl
غزوہ	ɣəzʋɑ
غزہ	ɣəzɑ
غسل	ɣʊsl
غسلخانہ	ɣʊsləxɑːnɑ
غصہ	ɣʊsːɑ
غضب	ɣəzəb
غفلت	ɣəflət̪
غلام	ɣʊlɑːm
غلامی	ɣʊlɑːmiː
غلط	ɣələt̪
غلطناما	ɣələt̪nɑːmɑː
غلطی	ɣəlt̪iː
غلطیاں	ɣələ̲t̪ʊjɑː̃
غلطیو	ɣələ̲t̪ʊjoː
غلطیوں	ɣələ̲t̪ʊjoː̃
غلیظ	ɣəliːz
غلیل	ɣʊleːl
غم	ɣəm
غمزہ	ɣəmzɑ
غنودگی	ɣənuːd̪ə̲ɡiː
غنودگیاں	ɣənuːd̪ə̲ɡʊjɑː̃
غنودگیوں	ɣənuːd̪ə̲ɡʊjoː̃
غنودہ	ɣənuːd̪ɑ
غنڈہ	ɡʊɳɖɑ
غنیمت	ɣəniːmət̪
غور	ɡɔːɾ
غوطہ	ɣoːt̪ɑ
غیر	ɣɛːɾ
غیرت	ɣɛːɾət̪
فائبر	fɑːɪbəɾ
فائدہ	fɑːɪd̪ɑ
فائل	fɑːɪl
فاختہ	fɑːxt̪ɑ
فارس	fɑːɾs
فارسی	fɑːɾsiː
فارغ	fɑːɾɪɣ
فاس	fɑːs
فاسفورس	pʰɑːspʰoːɾəs
فاش	fɑːʃ
فاصلہ	fɑːslɑ
فاضل	fɑːzɪl
فاطمہ	fɑːt̪ɪmɑ
فافڑا	pʰɑːpʰɽɑː
فالتو	fɑːlt̪uː
فالجوں	fɑːlə̲d͡ʒoː̃
فالحال	fɪlɦɑːl
فالسہ	fɑːlsɑ
فالوئر	fɔːloːəɾ
فالودہ	fɑːluːd̪ɑ
فانوس	fɑːnuːs
فانی	fɑːniː
فاژہ	fɑːd͡ʒʱ
فاکہہ	fɑːkə̲ɦɑ
فایدہ	fɑːjd̪ɑ
فتح	fət̪əɦ
فتوا	fət̪ʋɑː
فتور	fɪt̪uːɾ
فتورو	fət̪uːɾoː
فتوروں	fət̪uːɾoː̃
فجر	fəd͡ʒəɾ
فجيره	fʊd͡ʒɛːɾɑː
فجی	fɪd͡ʒiː
فحش	fəɦʃ
فخر	fəxɾ
فدا	fɪd̪ɑː
فدائین	fɪd̪ɑːjiːn
فرات	fəɾɑːt̪
فرار	fəɾɑːɾ
فراق	fɪɾɑːq
فرانس	fɾɑː̃s
فرانسیسی	fɾɑː̃siːsiː
فرج	fɾɪd͡ʒ
فرد	fəɾd̪
فردوس	fɪɾd̪ɔːs
فرزند	fəɾzən̪d̪
فرزی	fəɾziː
فرش	fəɾʃ
فرشتہ	fɪɾɪʃt̪ɑ
فرصت	fʊɾsət̪
فرصتو	fəɾsət̪oː
فرصتوں	fəɾsət̪oː̃
فرصتیں	fəɾsət̪eː̃
فرض	fəɾz
فرضی	fəɾziː
فرعون	fɪɾɔːn
فرق	fəɾq
فرقہ	fʊɾqət̪
فرمائش	fəɾmɑːɪʃ
فرمان	fəɾmɑːn
فرمانا	fəɾmɑːnɑː
فرن	pʰəɾn
فرنگ	fɪɾəŋɡ
فرنگستان	fɪɾəŋɡɪst̪ɑːn
فرنگی	fɪɾəŋɡiː
فرنیچر	pʰəɾniːt͡ʃəɾ
فروری	fəɾəʋɾiː
فروز	fəɾoːz
فروش	fəɾoːʃ
فریب	fəɾeːb
فریبو	fəɾeːboː
فریبوں	fəɾeːboː̃
فسانہ	fəsɑːnɑ
فصح	fəsəɦ
فصل	fəsəl
فضل	fəzl
فضول	fəzuːl
فطرت	fɪt̪ɾət̪
فعل	fəʔl
فقط	fəqət̪
فقہ	fəqɦ
فقیر	fəqiːɾ
فقیرانہ	fəqiːɾɑːnɑ
فلالین	pʰəlɑːlɛːn
فلانا	fəlɑːnɑː
فلاکت	fəlɑːkət̪
فلسطین	fɪlɪst̪iːn
فلسفہ	fələsfɑ
فلم	fɪlm
فلمانا	fɪlmɑːnɑː
فلمی	fɪlmiː
فلورنس	floːɾeːns
فلورڈا	floːɾɪɖɑː
فلپس	pʰɪlɪpːʊs
فلک	fələk
فلیپینس	fɪliːpiː̃s
فن	fən
فنا	fənɑː
فنتاسی	fən̪t̪ɑːsiː
فنڈا	fəɳɖɑː
فوارہ	fəʋʋɑːɾɑ
فوج	fɔːd͡ʒ
فوجدار	fɔːd͡ʒd̪ɑːɾ
فوجیں	foːd͡ʒeː̃
فورا	fɔːɾən
فورلادی	fɔːlɑːd̪iː
فولاد	fɔːlɑːd̪
فون	foːn
فٹافٹ	pʰəʈɑːpʰəʈ
فکر	fɪkɾ
فہرست	feːɦɾɪst̪
فہرستو	feːɦɾɪst̪oː
فہرستوں	feːɦɾɪst̪eː̃
فہم	fɛɦɛm
فیتہ	fiːt̪ɑ
فیروز	fɪɾoːz
فیروزہ	fiːɾoːzɑ
فیروزی	fiːɾoːziː
فیس	fiːs
فیسبک	feːsbʊk
فیشن	fɛːʃən
فیصد	fiːsəd̪
فیصلہ	fɛːslɑ
فیض	fɛːz
فیل	fiːl
فیلسوف	fɛːlsuːf
فیکس	fɛːks
فیکٹری	fɛːkʈəɾiː
قابض	qɑːbɪz
قابل	qɑːbɪl
قابلیت	qɑːbɪliːjət̪
قابو	qɑːbuː
قاتل	qɑːt̪ɪl
قاتلانا	qɑːt̪ɪlɑːnɑː
قادیان	qɑːd̪ʊjɑːn
قادیاں	qɑːd̪ɪjɑː̃
قاری	qɑːɾiː
قاصد	qɑːsɪd̪
قاضی	qɑːziː
قاعدو	qɑːʔə̲d̪oː
قاعدوں	qɑːʔə̲d̪oː̃
قاعدہ	qɑːjd̪ɑ
قاعدے	qɑːʔə̲d̪eː
قافلو	qɑːfə̲loː
قافلوں	qɑːfə̲loː̃
قافلہ	qɑːfɪlɑ
قافلے	qɑːfɪleː
قالین	qɑːliːn
قامت	qɑːmət̪
قاموس	qɑːmuːs
قانون	qɑːnuːn
قانونوں	qɑːnuːnoː̃
قانونی	qɑːnuːniː
قاہرہ	qɑːɦɪɾɑ
قایم	qɑːjəm
قباحتو	qəbɑːɦə̲t̪oː
قباحتوں	qəbɑːɦə̲t̪oː̃
قباحتیں	qəbɑːɦə̲t̪eː̃
قبر	qəbɾ
قبرستان	qəbɾɪst̪ɑːn
قبض	qəbz
قبضہ	qəbzɑ
قبل	qəbl
قبول	qəbuːl
قبیلہ	qəbiːlɑ
قتل	qət̪l
قد	qəd̪
قدح	kəd̪ɑːɦ
قدر	qəd̪ɾ
قدرت	qʊd̪ɾət̪
قدرتو	qəd̪ɾət̪oː
قدرتوں	qəd̪ɾət̪oː̃
قدرتیں	qəd̪ɾət̪eː̃
قدم	qəd̪əm
قدیم	qəd̪iːm
قذف	qəzf
قرآن	qʊɾɑːn
قرار	qəɾɑːɾ
قراقرم	qəɾɑːqə̲ɾəm
قربان	qʊɾbɑːn
قربانی	qʊɾbɑːniː
قرض	qəɾz
قرطبہ	qəɾt̪əbɑ
قرمز	qɪɾmɪz
قرمزی	qɪɾmɪziː
قریب	qəɾiːb
قریبا	qəɾiːbən
قرینہ	qəɾiːnɑ
قزاق	qəzzɑːq
قزاقستان	kəzɑːxəst̪ɑːn
قسط	qɪst̪
قسطنطنیہ	qʊst̪ʊn̪t̪ʊnɪjɑ
قسطوں	qɪst̪oː̃
قسطیں	qɪst̪eː̃
قسم	qəsəm
قسمت	qɪsmət̪
قسموں	qəsə̲moː̃
قسمیں	qəsə̲meː̃
قشنگ	qəʃənɡ
قصائی	qəsɑːiː
قصاب	qəsːɑːb
قصبہ	qəsbɑ
قصور	qəsuːɾ
قصہ	qɪsːɑ
قصیدہ	qəsiːd̪ɑ
قطار	qət̪ɑːɾ
قطب	qət̪b
قطر	qət̪əɾ
قطرہ	qət̪ɾɑ
قطعی	qət̪əiː
قفس	qəfəs
ققنوس	qəqənuːs
قلب	qəlb
قلت	qɪlːət̪
قلزم	qʊlzʊm
قلع	qəlʔ
قلعہ	qɪlɑ
قلفی	qʊlfiː
قلم	qələm
قلی	qʊliː
قمار	qɪmɑːɾ
قمر	kəməɾ
قمیض	qəmiːz
قوال	qəʋʋɑːl
قوالی	qəʋʋɑːliː
قوانین	qɪʋɑːniːn
قوت	qʊʋʋət̪
قوطی	quːt̪iː
قوم	qɔːm
قوی	qɪʋiː
قہر	qɛɦɛɾ
قہرمان	qəɦɾmɑːn
قہوہ	qəɦʋɑ
قیادت	qʊjɑːd̪ət̪
قیامت	qəjɑːmət̪
قید	qɛːd̪
قیدخانہ	qɛːd̪xɑːnɑ
قیدی	qɛːd̪iː
قیصر	qɛːsəɾ
قیمت	qiːmət̪
قیمتی	qiːmt̪iː
قیمہ	qiːmɑ
قینچی	qɛːɲt͡ʃiː
قے	qɛː
كسكس	kʊskʊs
كيف	kɛːf
لؤا	ləʋɑː
لؤلؤ	luːluː
لئے	lɪʲeː
لا	lɑː
لاؤس	lɑːoːs
لائبریری	lɑːɪbɾeːɾiː
لائبیریا	lɑːɪbeːɾɪjɑː
لائق	lɑːɪq
لائم	lɑːɪm
لائٹر	lɑːɪʈəɾ
لائی	lɑːiː
لابھ	lɑːbʱ
لات	lɑːt̪
لاج	lɑːd͡ʒ
لاجورد	lɑːd͡ʒʋəɾd̪
لاجیں	lɑːd͡ʒeː̃
لادنا	lɑːd̪nɑː
لار	lɑːɾ
لازم	lɑːzɪm
لاش	lɑːʃ
لاشیں	lɑːʃeː̃
لال	lɑːl
لالٹین	lɑːlʈeːn
لالچ	lɑːlət͡ʃ
لالہ	lɑːlɑ
لامتناہی	lɑːmə̲t̪ə̲nɑːɦiː
لانا	lɑːnɑː
لانچهت	lɑːɲt͡ʃʰɪt̪
لانگھنا	lɑː̃ɡʱnɑː
لاوا	lɑːʋɑː
لاٹ	lɑːʈ
لاٹری	lɑːʈə̲ɾiː
لاٹھ	lɑːʈʰ
لاپتہ	lɑːpt̪ɑ
لاپسی	lɑːpsiː
لاپھا	lɑːpʰɑː
لاچار	lɑːt͡ʃɑːɾ
لاڈلہ	lɑːɽlɑ
لاڑ	lɑːɽ
لاڑکانہ	lɑːɽkɑːnɑ
لاگت	lɑːɡət̪
لاگتوں	lɑːɡə̲t̪oː̃
لاگتیں	lɑːɡə̲t̪eː̃
لاگوس	lɑːɡoːs
لاہور	lɑːɦɔːɾ
لایق	lɑːjəq
لایک	lɑːjək
لب	ləb
لباس	lɪbɑːs
لبدھ	ləbd̪ʱ
لبریز	ləbɾeːz
لبنان	leːbnɔːn
لبنانی	leːbnɑːniː
لبھانا	lʊbʱɑːnɑː
لت	lət̪
لتویا	lɑːt̪ʋɪjɑː
لتھوینیا	lɪt̪ʰʊɑːnɪjɑː
لتھیڑنا	lət̪ʰeːɽnɑː
لجانا	ləd͡ʒɑːnɑː
لحظہ	ləɦzɑ
لحم	lɛɦɛm
لداخ	ləd̪ːɑːx
لدھیانہ	lʊd̪ʱɪjɑːnɑ
لذتوں	ləzə̲t̪oː̃
لذتیں	ləzə̲t̪eː̃
لذیذ	ləziːz
لرزش	ləɾzɪʃ
لسا	ləsːɑː
لسان	lɪsɑːn
لسانیات	ləsɑːnʊjɑːt̪
لسبین	leːsbɪjən
لسن	ləsən
لسنا	ləsnɑː
لسی	ləsːiː
لشکر	ləʃkəɾ
لشکری	ləʃkəɾiː
لطف	lʊt̪f
لطیفہ	lət̪iːfɑ
لعب	ləʔb
لعنت	lɑːnət̪
لغات	lʊɣɑːt̪
لغت	lʊɣət̪
لفافہ	lɪfɑːfɑ
لفظ	ləfz
لفنگا	ləfəŋɡɑː
لفٹ	lɪfʈ
للاٹ	ləlɑːʈ
للکار	ləlkɑːɾ
للکارنا	ləlkɑːɾnɑː
للہ	lɪlːɑːɦ
لمبا	ləmbɑː
لمبائی	ləmbɑːiː
لمبھا	ləmbʱɑː
لمحہ	ləmɦɑ
لمپٹ	ləmpəʈ
لندن	lən̪d̪ən
لننا	lʊnnɑː
لنڈ	ləɳɖ
لنکا	ləŋkɑː
لنگ	lɪŋɡ
لنگایت	lɪŋɡɑːjət̪
لنگور	ləŋɡuːɾ
لو	lɔː
لوبان	loːbɑːn
لوبیا	loːbɪjɑː
لوتھ	loːt̪ʰ
لوری	loːɾiː
لوط	luːt̪
لوقا	luːqɑː
لولو	luːluː
لومڑی	loːmɽiː
لون	loːn
لونڈا	lɔːɳɖɑː
لونگ	lɔːŋɡ
لوه	loːɦ
لوٹ	luːʈ
لوٹا	loːʈɑː
لوٹانا	lɔːʈɑːnɑː
لوٹنا	lɔːʈnɑː
لوچنا	loːt͡ʃnɑː
لوڑا	lɔːɽɑː
لوک	loːk
لوکی	lɔːkiː
لوگ	loːɡ
لوہا	loːɦɑː
لوہار	loːɦɑːɾ
لوہو	loːɦuː
لٹ	ləʈ
لٹانا	lʊʈɑːnɑː
لٹنا	lʊʈnɑː
لٹو	ləʈʈuː
لٹکانا	ləʈkɑːnɑː
لٹکنا	ləʈəknɑː
لٹیرا	lʊʈeːɾɑː
لپلپانا	ləpəlpɑːnɑː
لپٹنا	lɪpəʈnɑː
لپھڑا	ləpʰɽɑː
لپیٹنا	ləpeːʈnɑː
لچک	lət͡ʃək
لچیلا	lət͡ʃiːlɑː
لڈو	ləɖɖuː
لڑائی	ləɽɑːiː
لڑاکا	ləɽɑːkɑː
لڑنا	ləɽnɑː
لڑکا	ləɽkɑː
لڑکھڑانا	ləɽəkʰɽɑːnɑː
لڑکی	ləɽkiː
لڑھکنا	lʊɽʱəknɑː
لکشمی	ləkʃmiː
لکشیہ	ləkʃj
لکنا	lʊknɑː
لکڑی	ləkɽiː
لکھ	lɪkʰ
لکھائی	lɪkʰɑːiː
لکھانا	lɪkʰɑːnɑː
لکھنؤ	ləkʰnəuː
لکھنا	lɪkʰnɑː
لکھنوی	ləkʰənɪʋiː
لکھوانا	lɪkʰʋɑːnɑː
لکیر	ləkiːɾ
لگ	ləɡ
لگائی	lʊɡɑːiː
لگاتار	ləɡɑːt̪ɑːɾ
لگام	ləɡɑːm
لگانا	ləɡɑːnɑː
لگنا	ləɡnɑː
لگوہا	ləɡuːɦɑː
لگھواتو	ləɡʱʋɑːt̪ʊ
لہاسا	lɦɑːsɑː
لہجہ	ləɦzɑ
لہذا	lɪɦɑːzɑː
لہر	lɛɦɛɾ
لہستان	ləɦɪst̪ɑːn
لہسن	ləɦsʊn
لہلہانا	lɛɦɛlɦɑːnɑː
لہنگا	lɛɦɛŋɡɑː
لہو	ləɦuː
لیبیا	liːbɪjɑː
لیختینستائن	lɪxʈeː̃ʃʈɑːɪn
لیزر	leːɪzəɾ
لیس	lɛːs
لیسنا	leːsnɑː
لیسٹر	leːsʈəɾ
لیلنا	liːlnɑː
لیلی	lɛːlɑː
لیما	liːmɑː
لیموں	liːmuː̃
لینا	leːnɑː
لیناتی	liːnɑːt̪ɪ
لینس	leː̃s
لینڈر	lɛːɳɖəɾ
لیورپول	lɪʋəɾpuːl
لیون	lʊjoːn
لیوں	lʊjoː̃
لیٹر	liːʈəɾ
لیٹنا	leːʈnɑː
لیچی	liːt͡ʃiː
لیکن	leːkɪn
لیکھ	leːkʰ
لیکھا	leːkʰɑː
لیکھن	leːkʰən
لیکھنی	leːkʰniː
لیکھک	leːkʰək
لیہ	leːɦ
لیہہ	leːɦɦ
لیے	lɪjeː
لے	leː
مؤا	mʊɑː
مؤذن	mʊəzzɪn
مؤمن	moːmɪn
مئی	məiː
مائک	mɑːɪk
مائکروفون	mɑːɪkɾoːfoːn
مائکرونیشیا	mɑːɪkɾoːneːʃɪjɑː
مات	mɑːt̪
ماتا	mɑːt̪ɑː
ماتر	mɑːt̪ɾɪ
ماتسویاما	mɑːt̪sʊjɑːmɑː
ماتم	mɑːt̪əm
ماتھ	mɑːt̪ʰ
ماتھا	mɑːt̪ʰɑː
ماجرا	mɑːd͡ʒɾɑː
ماجوپھل	mɑːd͡ʒuːpʰəl
ماحول	mɑːɦɔːl
ماخولیا	mɑːxuːlʊjɑː
مادر	mɑːd̪əɾ
مادری	mɑːd̪ɾiː
مادریچا	mɑːd̪ɾeːt͡ʃɑː
مادھو	mɑːd̪ʱəʋ
مادہ	mɑːd̪ɑ
مارتول	mɑːɾt̪ɔːl
مارخور	mɑːɾxoːɾ
مارنا	mɑːɾnɑː
مارونی	mɑːɾuːniː
مارچ	mɑːɾt͡ʃ
مارکیٹ	mɑːɾkeːʈ
مارگ	mɑːɾɡ
ماس	mɑːs
ماسٹر	mɑːsʈəɾ
ماسک	mɑːsk
ماسکو	mɑːskoː
ماشوق	mɑːʃuːq
ماشہ	mɑːʃɑ
ماضی	mɑːziː
مافیا	mɑːfɪjɑː
مال	mɑːl
مالا	mɑːlɑː
مالاگاسی	mɑːlɑːɡɑːsiː
مالدووا	mɑːləd̪oːʋɑː
مالدیو	mɑːld̪iːʋ
مالش	mɑːlɪʃ
مالن	mɑːlɪn
مالٹا	mɑːlʈɑː
مالک	mɑːlɪk
مالکانہ	mɑːlɪkɑːnɑ
مالی	mɑːliː
مالیخولیا	mɑːliːxuːlʊjɑː
ماما	mɑːmɑː
مامو	mɑːmuː
ماموں	mɑːmuː̃
مامی	mɑːmiː
مان	mɑːn
ماناگوا	mɑːnɑːɡʊɑː
مانت	mɑː̃t̪
مانجا	mɑː̃d͡ʒɑː
مانجنا	mɑː̃d͡ʒnɑː
ماندہ	mən̪d̪ɑ
مانس	mɑː̃s
ماننا	mɑːnnɑː
مانو	mɑːnəʋ
مانوس	mɑːnuːs
مانوں	mɑːnoː̃
مانڈ	mɑːɳɖ
مانڑنا	mɑː̃ɽnɑː
مانک	mɑːnɪk
مانکی	mɑːɳɪkj
مانگ	mɑː̃ɡ
مانگا	mɑː̃ɡɑː
مانگنا	mɑː̃ɡnɑː
ماٹی	mɑːʈiː
ماچا	mɑːt͡ʃɑː
ماچس	mɑːt͡ʃɪs
ماں	mɑː̃
ماںڈا	mɑːɳɖɑː
ماںڑی	mɑːɳɽiː
ماہ	mɑːɦ
ماہر	mɑːɦɪɾ
ماہی	mɑːɦiː
مایا	mɑːjɑː
مایوس	mɑːjuːs
مایوسی	mɑːjuːsiː
مایی	mɑːjiː
مبارزہ	məbɑːɾə̲zɑ
مبارک	mʊbɑːɾək
مت	mət̪ː
متجسس	mət̪ə̲d͡ʒə̲səs
متر	mɪt̪ɾ
مترا	mɪt̪ɾɑː
مترائی	mɪt̪ɾɑːiː
مترجم	mʊt̪əɾd͡ʒɪm
متسیہ	mət̪sj
متعارف	mət̪ə̲ʔɑːɾəf
متعلق	mʊt̪əəlːɪq
متفرق	mət̪ə̲fə̲ɾəq
متل	mɪt̪ʊl
متوالا	mət̪ʋɑːlɑː
متوالی	mət̪ɪʋɑːliː
متکلم	mət̪ə̲kə̲ləm
متھا	mət̪ʰːɑː
متھرا	mət̪ʰʊɾɑː
متھیا	mɪt̪ʰjɑː
متھے	mət̪ʰːeː
متی	mət̪ːiː
مثال	mɪsɑːl
مثل	məsəl
مثلا	məslən
مثلثیات	məsələsʊjɑːt̪
مثنوی	məsənʋiː
مجارستان	məd͡ʒɑːɾɪst̪ɑːn
مجال	məd͡ʒɑːl
مجاہدین	mʊd͡ʒɑːɦɪd̪iːn
مجبور	məd͡ʒbuːɾ
مجبوری	məd͡ʒbuːɾiː
مجرم	mʊd͡ʒɾɪm
مجسمہ	mʊd͡ʒəsːəmɑ
مجلس	məd͡ʒlɪs
مجمع	məd͡ʒmɑː
مجموعو	məd͡ʒəmuːʔoː
مجموعوں	məd͡ʒəmuːʔoː̃
مجموعہ	məd͡ʒəmuːʔɑ
مجموعے	məd͡ʒəmuːʔeː
مجنون	məd͡ʒənuːn
مجنوں	məd͡ʒnuː
مجھ	mʊd͡ʒʱ
مجھولا	məd͡ʒʱoːlɑː
مجھے	mʊd͡ʒʱeː
مجیٹھ	məd͡ʒiːʈʰ
محافظت	məɦɑːfə̲zət̪
محافظو	məɦɑːfə̲zoː
محافظوں	məɦɑːfə̲zoː̃
محافظہ	mʊɦɑːfzɑːɦ
محاق	mʊɦɑːq
محاورہ	mʊɦɑːʋɾɑ
محبت	mʊɦəbːət̪
محبتوں	məɦə̲bə̲t̪oː̃
محبتیں	məɦə̲bə̲t̪eː̃
محبوب	məɦbuːb
محبوبہ	məɦbuːbɑ
محتاج	moːɦt̪ɑːd͡ʒ
محترم	mʊɦət̪ɾəm
محترمہ	moːɦt̪əɾmɑ
محراب	meːɦɾɑːb
محرم	mʊɦəɾɾəm
محروم	məɦɾuːm
محسوس	məɦsuːs
محض	mɛɦɛz
محفل	məɦfɪl
محفوظ	məɦfuːz
محل	mɛɦɛl
محلات	məɦə̲lɑːt̪
محلوں	məɦə̲loː̃
محلہ	mʊɦəlːɑ
محلے	məɦə̲leː
محمد	mʊɦəmːəd̪
محمدی	məɦə̲mə̲d̪iː
محمود	məɦmuːd̪
محنت	meːɦnət̪
محنتو	məɦnət̪oː
محنتوں	məɦnət̪oː̃
محنتکش	meːɦnət̪kəʃ
محنتی	meːɦənt̪iː
محنتیں	məɦnət̪eː̃
محکمہ	mɛɦɛkmɑ
مخالفت	mʊxɑːlɪfət̪
مخالفتوں	məxɑːlə̲fə̲t̪oː̃
مخالفتیں	məxɑːlə̲fə̲t̪eː̃
مخالفو	məxɑːlə̲foː
مخالفوں	məxɑːlə̲foː̃
مختصر	mʊxt̪əsəɾ
مختلف	məxt̪ələf
مخدوم	məxəd̪uːm
مخلوط	məxəluːt̪
مخلوق	məxluːq
مخمل	məxməl
مخملی	məxməliː
مد	məd̪
مداخلت	mʊd̪ɑːxlət̪
مدار	məd̪ɑːɾ
مدت	mʊd̪ːət̪
مدد	məd̪əd̪
مددو	məd̪ə̲d̪oː
مددوں	məd̪ə̲d̪oː̃
مددگار	məd̪əd̪ɡɑːɾ
مددیں	məd̪ə̲d̪eː̃
مدرا	məd̪ə̲ɾɑː
مدراس	məd̪ɾɑːs
مدراسی	məd̪ɾɑːsiː
مدرسہ	məd̪ɾəsɑ
مدعو	məd̪əʔuː
مدعی	mʊd̪ːɑː
مدفون	məd̪əfuːn
مدورئی	məd̪ʊɾəiː
مدک	məd̪ək
مدکچی	məd̪əkt͡ʃiː
مدھر	məd̪ʱʊɾ
مدھم	məd̪ʱːəm
مدھمکھی	məd̪ʱʊməkʰːiː
مدھو	məd̪ʱʊ
مدھیاہن	məd̪ʱjɑːɦn
مدھیم	məd̪ʱjəm
مدیرا	məd̪ɪɾɑː
مدینہ	məd̪iːnɑ
مذاق	məzɑːq
مذاقیا	məzɑːqɪjɑː
مذاکرات	məzɑːkə̲ɾɑːt̪
مذاکرہ	məzɑːkə̲ɾɑ
مذمت	məzə̲mət̪
مذکر	mʊzəkːəɾ
مذکور	məzəkuːɾ
مذہب	məd͡ʒɦəb
مذہبی	məzəɦbiː
مراد	mʊɾɑːd̪
مرانا	məɾɑːnɑː
مراٹھا	məɾɑːʈʰɑː
مراٹھی	məɾɑːʈʰiː
مربا	mʊɾəbːɑː
مربع	mʊɾəbːɑː
مربی	məɾə̲biː
مرتبان	məɾt̪əbɑːn
مرتبہ	məɾt̪əbɑ
مرتیو	mɾɪt̪jʊ
مرثیہ	məɾsɪjɑ
مرجئی	mɪɾd͡ʒəiː
مرجھانا	mʊɾd͡ʒʱɑːnɑː
مرحبا	məɾəɦbɑː
مرحوم	məɾɦuːm
مرد	məɾd̪
مردار	mʊɾd̪ɑːɾ
مردانگی	məɾd̪ɑːnɡiː
مردانہ	məɾd̪ɑːnɑ
مردد	məɾə̲d̪əd̪
مردم	məɾd̪ʊm
مردن	məɾd̪ən
مردنی	məɾd̪əniː
مردنیا	məɾd̪ənɪjɑː
مردہ	mʊɾd̪ɑ
مرستھل	məɾʊst̪ʰəl
مرشد	mʊɾʃɪd̪
مرض	məɾəz
مرضی	məɾziː
مرغ	mʊɾɣ
مرغا	mʊɾɣɑː
مرغابی	mʊɾɣɑːbiː
مرغی	mʊɾɣiː
مرغیاں	məɾəɣʊjɑː̃
مرغیو	məɾəɣʊjoː
مرغیوں	məɾəɣʊjoː̃
مرقس	məɾqʊs
مرلی	mʊɾliː
مرمت	məɾəmːət̪
مرمر	məɾməɾ
مرنا	məɾnɑː
مرو	məɾʊ
مروانا	məɾʋɑːnɑː
مروڑنا	məɾoːɽnɑː
مرچ	mɪɾt͡ʃ
مرچنٹ	məɾt͡ʃeːɳʈ
مرک	məɾək
مرکز	məɾkəz
مرکزی	məɾkəziː
مرگ	mɾɪɡ
مرگھٹ	məɾɡʱəʈ
مرگی	mɪɾɡiː
مرہم	məɾɦəm
مریادا	məɾjɑːd̪ɑː
مرید	mʊɾiːd̪
مریض	məɾiːz
مریم	məɾɪjəm
