# Ilocano pronunciation lexicon: word <TAB> IPA. Mined from the STRESS-MARKED referees (kaikki ilo +
# wikipron ilo_latn, both human), normalized to our conventions. Fixes what the rule g2p cannot derive
# from spelling: LEXICAL gliding (garcia→ɡaɾsia stays, kua→kua) + the 6th vowel ⟨e⟩→[ɯ] + lexical stress.
# The shipped phonemizeWord consults this first; phonemizeWordRules (the eval path) bypasses it → NON-CIRCULAR.
'da	dˈa
dagidi	daɡidˈi
dagidiay	daɡidjˈaj
dagijai	daɡidjˈaj
dagitay	daɡitˈai
dagsen	daɡsˈɛn
daguioman	daɡjˈoman
dagum	dˈaɡum
dagum-dagum	daɡumdˈaɡum
dagus	dˈaɡus
daig	dˈaʔiɡ
daing	dˈaʔiŋ
dait	dˈaʔit
dakami	dakamˈi
dakap	dakˈap
dakay	dakˈaj
dakayo	dakajˈo
dakkel	dakkˈɛl
daklis	daklˈis
dakulap	dakˈulap
dalan	dˈalan
dalayap	dalˈajap
dalem	dˈalɛm
dalos	dalˈos
dalus	dalˈus
dam-eg	damʔˈɛɡ
dama	dˈama
damag	dˈamaɡ
dancel	dansˈɛl
danglas	dˈaŋlas
danum	danˈum
dap-ay	dapʔˈaj
dapo	dapˈo
daquioag	dakˈiwaɡ
dara	daɾˈa
darat	dˈaɾat
dariwanawar	daɾiwanˈawaɾ
data	dˈata
datayo	datajˈo
daya	dˈaja
dayag	dajˈaɡ
dayaw	dˈajaw
daydiay	daidjˈaj
debosion	dɛbosjˈon
degdeg	dɛɡdˈɛɡ
delikado	dɛlikˈado
demonio	dɛmˈonjo
dengdeng	dɛŋdˈɛŋ
dengngeg	dɛŋŋˈɛɡ
deppa	dɛppˈa
diding	didˈiŋ
dies	djˈɛs
digo	diɡˈo
digos	dˈiɡos
digra	diɡɾˈa
digus	dˈiɡus
diksionario	diksjonˈaɾjo
dila	dˈila
dili	dˈili
dinengdeng	dinɛŋdˈɛŋ
disinuebe	disinwˈɛbɛ
disiotso	disiʔˈot͡ʃo
disisais	disisˈaʔis
disisiete	disisjˈɛtɛ
disnugen	disnuɡˈɛn
distansia	distˈansja
dominggo	domˈinɡo
domingo	domˈinɡo
dos	dˈos
dose	dˈosɛ
dre	dɾˈɛ
dua	dwˈa
duapulo	dwapˈulo
ducusin	dukˈusin
dudon	dˈudon
duggong	duɡɡˈoŋ
dugudog	duɡˈudoɡ
dugyot	duɡjˈot
duldulao	duldˈulaw
duling	dulˈiŋ
dumlao	dumlˈaw
dundon	dundˈon
duog	duʔˈoɡ
duol	dˈuʔol
duyan	dˈujan
ebolusion	ʔɛbolˈusjon
echague	ʔɛt͡ʃˈaɡɛ
edukasion	ʔɛdukˈasjon
eleksion	ʔɛlɛksjˈon
elepante	ʔɛlɛpˈantɛ
eramienta	ʔɛɾamjˈɛnta
eropuerto	ʔɛɾopwˈɛɾto
escoda	ʔɛskˈoda
eskoba	ʔɛskˈoba
espada	ʔɛspˈada
essem	ʔɛssˈɛm
estimar	ʔɛstˈimaɾ
fariñas	faɾˈiɲas
fonacier	fonˈasjɛɾ
gabat	ɡˈabat
gabay	ɡˈabaj
gacusan	ɡakˈusan
gacutan	ɡakˈutan
gaddil	ɢaddˈil
gadia	ɡˈadja
gading	ɡˈadiŋ
galicinao	ɡalisˈinaw
galod	ɡalˈod
gamed	ɡˈamɛd
gamiao	ɡˈamjaw
gaoiran	ɡawˈiɾan
garalde	ɡaɾˈaldɛ
garami	ɡaɾˈami
garcia	ɡaɾsˈia
garod	ɡaɾˈod
garud	ɡˈaɾud
gasut	ɡasˈut
gayaman	ɡajˈaman
gayyem	ɡajjˈɛm
gimong	ɡˈimoŋ
gingined	ɡiŋinˈɛd
grasia	ɡɾˈasja
gresia	ɡɾˈɛsja
gripo	ɡɾˈipo
gubat	ɡubˈat
gurigor	ɡuɾˈiɡoɾ
ha'n	hˈan
haan	haʔˈan
hillside	hˈilsajd
huebes	hwˈɛbɛs
ida	idˈa
idiay	ʔidjˈaj
igorotak	ʔiɡoɾˈotak
iha	ʔˈiha
iho	ʔˈiho
ijy	ʔid͡ʒˈaj
ikan	ʔikˈan
ikit	ʔˈikit
ili	ʔˈili
immuko	ʔimmˈuko
impierno	ʔimpjˈɛɾno
inapoy	ʔinˈapoj
innem	ʔinnˈɛm
inumen	ʔinumˈɛn
ipes	ʔˈipɛs
irisan	ʔiɾˈisan
isbo	isbˈo
isem	ʔˈisɛm
istoria	ʔistˈoɾja
isu	isˈu
isuda	isˈuda
isuna	isˈuna
itan-ok	ʔitanʔˈok
iyot	ʔˈijot
jy	d͡ʒˈaj
kaamaan	kaamˈaan
kaano	kaˈano
kaasiannakami	kasjannakamˈi
kabalio	kabˈaljo
kabos	kˈabos
kabugaw	kabˈuɡau
kabus	kˈabus
kabusor	kabˈusuɾ
kadakami	kadakamˈi
kadakayo	kadakajˈo
kadakuada	kadakuˈada
kadata	kadatˈa
kadatayo	kadatˈajo
kaeg	kˈaʔɛɡ
kagaw	kˈaɡaw
kain	kˈaʔin
kalamansi	kalamˈansi
kalding	kaldˈiŋ
kalendario	kalɛndˈaɾjo
kampana	kampˈana
kampilan	kampˈilan
kamposanto	kamposˈanto
kanawan	kanawˈan
kaniada	kaniˈada
kaniak	kaniˈak
kaniam	kaniˈam
kaniami	kaniˈami
kaniana	kaniˈana
kaniata	kaniˈata
kaniatayo	kaniatajˈo
kaniayo	kaniˈajo
kanigid	kaniɡˈid
kankana-ey	kankanaʔˈɛj
kankanaey	kankanˈaʔɛj
kanta	kˈanta
kantaen	kantaˈɛn
kanyayo	kanjˈajo
kapas	kˈapas
kapilia	kapˈilja
kapon	kapˈon
karabukob	kaɾabukˈob
kararag	kaɾˈaɾaɡ
kararua	kaɾaɾwˈa
kararwa	kaɾaɾwˈa
karerakit	kaɾɛɾˈakit
kasinsin	kasˈinsin
kaspagarigan	kaspaɡaɾˈiɡan
katorse	katˈoɾsɛ
kawes	kawˈɛs
kawit	kˈawit
kayas	kajˈas
kayat	kajˈat
kenka	kɛnkˈa
kenkuana	kɛnkuˈana
kias	kjˈas
kibungan	kibˈuŋan
kilikili	kilikˈili
kiling	kilˈiŋ
kinse	kˈinsɛ
kisame	kˈisamɛ
koleksion	kolɛksjˈon
komedia	komˈɛdja
komediante	komɛdjˈantɛ
komunikasion	komunikˈasjon
konsiensia	konsjˈɛnsja
koriente	koɾjˈɛntɛ
kotse	kˈot͡ʃɛ
krimen	kɾˈimɛn
kristianismo	kɾistjanˈismo
kristiano	kɾistjˈano
kua	kuˈa
kuak	kuˈak
kuaresma	kwaɾˈɛsma
kuarta	kwˈaɾta
kuarto	kwˈaɾto
kuatro	kwˈatɾo
kueba	kwˈɛba
kukua	kukuˈa
kukuada	kukuˈada
kukuak	kukuˈak
kukuam	kukuˈam
kukuami	kukuˈami
kukuana	kukuˈana
kukuata	kukuˈata
kukuatayo	kukuˈatajo
kukuayo	kukuˈajo
kulalanti	kulalˈanti
kulambo	kulambˈo
kuneng	kˈunɛŋ
kurba	kuɾbˈa
kuripot	kuɾˈipot
kutis	kˈutis
kuto	kˈuto
kutsara	kut͡ʃˈaɾa
kutsarita	kut͡ʃaɾˈita
kutsilio	kut͡ʃˈiljo
labaha	labˈaha
lacub	lˈakub
ladawan	ladˈawan
ladingit	ladˈiŋit
lagangilang	laɡaŋˈilaŋ
lagay	laɡˈai
lagayan	laɡˈajan
lagmay	lˈaɡmaj
lako	lˈako
laktaw	laktˈaw
lampara	lˈampaɾa
lampin	lampˈin
landok	lˈandok
langiden	laŋˈidɛn
langit	lˈaŋit
langoy	laŋˈoj
lansangan	lansˈaŋan
lanseta	lansˈɛta
lapayag	lapˈajaɡ
lapeña	lapˈɛɲa
lasona	lasˈona
laud	lˈaʔud
lawas	lˈawas
laya	lajˈa
leaño	lɛˈaɲo
letsuga	lɛt͡ʃˈuɡa
libreria	libɾˈɛɾja
libro	lˈibɾo
libtong	libtˈoŋ
licuan-baay	likwambˈaaj
lihia	lihˈia
lima	lˈima
limus	limˈus
ling-et	lˈiŋʔɛt
llanes	ljˈanɛs
loakan	lowˈakan
lona	lˈona
lopez	lˈopɛs
luba	lˈuba
lubong	lˈuboŋ
lubung	lˈubuŋ
lucban	lukbˈan
lucnab	luknˈab
lugan	lˈuɡan
lunes	lˈunɛs
lungon	luŋˈon
lupao	lupˈaw
mabolo	mabˈolo
madaddan	madaddˈan
madarang	madˈaɾaŋ
madriaga	madɾjˈaɡa
makataktakki	makataktakkˈi
makita	makˈita
malibcong	malˈibkoŋ
mama	mamˈa
mamaclay	mamaklˈaj
mamam	mˈamam
mamuad	mˈamwad
manabo	manˈabo
mangan	mˈaŋan
manglicmot	maŋlˈikmot
mankayan	mankˈajan
mannanakaw	mannanˈakaw
manong	mˈanoŋ
manta	mˈanta
mapa	mapa
marso	mˈaɾso
martes	mˈaɾtɛs
martinez	maɾtˈinɛs
mata	matˈa
mayo	mˈajo
maysa	mˈajsa
met	mˈɛt
mierkoles	mjɛɾkˈolɛs
mil	mˈil
mt	mˈɛt
munisipio	munisˈipjo
mura	mˈuɾa
naalsem	naʔalsˈɛm
nabaaw	nabˈaʔau
nabanglo	nabaŋlˈo
nabartek	nabaɾtˈɛk
nabasa	nabasˈa
nadagsen	nadaɡsˈɛn
nadalus	nadˈalus
nagan	nˈaɡan
naguey	nˈaɡɯj
naid	naˈid
naimas	naʔˈimas
nalag-an	nalaɡʔˈan
namaga	namaɡˈa
namarsua	namaɾswˈa
namayat	namajˈat
nana	nˈana
nanang	nˈanaŋ
napintas	napˈintas
napudot	napˈudot
naruot	naɾˈuʔot
nasadut	nasadˈut
natakrot	natakɾˈot
natonin	natˈonin
naulep	naʔˈulɛp
nepo	nˈɛpo
nga'd	ŋad
ngalod	ŋalˈod
ngarod	ŋaɾˈod
ngarud	ŋaɾˈud
ngay	ŋˈaj
ngipen	ŋˈipɛn
niaeta	njaˈɛta
niog	njˈoɡ
nipa	nˈipaʔ
nuang	nwˈaŋ
nuebe	nwˈɛbɛ
nyaeta	njaˈɛta
obispo	ʔobˈispo
okinawa	ʔokinnˈawa
oktubre	ʔoktˈubɾɛ
ong-ong	ʔoŋʔˈoŋ
onse	ʔˈonsɛ
otro	ʔotɾˈo
otso	ʔˈot͡ʃo
pacdal	pakdˈal
padi	pˈadi
paet	paʔˈɛt
pag-ong	paɡʔˈoŋ
pagaduan	paɡˈadwan
pagdilao	paɡdilˈaw
pagtayaban	paɡtajˈaban
paguirigan	paɡiɾˈiɡan
pakasaritaan	pakasaɾitˈaan
pakdaar	pakdˈaʔaɾ
palakol	palakˈol
palasio	palˈasjo
palayaw	palˈajaw
paltog	pˈaltoɡ
pamilia	pamˈilja
pampam	pˈampam
panagbenga	panaɡbˈɯŋa
panaplak	panaplˈak
panday	pandˈaj
pandemia	pandˈɛmja
pangnagan	paŋnˈaɡan
panio	pˈanjo
