# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
انقلاب	انْقلاب
انقلابی	انْقلابی
انگاشتن	انگاشتِن
انگبین	انْگبین
انگریز	انْگْریز
انگشتر	انگشتِر
انگل	انگِل
انگلستان	انْگلستان
انگلیس	انْگْلیس
انگنار	انْگنار
انگیختن	انگیختِن
اهانت	اهانِت
اهریمن	اهریمِن
اهریمنی	اهریمِنی
اوباریدن	اوباریدِن
اورشلیم	اورِشِلیم
اورمزد	اورْمزد
اوزبک	اوزبِک
اوزبکستان	اوزْبکِستان
اوزبکی	اوزْبکی
اولسر	اولسِر
اویغورستان	اویغورِستان
اپرت	اپِرِت
اژدر	اژدِر
اژدها	اژْدها
اژدهافش	اژْدهافِش
اکبر	اکبِر
اکتبر	اکْتبر
اکتشاف	اکْتشاف
اکتوبر	اکتوبِر
اکثر	اکثِر
اکستر	اکْستِر
اگست	اگِست
ایتالیا	ایتالِیا
ایتالیایی	ایتالِیایی
ایتوپیا	ایتوپِیا
ایدر	ایدِر
ایرانیان	ایرانِیان
ایران‌شناس	ایران‌شِناس
ایران‌شناسی	ایران‌شِناسی
ایرج	ایرِج
ایرلند	ایرْلند
ایزد	ایزِد
ایزدی	ایزِدی
ایستادن	ایستادِن
ایستگاه	ایسْتْگاه
ایسلند	ایسْلند
ایلک	ایلِک
ایمانقلی	ایمانقُلی
ایمن	ایمِن
ایمنی	ایمِنی
اینترنت	اینتِرنِت
اینرسی	اینِرسی
اینقدر	اینْقدر
اینک	اینِک
بابت	بابِت
بابزن	بابزِن
بابل	بابِل
بابلی	بابِلی
بابک	بابِک
باتنگان	باتِنگان
باجناق	باجِناق
باختن	باختِن
بادلجان	بادِلجان
بادمجان	بادِمجان
بادمجون	بادِمجون
بادنجان	بادِنجان
بادنگان	بادِنگان
بادکنک	بادْکنِک
بادیه	بادِیه
باربر	باربِر
بارش	بارِش
بارگی	بارِگی
باریدن	باریدِن
بازداشتن	بازداشتِن
بازرسی	بازْرسی
بازشناختن	بازْشناختِن
بازنشسته	بازنِشسته
بازنشستگی	بازنِشسْتگی
بازوبند	بازوبِند
بازگشت	بازْگشت
بازگشتن	بازگشتِن
بازیکن	بازیکُن
بازیگر	بازیگِر
باستان‌شناس	باستان‌شِناس
باسن	باسِن
باطل	باطِل
باطن	باطِن
باعث	باعِث
باعرضه	باعُرضه
بافتن	بافتِن
بافتنی	بافْتنی
بالرین	بالِرین
بالش	بالِش
بالعکس	بالْعکس
بالغ	بالِغ
بالفعل	بالْفعل
بالکل	بالکِل
بامیه	بامِیه
بانکدار	بانْکْدار
باکره	باکِره
باکرگی	باکِرِگی
ببخشید	بِبخشید
ببر	ببِر
بتن	بِتُن
بتکده	بُتْکده
بت‌پرست	بتْ‌پرِست
بجنورد	بُجنورد
بحبوحه	بُحبوحه
بحران	بُحران
بحریه	بحرِیه
بحکم	بحُکمِ
بخار	بُخار
بخارا	بُخارا
بخاری	بُخاری
بخاطر	بخاطِرِ
بختن	بختِن
بختک	بختِک
بختیار	بختِیار
بخشاییدن	بخشاییدِن
بخشش	بخشِش
بخشودن	بخشودِن
بخشیدن	بخشیدِن
بخصوص	بخُصوص
بخل	بُخل
بخور	بُخور
بدبخت	بدْبخت
بدتر	بدتِر
بددل	بددِل
بدر	بدِر
بدرقه	بدْرقه
بدرنگ	بدْرنگ
بدروزگار	بدروزِگار
بدشغان	بدِشغان
بدشگان	بدِشگان
بدعت	بدعِت
بدقسمت	بدقسمِت
بدل	بدِل
بدمعاش	بدْمعاش
بدن	بدِن
بدون	بِدونِ
بدک	بدِک
برآشفته	برآشُفته
برآمدن	برآمِدِن
برابر	برابِر
برابری	برابِری
برادر	برادِر
برار	بِرار
برازیدن	برازیدِن
برازیل	بْرازیل
برانداختن	برانداختِن
برانگیختن	برانگیختِن
بربردن	بربردِن
بربری	برْبری
بربط	بربُط
برتر	برتِر
برتن	برتِن
برتنی	برْتنی
برج	بُرج
برجیس	بِرجیس
برخاستن	برخاستِن
برخلاف	برخِلافِ
برداشتن	برداشتِن
بردبار	بُرْدْبار
بردن	بردِن
بردوختن	بردوختِن
بردگی	برْدگی
بررسی	برْرسی
بررسیدن	برْرسیدِن
برزن	برزِن
برزگر	برْزْگِر
برزگری	برْزْگری
برزیستن	برزیستِن
برزیل	بِرِزیل
برزیلی	برِزیلی
برس	بُرس
برش	بُرِش
برشتن	برشتِن
برش‌نگاری	بُرِش‌نِگاری
برطانیه	بِرِطانِیه
برغست	برْغست
برقرار	برْقرار
برقراری	برْقراری
برقع	برقِع
برمنش	برْمنِش
برنا	بُرنا
برنج	بِرِنج
برنز	بُرُنز
برهمن	برهمِن
برهه	بُرهه
بروت	بُروت
بروز	بُروز
برچسب	برْچسب
برچیدن	برچیدِن
برکنار	برکِنار
برکندن	برکندِن
برکه	بِرکه
برگزار	برگُزار
برگزیدن	برْگزیدِن
برگشت	برْگشت
برگشتن	برگشتِن
بریان	بِریان
بریانی	بِریانی
بریتانیا	بِریتانِیا
بریتانیایی	بِریتانِیایی
بریدن	بریدِن
برینم	برینِم
برینن	برینِن
برینه	بِرینه
برینی	بِرینی
