# Czech LOANWORD lexicon — word<TAB>IPA, for words the native rules mis-derive (di/ti/ni non-palatalization
# in loans: stadion, studie, technik; loanword long í; foreign names). kaikki.org Wiktionary Czech (CC-BY-SA),
# stress re-placed to our convention (ˈ before the stressed vowel). Regen: tools/gen/build-cs-kaikki-dict.mts.
administrativa	ˈadmɪnˌɪstratˌɪva
prakticky	prˈaktɪt͡skɪ
praktický	prˈaktɪt͡skiː
predikce	prˈɛdɪkt͡sɛ
prestiž	prˈɛstɪʃ
prestižní	prˈɛstɪʒɲiː
preventivní	prˈɛvɛntˌɪvɲiː
primitivní	prˈɪmɪtˌɪvɲiː
privatizace	prˈɪvatˌɪzat͡sɛ
problematický	prˈoblɛmˌatɪt͡skiː
problematika	prˈoblɛmˌatɪka
produktivita	prˈoduktˌɪvɪta
produktivní	prˈoduktˌɪvɲiː
prostituce	prˈostɪtˌut͡sɛ
prostitutka	prˈostɪtˌutka
pódium	pˈoːdɪjum
radiace	rˈadɪjˌat͡sɛ
radiační	rˈadɪjˌat͡ʃɲiː
radikální	rˈadɪkˌaːlɲiː
radioaktivní	rˈadɪjˌoaktˌɪvɲiː
realistický	rˈɛalˌɪstɪt͡skiː
relativity	rˈɛlatˌɪvɪtɪ
relativní	rˈɛlatˌɪvɲiː
relativně	rˈɛlatˌɪvɲɛ
romantický	rˈomantˌɪt͡skiː
romantik	rˈomantɪk
romantika	rˈomantˌɪka
rutina	rˈutɪna
rádia	rˈaːdɪja
rádiem	rˈaːdɪjɛm
rádio	rˈaːdɪjo
rádiový	rˈaːdɪjˌoviː
rádií	rˈaːdɪjiː
sanitka	sˈanɪtka
schizofrenie	sxˈɪzofrˌɛnɪjɛ
senilní	sˈɛnɪlɲiː
skeptický	skˈɛptɪt͡skiː
socialistický	sˈot͡sɪjˌalɪstˌɪt͡skiː
spekulativní	spˈɛkulˌatɪvɲiː
stadion	stˈadɪjon
stadium	stˈaːdɪjum
stadión	stˈadɪjoːn
statický	stˈatɪt͡skiː
statistický	stˈatɪstˌɪt͡skiː
statistik	stˈatɪstɪk
statistika	stˈatɪstˌɪka
stipendium	scˈɪpɛndˌɪjum
studie	stˈudɪjɛ
studium	stˈudɪjum
stádium	stˈaːdɪjum
subjektivní	sˈubjɛktˌɪvɲiː
symfonie	sˈɪmfonˌɪjɛ
sympatická	sˈɪmpatˌɪt͡skaː
sympatické	sˈɪmpatˌɪt͡skɛː
sympatický	sˈɪmpatˌɪt͡skiː
sympatie	sˈɪmpatˌɪjɛ
synchronizace	sˈɪnxronˌɪzat͡sɛ
syntetický	sˈɪntɛtˌɪt͡skiː
systematicky	sˈɪstɛmˌatɪt͡skɪ
taktický	tˈaktɪt͡skiː
taktika	tˈaktɪka
technice	tˈɛxnɪt͡sɛ
technický	tˈɛxnɪt͡skiː
technik	tˈɛxnɪk
technika	tˈɛxnɪka
technikami	tˈɛxnɪkˌamɪ
techniku	tˈɛxnɪku
techniky	tˈɛxnɪkɪ
telekomunikace	tˈɛlɛkˌomunˌɪkat͡sɛ
telekomunikační	tˈɛlɛkˌomunˌɪkat͡ʃɲiː
tenis	tˈɛnɪs
tenisový	tˈɛnɪsˌoviː
tenista	tˈɛnɪsta
tenistka	tˈɛnɪstka
teoreticky	tˈɛorˌɛtɪt͡skɪ
teoretický	tˈɛorˌɛtɪt͡skiː
teoretik	tˈɛorˌɛtɪk
teroristický	tˈɛrorˌɪstɪt͡skiː
tik	tˈɪk
tip	tˈɪp
titan	tˈɪtan
titul	tˈɪtul
titulek	tˈɪtulɛk
titulky	tˈɪtulkɪ
titulní	tˈɪtulɲiː
tradice	trˈadɪt͡sɛ
tradiční	trˈadɪt͡ʃɲiː
tradičně	trˈadɪt͡ʃɲɛ
tragédie	trˈaɡɛːdˌɪjɛ
turistický	tˈurɪstˌɪt͡skiː
turistika	tˈurɪstˌɪka
tyranie	tˈɪranˌɪjɛ
ultimátum	ˈultɪmˌaːtum
unie	ˈunɪjɛ
uniforma	ˈunɪfˌorma
unikátní	ˈunɪkˌaːtɲiː
univerzita	ˈunɪvˌɛrzɪta
univerzitní	ˈunɪvˌɛrzɪtɲiː
univerzální	ˈunɪvˌɛrzaːlɲiː
vanilka	vˈanɪlka
ventil	vˈɛntɪl
ventilace	vˈɛntɪlˌat͡sɛ
ventilátor	vˈɛntɪlˌaːtor
vernisáž	vˈɛrnɪsaːʃ
vertikální	vˈɛrtɪkˌaːlɲiː
zorganizovat	zˈorɡanˌɪzovat
žurnalistika	ʒˈurnalˌɪstɪka
