آئي	aːiː
اجھامڻ	ʊd͡ʒʰaːmᵊɳʊ
اجھو	əd͡ʒʰoː
اجھڙڻ	ʊd͡ʒʰɪɽᵊɳʊ
اجھڪائي	əd͡ʒʰᵊkaːiː
اجھڻ	ʊd͡ʒʰᵊɳʊ
احمق	əhᵊmᵊqʊ
احمقاڻو	əhᵊmᵊqaːɳoː
اداس	ʊd̪aːsᵊ
اداسي	ʊd̪aːsiː
ادب	əd̪ᵊbʊ
ادرڪ	əd̪ɪɾᵊkᵊ
ادم	ʊd̪ᵊmʊ
ادمائتو	ʊd̪ᵊmaːɪt̪oː
ادماد	ʊd̪maːd̪ʊ
ادمي	ʊd̪ᵊmiː
ادنو	əd̪ɪnoː
ادو	əd̪oː
ادورو	əd̪oːɾoː
ادي	əd̪iː
ار	ʊɾʊ
ارادو	ɪɾaːd̪oː
ارب	əɾbᵊ
ارباب	əɾbaːbʊ
اربع	əɾbaː
اربي	ʊɾeːbiː
ارتاب	əɾt̪aːbʊ
ارتو	əɾt̪oː
ارداس	əɾd̪aːsᵊ
ارلو	ʊɾloː
ارموش	əɾmoːʃʊ
ارمڪ	əɾmᵊkᵊ
ارهائي	əɾᵊhaːiː
ارهائڻ	əɾᵊhaːɪɳʊ
ارهجڻ	əɾᵊhɪd͡ʒᵊɳʊ
ارهه	əɾɪhᵊ
ارهو	əɾᵊhoː
ارهڪو	əɾɪhᵊkoː
ارو	əɾoː
اروڙ	əɾoːɽᵊ
اروڙي	əɾuːɽiː
اري	əɾeː
اريبي	ɪɾeːbiː
ارٽ	əɾʈʊ
ارٽي	əɾʈiː
ارٿ	əɾt̪ʰɪ
ارٿساک	əɾt̪ʰᵊsaːkʰᵊ
ارڌوگ	əɾd̪ʰoːɡʊ
ارڌوگي	əɾd̪ʰoːɡiː
ارڙو	əɾɽoː
ارڙي	ɪɾɪɽiː
ارڪ	ɪɾɪkᵊ
ارڪان	əɾkaːnʊ
ارگ	əɾɡʊ
ارڻ	əɾᵊɳɪ
ازن	ɪzɪnʊ
اس	ʊsᵊ
اسارو	əsaːɾoː
اساٽ	ʊsaːʈᵊ
اساٽجڻ	ʊsaːʈɪd͡ʒᵊɳʊ
اسباب	əsbaːbʊ
اسبرگ	ɪsbᵊɾɡᵊ
استاد	ʊst̪aːd̪ʊ
استت	ʊst̪ᵊt̪ɪ
استر	əst̪ᵊɾʊ
استعمالي	ɪst̪ᵊmaːliː
استقبال	ɪst̪ᵊqbaːlʊ
استو	ʊst̪oː
استي	ɪst̪iː
استيلنگ	ɪst̪iːlɪŋɡʊ
اسر	əsʊɾʊ
اسراري	ɪsɾaːɾiː
اسراٽ	ʊsɪɾaːʈᵊ
اسراٽجڻ	ʊsɪɾaːʈɪd͡ʒᵊɳʊ
اسرڻ	ʊsɪɾᵊɳʊ
اسل	əsᵊlʊ
